"Year","Multi_short","ODA","Share","full name","country"
"2018","UN agency, fund or commission",463.695143,"12%","United Nations (UN) agency, fund or commission","Japan"
"2018","CERF",1.378268,"0%","Central Emergency Response Fund","Japan"
"2018","FAO",24.837641,"1%","Food and Agricultural Organisation","Japan"
"2018","IFAD",29.248426,"1%","International Fund for Agricultural Development","Japan"
"2018","UNDP",22.15495,"1%","United Nations Development Programme","Japan"
"2018","UN Women",5.525753,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Japan"
"2018","UNEP",4.50799,"0%","United Nations Environment Programme","Japan"
"2018","UNFCCC",2.023434,"0%","United Nations Framework Convention on Climate Change","Japan"
"2018","UNOCHA",1.316775,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Japan"
"2018","UNFPA",37.765846,"1%","United Nations Population Fund","Japan"
"2018","WFP",5.412895,"0%","World Food Programme","Japan"
"2018","WHO - assessed contributions",35.982363,"1%","World Health Organisation - assessed contributions","Japan"
"2018","WHO - core voluntary contributions",12.542557,"0%","World Health Organisation - core voluntary contributions account","Japan"
"2018","WB",1955.743623,"49%","World Bank Group (WB)","Japan"
"2018","IDA",1837.411779,"46%","International Development Association","Japan"
"2018","MDRI",118.331844,"3%","International Development Association - Multilateral Debt Relief Initiative","Japan"
"2018","	
Regional Development Banks",913.031732,"23%","Regional Development Banks","Japan"
"2018","AfDB",23.812995,"1%","African Development Bank","Japan"
"2018","African Development Fund",566.838461,"14%","African Development Fund","Japan"
"2018","ADF",314.989577,"8%","Asian Development Fund","Japan"
"2018","IDB, IIC and MIF",7.390699,"0%","Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","Japan"
"2018","Other multilateral institutions",682.272699,"17%","Other multilateral institutions","Japan"
"2018","Global Fund",285.290183,"7%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Japan"
"2018","GCF",353.17654,"9%","Green Climate Fund","Japan"
"2019","UN agency, fund or commission",588.994207,"14%","United Nations (UN) agency, fund or commission","Japan"
"2019","CERF",0.676157,"0%","Central Emergency Response Fund","Japan"
"2019","FAO",38.716785,"1%","Food and Agricultural Organisation","Japan"
"2019","IFAD",29.06386,"1%","International Fund for Agricultural Development","Japan"
"2019","UNDP",88.890925,"2%","United Nations Development Programme","Japan"
"2019","UN Women",3.864176,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Japan"
"2019","UNEP",5.944725,"0%","United Nations Environment Programme","Japan"
"2019","UNFCCC",1.844564,"0%","United Nations Framework Convention on Climate Change","Japan"
"2019","UNOCHA",1.162777,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Japan"
"2019","UNFPA",17.853909,"0%","United Nations Population Fund","Japan"
"2019","WFP",4.779859,"0%","World Food Programme","Japan"
"2019","WHO - assessed contributions",35.019655,"1%","World Health Organisation - assessed contributions","Japan"
"2019","WHO - core voluntary contributions",12.349321,"0%","World Health Organisation - core voluntary contributions account","Japan"
"2019","WB",2302.26519,"55%","World Bank Group (WB)","Japan"
"2019","IBRD",369.133777,"9%","International Bank for Reconstruction and Development","Japan"
"2019","IDA",1826.840321,"43%","International Development Association","Japan"
"2019","MDRI",106.291092,"3%","International Development Association - Multilateral Debt Relief Initiative","Japan"
"2019","	
Regional Development Banks",743.819402,"18%","Regional Development Banks","Japan"
