"Year","Income Group","ODA","Share","Donor"
"2018","Lower-middle income countries",3806.27416,"38%","France"
"2019","Lower-middle income countries",4623.038884,"43%","France"
"2020","Lower-middle income countries",4790.418181,"35%","France"
"2021","Lower-middle income countries",4440.199253,"35%","France"
"2022","Lower-middle income countries",5774.410943,"40%","France"
"2018","Upper-middle income countries",2768.861155,"27%","France"
"2019","Upper-middle income countries",1901.999264,"18%","France"
"2020","Upper-middle income countries",3456.313526,"25%","France"
"2021","Upper-middle income countries",3313.844211,"26%","France"
"2022","Upper-middle income countries",3315.294268,"23%","France"
"2018","Low income countries",824.653441,"8%","France"
"2019","Low income countries",893.812032,"8%","France"
"2020","Low income countries",1553.094833,"11%","France"
"2021","Low income countries",1161.842493,"9%","France"
"2022","Low income countries",1231.833654,"9%","France"
"2018","Unallocated by income",620.413806,"6%","France"
"2019","Unallocated by income",333.333527,"3%","France"
"2020","Unallocated by income",902.881881,"7%","France"
"2021","Unallocated by income",537.760543,"4%","France"
"2022","Unallocated by income",441.8718,"3%","France"
"2018","Countries not classified",45.673221,"0%","France"
"2019","Countries not classified",133.969031,"1%","France"
"2020","Countries not classified",122.556496,"1%","France"
"2021","Countries not classified",119.476413,"1%","France"
"2022","Countries not classified",126.206477,"1%","France"
"2018","High income countries",1.143209,"0%","France"
"2019","High income countries",45.109736,"0%","France"
"2020","High income countries",1.363768,"0%","France"
"2021","High income countries",2.866875,"0%","France"
"2022","High income countries",1.717133,"0%","France"
