"Year","Recipient country","ODA Grants","ODA Loans","Share","Donor"
"2018","Ethiopia",38.140081,45.749327,"4%","Korea"
"2019","Ethiopia",50.266872,28.672074,"4%","Korea"
"2020","Ethiopia",50.292116,64.509588,"6%","Korea"
"2021","Ethiopia",44.3191,43.456149,"4%","Korea"
"2022","Ethiopia",50.886984,98.193861,"5%","Korea"
"2018","Cambodia",30.986302,33.738959,"3%","Korea"
"2019","Cambodia",35.105942,47.848392,"4%","Korea"
"2020","Cambodia",36.518615,70.685066,"5%","Korea"
"2021","Cambodia",48.852312,72.922388,"5%","Korea"
"2022","Cambodia",70.755948,75.263929,"5%","Korea"
"2018","Philippines",33.352706,31.067642,"3%","Korea"
"2019","Philippines",32.01828,48.899616,"4%","Korea"
"2020","Philippines",29.84438,136.169781,"8%","Korea"
"2021","Philippines",42.699556,140.217402,"7%","Korea"
"2022","Philippines",43.36182,95.009633,"5%","Korea"
"2018","Viet Nam",57.473968,99.308157,"8%","Korea"
"2019","Viet Nam",59.047842,55.993814,"5%","Korea"
"2020","Viet Nam",64.556243,80.502928,"7%","Korea"
"2021","Viet Nam",65.491621,41.530946,"4%","Korea"
"2022","Viet Nam",72.718277,62.268034,"5%","Korea"
"2018","Indonesia",20.274616,33.257429,"3%","Korea"
"2019","Indonesia",23.206737,24.894033,"2%","Korea"
"2020","Indonesia",30.752951,23.247485,"3%","Korea"
"2021","Indonesia",50.995542,14.472327,"3%","Korea"
"2022","Indonesia",51.012131,57.744769,"4%","Korea"
"2018","Bangladesh",22.019526,55.759699,"4%","Korea"
"2019","Bangladesh",24.417463,90.572989,"5%","Korea"
"2020","Bangladesh",22.609898,96.466117,"6%","Korea"
"2021","Bangladesh",23.009385,213.292181,"10%","Korea"
"2022","Bangladesh",24.508687,81.812111,"4%","Korea"
"2018","Ukraine",0.646428,0,"0%","Korea"
"2019","Ukraine",0.905632,0,"0%","Korea"
"2020","Ukraine",1.615866,0,"0%","Korea"
"2021","Ukraine",1.511893,0,"0%","Korea"
"2022","Ukraine",86.778882,0,"3%","Korea"
"2018","Lao People's Democratic Republic",34.155687,37.821543,"4%","Korea"
"2019","Lao People's Democratic Republic",34.02177,34.969419,"3%","Korea"
"2020","Lao People's Democratic Republic",33.478595,10.441023,"2%","Korea"
"2021","Lao People's Democratic Republic",43.133722,21.521053,"3%","Korea"
"2022","Lao People's Democratic Republic",52.594094,33.979296,"3%","Korea"
"2018","Mongolia",23.806353,55.67964,"4%","Korea"
"2019","Mongolia",27.286879,33.375564,"3%","Korea"
"2020","Mongolia",27.717617,6.801032,"2%","Korea"
"2021","Mongolia",29.68253,3.50526,"1%","Korea"
