"Year","Multi_short","ODA","Share","full name","country"
"2018","UN agency, fund or commission",107.205793,"26%","United Nations (UN) agency, fund or commission","Ireland"
"2018","CERF",14.624913,"4%","Central Emergency Response Fund","Ireland"
"2018","FAO",1.121243,"0%","Food and Agricultural Organisation","Ireland"
"2018","IFAD",2.437485,"1%","International Fund for Agricultural Development","Ireland"
"2018","UNDP",9.749942,"2%","United Nations Development Programme","Ireland"
"2018","UN Women",1.828114,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Ireland"
"2018","UNEP",1.630678,"0%","United Nations Environment Programme","Ireland"
"2018","UNFCCC",0.710527,"0%","United Nations Framework Convention on Climate Change","Ireland"
"2018","UNOCHA",3.534354,"1%","United Nations Office of Co-ordination of Humanitarian Affairs","Ireland"
"2018","UNFPA",4.2656,"1%","United Nations Population Fund","Ireland"
"2018","WFP",23.156112,"6%","World Food Programme","Ireland"
"2018","WHO - assessed contributions",1.307711,"0%","World Health Organisation - assessed contributions","Ireland"
"2018","EUI",238.29091,"58%","European Union Institutions","Ireland"
"2018","EC - Development Share of Budget",186.036204,"45%","European Commission - Development Share of Budget","Ireland"
"2018","EC - EDF",49.482066,"12%","European Commission - European Development Fund","Ireland"
"2018","EIB",2.77264,"1%","European Investment Bank","Ireland"
"2018","WB",30.090758,"7%","World Bank Group (WB)","Ireland"
"2018","IBRD",0.365623,"0%","International Bank for Reconstruction and Development","Ireland"
"2018","IDA",29.725135,"7%","International Development Association","Ireland"
"2018","	
Regional Development Banks",8.900478,"2%","Regional Development Banks","Ireland"
"2018","ADF",4.143725,"1%","Asian Development Fund","Ireland"
"2018","AIIB",4.756753,"1%","Asian Infrastructure Investment Bank","Ireland"
"2018","Other multilateral institutions",27.520427,"7%","Other multilateral institutions","Ireland"
"2018","CGIAR Fund",3.656228,"1%","CGIAR Fund","Ireland"
"2018","Gavi",3.656228,"1%","Global Alliance for Vaccines and Immunization","Ireland"
"2018","GEF-Least Developed Countries Fund",1.218743,"0%","Global Environment Facility - Least Developed Countries Fund","Ireland"
"2018","GEF Fund",1.731833,"0%","Global Environment Facility Trust Fund","Ireland"
"2018","Global Fund",12.187427,"3%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Ireland"
"2018","GCF",2.437485,"1%","Green Climate Fund","Ireland"
"2019","UN agency, fund or commission",105.887099,"25%","United Nations (UN) agency, fund or commission","Ireland"
"2019","CERF",7.090051,"2%","Central Emergency Response Fund","Ireland"
"2019","FAO",1.399963,"0%","Food and Agricultural Organisation","Ireland"
"2019","IFAD",2.954188,"1%","International Fund for Agricultural Development","Ireland"
"2019","UNDP",9.157982,"2%","United Nations Development Programme","Ireland"
"2019","UN Women",1.772513,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Ireland"
"2019","UNEP",0.649928,"0%","United Nations Environment Programme","Ireland"
"2019","UNFCCC",0.074303,"0%","United Nations Framework Convention on Climate Change","Ireland"
"2019","UNOCHA",3.30869,"1%","United Nations Office of Co-ordination of Humanitarian Affairs","Ireland"
"2019","UNFPA",4.135863,"1%","United Nations Population Fund","Ireland"
"2019","WFP",29.896381,"7%","World Food Programme","Ireland"
"2019","WHO - assessed contributions",1.287754,"0%","World Health Organisation - assessed contributions","Ireland"
"2019","EUI",240.276939,"57%","European Union Institutions","Ireland"
"2019","EC - Development Share of Budget",188.173763,"44%","European Commission - Development Share of Budget","Ireland"
"2019","EC - EDF",48.877204,"12%","European Commission - European Development Fund","Ireland"
