"Year","Region","Bilateral ODA","Share","Donor"
"2018","Developing countries, unspecified",5446.322086,"39%","United Kingdom"
"2019","Developing countries, unspecified",6698.187613,"43%","United Kingdom"
"2020","Developing countries, unspecified",6316.357875,"47%","United Kingdom"
"2021","Developing countries, unspecified",5210.040404,"51%","United Kingdom"
"2022","Developing countries, unspecified",8847.451996,"69%","United Kingdom"
"2018","sub-Saharan Africa",3571.382053,"26%","United Kingdom"
"2019","sub-Saharan Africa",3700.632912,"24%","United Kingdom"
"2020","sub-Saharan Africa",3041.072113,"23%","United Kingdom"
"2021","sub-Saharan Africa",2104.86319,"21%","United Kingdom"
"2022","sub-Saharan Africa",1305.725117,"10%","United Kingdom"
"2018","Asia",1941.143297,"14%","United Kingdom"
"2019","Asia",2083.810166,"13%","United Kingdom"
"2020","Asia",1601.712584,"12%","United Kingdom"
"2021","Asia",1206.183955,"12%","United Kingdom"
"2022","Asia",1025.050363,"8%","United Kingdom"
"2018","Europe",292.359414,"2%","United Kingdom"
"2019","Europe",278.165761,"2%","United Kingdom"
"2020","Europe",229.033456,"2%","United Kingdom"
"2021","Europe",212.555606,"2%","United Kingdom"
"2022","Europe",594.794098,"5%","United Kingdom"
"2018","MENA region",1328.556246,"10%","United Kingdom"
"2019","MENA region",1546.277679,"10%","United Kingdom"
"2020","MENA region",1106.384629,"8%","United Kingdom"
"2021","MENA region",688.448207,"7%","United Kingdom"
"2022","MENA region",429.313539,"3%","United Kingdom"
"2018","Africa, regional",642.994264,"5%","United Kingdom"
"2019","Africa, regional",585.494752,"4%","United Kingdom"
"2020","Africa, regional",479.782216,"4%","United Kingdom"
"2021","Africa, regional",384.62347,"4%","United Kingdom"
"2022","Africa, regional",284.435553,"2%","United Kingdom"
"2018","Latin America and the Caribbeans",530.656124,"4%","United Kingdom"
"2019","Latin America and the Caribbeans",362.879903,"2%","United Kingdom"
"2020","Latin America and the Caribbeans",384.162592,"3%","United Kingdom"
"2021","Latin America and the Caribbeans",275.723416,"3%","United Kingdom"
"2022","Latin America and the Caribbeans",250.802675,"2%","United Kingdom"
"2018","Asia, regional",202.164935,"1%","United Kingdom"
"2019","Asia, regional",189.977361,"1%","United Kingdom"
"2020","Asia, regional",142.604135,"1%","United Kingdom"
"2021","Asia, regional",114.67634,"1%","United Kingdom"
"2022","Asia, regional",51.711364,"0%","United Kingdom"
"2018","Oceania",16.46679,"0%","United Kingdom"
"2019","Oceania",24.199266,"0%","United Kingdom"
"2020","Oceania",26.423338,"0%","United Kingdom"
"2021","Oceania",13.417489,"0%","United Kingdom"
"2022","Oceania",12.997137,"0%","United Kingdom"
