"Year","Income Group","ODA","Share","Donor"
"2018","WorldBank Low income countries",223.511011,"41%","Ireland"
"2019","WorldBank Low income countries",226.783624,"38%","Ireland"
"2020","WorldBank Low income countries",226.717218,"42%","Ireland"
"2021","WorldBank Low income countries",237.496581,"38%","Ireland"
"2022","WorldBank Low income countries",251.397091,"13%","Ireland"
"2018","WorldBank Low income countriesM",95.052699,"17%","Ireland"
"2019","WorldBank Low income countriesM",92.390602,"15%","Ireland"
"2020","WorldBank Low income countriesM",92.907142,"17%","Ireland"
"2021","WorldBank Low income countriesM",92.114685,"15%","Ireland"
"2022","WorldBank Low income countriesM",156.968108,"8%","Ireland"
"2018","WorldBank Upper-middle income countries",28.624851,"5%","Ireland"
"2019","WorldBank Upper-middle income countries",34.610928,"6%","Ireland"
"2020","WorldBank Upper-middle income countries",33.252118,"6%","Ireland"
"2021","WorldBank Upper-middle income countries",31.316128,"5%","Ireland"
"2022","WorldBank Upper-middle income countries",33.339875,"2%","Ireland"
"2018","Part I Unallocated by income",7.218857,"1%","Ireland"
"2019","Part I Unallocated by income",9.096945,"2%","Ireland"
"2020","Part I Unallocated by income",7.698574,"1%","Ireland"
"2021","Part I Unallocated by income",19.500626,"3%","Ireland"
"2022","Part I Unallocated by income",29.442202,"2%","Ireland"
"2018","Countries not classified by the World Bank",0.055836,"0%","Ireland"
"2019","Countries not classified by the World Bank",1.429477,"0%","Ireland"
"2020","Countries not classified by the World Bank",1.806651,"0%","Ireland"
"2021","Countries not classified by the World Bank",0.591296,"0%","Ireland"
"2022","Countries not classified by the World Bank",0.572122,"0%","Ireland"
"2018","WorldBank High income countries",0,"0%","Ireland"
"2019","WorldBank High income countries",0,"0%","Ireland"
"2020","WorldBank High income countries",0.356338,"0%","Ireland"
"2021","WorldBank High income countries",0.000099,"0%","Ireland"
"2022","WorldBank High income countries",0,"0%","Ireland"
