"Year","Income Group","ODA","Share","Donor"
"2018","WorldBank Low income countriesM",8994.886307,"27%","United States"
"2019","WorldBank Low income countriesM",7942.962139,"25%","United States"
"2020","WorldBank Low income countriesM",8738.076584,"28%","United States"
"2021","WorldBank Low income countriesM",9094.34574,"23%","United States"
"2022","WorldBank Low income countriesM",15340.005982,"31%","United States"
"2018","WorldBank Low income countries",8208.589163,"25%","United States"
"2019","WorldBank Low income countries",8361.003666,"27%","United States"
"2020","WorldBank Low income countries",8831.875742,"28%","United States"
"2021","WorldBank Low income countries",10481.62864,"27%","United States"
"2022","WorldBank Low income countries",9370.083245,"19%","United States"
"2018","WorldBank Upper-middle income countries",3958.190792,"12%","United States"
"2019","WorldBank Upper-middle income countries",3401.563775,"11%","United States"
"2020","WorldBank Upper-middle income countries",3862.878968,"12%","United States"
"2021","WorldBank Upper-middle income countries",3944.92649,"10%","United States"
"2022","WorldBank Upper-middle income countries",3253.321369,"7%","United States"
"2018","Part I Unallocated by income",1297.234985,"4%","United States"
"2019","Part I Unallocated by income",1095.027498,"4%","United States"
"2020","Part I Unallocated by income",885.751541,"3%","United States"
"2021","Part I Unallocated by income",2792.61352,"7%","United States"
"2022","Part I Unallocated by income",2688.384572,"5%","United States"
"2018","Countries not classified by the World Bank",16.311919,"0%","United States"
"2019","Countries not classified by the World Bank",45.909453,"0%","United States"
"2020","Countries not classified by the World Bank",95.043104,"0%","United States"
"2021","Countries not classified by the World Bank",104.93862,"0%","United States"
"2022","Countries not classified by the World Bank",116.290083,"0%","United States"
"2018","WorldBank High income countries",16.427354,"0%","United States"
"2019","WorldBank High income countries",14.855433,"0%","United States"
"2020","WorldBank High income countries",10.429469,"0%","United States"
"2021","WorldBank High income countries",42.83634,"0%","United States"
"2022","WorldBank High income countries",39.088628,"0%","United States"
