"Year","Donor","ODA as % GNI","Rank"
2021,"Luxembourg","0.988%","1st"
2021,"Norway","0.926%","2nd"
2021,"Sweden","0.907%","3rd"
2021,"Germany","0.765%","4th"
2021,"Denmark","0.711%","5th"
2021,"Netherlands","0.524%","6th"
2021,"France","0.51%","7th"
2021,"United Kingdom","0.504%","8th"
2021,"Switzerland","0.5%","9th"
2021,"Finland","0.474%","10th"
2021,"Belgium","0.433%","11th"
2021,"Japan","0.336%","12th"
2021,"Canada","0.319%","13th"
2021,"Austria","0.308%","14th"
2021,"Ireland","0.302%","15th"
2021,"Italy","0.286%","16th"
2021,"Hungary","0.281%","17th"
2021,"New Zealand","0.28%","18th"
2021,"Iceland","0.277%","19th"
2021,"Spain","0.257%","20th"
2021,"Australia","0.221%","21st"
2021,"United States","0.201%","22nd"
2021,"Slovenia","0.191%","23rd"
2021,"Portugal","0.183%","24th"
2021,"Estonia","0.165%","25th"
2021,"Greece","0.157%","26th"
2021,"Korea","0.157%","27th"
2021,"Poland","0.152%","28th"
2021,"Lithuania","0.137%","29th"
2021,"Slovak Republic","0.137%","30th"
2021,"Czechia","0.135%","31th"
2022,"Luxembourg","0.996%","1st"
2022,"Sweden","0.891%","2nd"
2022,"Norway","0.863%","3rd"
2022,"Germany","0.847%","4th"
2022,"Denmark","0.67%","5th"
2022,"Netherlands","0.668%","6th"
2022,"Ireland","0.63%","7th"
2022,"Finland","0.574%","8th"
2022,"Switzerland","0.561%","9th"
2022,"France","0.56%","10th"
2022,"Estonia","0.539%","11th"
2022,"Poland","0.53%","12th"
2022,"United Kingdom","0.51%","13th"
2022,"Belgium","0.453%","14th"
2022,"Austria","0.394%","15th"
2022,"Japan","0.389%","16th"
2022,"Czechia","0.38%","17th"
2022,"Canada","0.37%","18th"
2022,"Lithuania","0.358%","19th"
2022,"Iceland","0.338%","20th"
2022,"Italy","0.327%","21st"
2022,"Spain","0.302%","22nd"
2022,"Slovenia","0.287%","23rd"
2022,"Hungary","0.259%","24th"
2022,"United States","0.235%","25th"
2022,"New Zealand","0.218%","26th"
2022,"Portugal","0.211%","27th"
2022,"Australia","0.187%","28th"
2022,"Korea","0.165%","29th"
2022,"Greece","0.165%","30th"
2022,"Slovak Republic","0.154%","31th"
