"Year","Multi_short","ODA","Share","full name","country"
"2018","UN agency, fund or commission",250.943311,"19%","United Nations (UN) agency, fund or commission","Canada"
"2018","CERF",25.913655,"2%","Central Emergency Response Fund","Canada"
"2018","IFAD",33.053131,"3%","International Fund for Agricultural Development","Canada"
"2018","UNDP",35.256673,"3%","United Nations Development Programme","Canada"
"2018","UN Women",5.729209,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Canada"
"2018","UNEP",2.267697,"0%","United Nations Environment Programme","Canada"
"2018","UNFCCC",0.536476,"0%","United Nations Framework Convention on Climate Change","Canada"
"2018","UNOCHA",0.881417,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Canada"
"2018","UNFPA",13.750103,"1%","United Nations Population Fund","Canada"
"2018","WFP",22.035421,"2%","World Food Programme","Canada"
"2018","WHO - core voluntary contributions",12.532843,"1%","World Health Organisation - core voluntary contributions account","Canada"
"2018","WB",443.185198,"34%","World Bank Group (WB)","Canada"
"2018","IBRD",8.814168,"1%","International Bank for Reconstruction and Development","Canada"
"2018","IDA",389.242488,"30%","International Development Association","Canada"
"2018","MDRI",45.128542,"3%","International Development Association - Multilateral Debt Relief Initiative","Canada"
"2018","	
Regional Development Banks",191.98548,"15%","Regional Development Banks","Canada"
"2018","African Development Fund",95.663109,"7%","African Development Fund","Canada"
"2018","ADB",29.048782,"2%","Asian Development Bank","Canada"
"2018","AIIB",38.395582,"3%","Asian Infrastructure Investment Bank","Canada"
"2018","CDB",15.499715,"1%","Caribbean Development Bank","Canada"
"2018","IADB Fund for special operations",0.513862,"0%","Inter-American Development Bank, Fund for Special Operations","Canada"
"2018","IDB, IIC and MIF",12.86443,"1%","Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","Canada"
"2018","Other multilateral institutions",423.56142,"32%","Other multilateral institutions","Canada"
"2018","Gavi",88.141684,"7%","Global Alliance for Vaccines and Immunization","Canada"
"2018","GEF Fund",22.070678,"2%","Global Environment Facility Trust Fund","Canada"
"2018","Global Fund",230.637407,"18%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Canada"
"2018","IPCC",0.264425,"0%","Intergovernmental Panel on Climate Change","Canada"
"2019","UN agency, fund or commission",338.967184,"20%","United Nations (UN) agency, fund or commission","Canada"
"2019","CERF",25.536969,"1%","Central Emergency Response Fund","Canada"
"2019","FAO",26.016992,"2%","Food and Agricultural Organisation","Canada"
"2019","UNDP",34.744175,"2%","United Nations Development Programme","Canada"
"2019","UN Women",5.645929,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Canada"
"2019","UNEP",0.868604,"0%","United Nations Environment Programme","Canada"
"2019","UNOCHA",1.737209,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Canada"
"2019","UNFPA",13.550228,"1%","United Nations Population Fund","Canada"
"2019","WFP",21.715109,"1%","World Food Programme","Canada"
"2019","WHO - core voluntary contributions",11.825798,"1%","World Health Organisation - core voluntary contributions account","Canada"
"2019","WB",645.552474,"37%","World Bank Group (WB)","Canada"
