"Year","Recipient country","ODA Grants","ODA Loans","Share","Donor"
"2018","Algeria",148.534707,0,"1%","France"
"2019","Algeria",139.644388,0.289921,"1%","France"
"2020","Algeria",133.277654,0.498823,"1%","France"
"2021","Algeria",132.721788,0,"1%","France"
"2022","Algeria",152.286151,0,"1%","France"
"2018","India",38.395292,333.261433,"4%","France"
"2019","India",26.082449,273.949964,"3%","France"
"2020","India",32.704054,411.65615,"3%","France"
"2021","India",27.885309,98.471476,"1%","France"
"2022","India",34.349839,106.26927,"1%","France"
"2018","Niger",52.540262,3.77978,"1%","France"
"2019","Niger",79.452516,15.948482,"1%","France"
"2020","Niger",88.677869,22.538721,"1%","France"
"2021","Niger",82.151527,43.972369,"1%","France"
"2022","Niger",101.686525,38.774,"1%","France"
"2018","Gabon",27.649321,104.588533,"1%","France"
"2019","Gabon",23.147516,133.856867,"1%","France"
"2020","Gabon",26.182717,32.085819,"0%","France"
"2021","Gabon",29.053922,48.682739,"1%","France"
"2022","Gabon",27.291296,110.489425,"1%","France"
"2018","Kenya",9.566766,112.111369,"1%","France"
"2019","Kenya",9.334628,132.668733,"1%","France"
"2020","Kenya",13.268719,240.832685,"2%","France"
"2021","Kenya",11.437037,77.173322,"1%","France"
"2022","Kenya",13.848065,114.549226,"1%","France"
"2018","Costa Rica",4.633844,0,"0%","France"
"2019","Costa Rica",4.650397,0,"0%","France"
"2020","Costa Rica",5.811478,152.992782,"1%","France"
"2021","Costa Rica",5.586999,0,"0%","France"
"2022","Costa Rica",5.869061,115.550475,"1%","France"
"2018","Wallis and Futuna",36.427856,0,"0%","France"
"2019","Wallis and Futuna",125.154779,0,"1%","France"
"2020","Wallis and Futuna",112.513997,0,"1%","France"
"2021","Wallis and Futuna",108.374428,1.419111,"1%","France"
"2022","Wallis and Futuna",115.280733,0,"1%","France"
"2018","Congo",39.402462,21.565785,"1%","France"
"2019","Congo",26.450362,67.072971,"1%","France"
"2020","Congo",47.420464,27.763592,"1%","France"
"2021","Congo",29.790642,22.470398,"0%","France"
"2022","Congo",42.776607,70.578759,"1%","France"
"2018","Ethiopia",10.270262,16.062439,"0%","France"
"2019","Ethiopia",12.028744,64.507728,"1%","France"
"2020","Ethiopia",17.076444,70.483628,"1%","France"
"2021","Ethiopia",43.461953,12.417219,"0%","France"
"2022","Ethiopia",93.128226,20.221333,"1%","France"
"2018","Benin",47.774049,6.418954,"1%","France"
"2019","Benin",38.693366,6.284611,"0%","France"
"2020","Benin",38.496171,33.79381,"1%","France"
"2021","Benin",45.214959,39.479141,"1%","France"
"2022","Benin",64.618733,46.688394,"1%","France"
"2018","Georgia",4.343544,106.037762,"1%","France"
"2019","Georgia",4.658801,160.667904,"2%","France"
"2020","Georgia",4.986043,227.684879,"2%","France"
"2021","Georgia",5.766121,190.770549,"2%","France"
"2022","Georgia",7.164603,103.995427,"1%","France"
"2018","Indonesia",16.065304,465.389469,"5%","France"
"2019","Indonesia",11.230386,7.44171,"0%","France"
"2020","Indonesia",9.800614,333.420077,"2%","France"
"2021","Indonesia",68.174593,128.603701,"2%","France"
"2022","Indonesia",9.639401,100.059095,"1%","France"
"2018","Chad",58.946838,49.900124,"1%","France"
"2019","Chad",88.634264,24.633249,"1%","France"
"2020","Chad",78.472569,0,"1%","France"
"2021","Chad",84.904706,0,"1%","France"
"2022","Chad",108.304377,0,"1%","France"
"2018","Democratic Republic of the Congo",24.102313,0.173903,"0%","France"
"2019","Democratic Republic of the Congo",23.607172,0,"0%","France"
"2020","Democratic Republic of the Congo",43.756337,0,"0%","France"
"2021","Democratic Republic of the Congo",35.319588,0,"0%","France"
"2022","Democratic Republic of the Congo",102.308359,0,"1%","France"
"2018","Albania",5.971769,0,"0%","France"
"2019","Albania",5.993153,0,"0%","France"
"2020","Albania",6.089958,0,"0%","France"
"2021","Albania",6.487048,0,"0%","France"
"2022","Albania",10.633086,86.662856,"1%","France"
"2018","Mali",78.913011,20.596288,"1%","France"
"2019","Mali",91.007549,33.452482,"1%","France"
"2020","Mali",90.548102,43.815749,"1%","France"
"2021","Mali",115.150063,13.526946,"1%","France"
"2022","Mali",62.987884,31.560084,"1%","France"
"2018","Madagascar",66.392401,11.697133,"1%","France"
"2019","Madagascar",59.564537,27.336289,"1%","France"
"2020","Madagascar",68.951232,20.183863,"1%","France"
"2021","Madagascar",66.568915,42.916703,"1%","France"
"2022","Madagascar",73.963287,18.348252,"1%","France"
"2018","Moldova",3.855372,0,"0%","France"
"2019","Moldova",2.862182,0,"0%","France"
"2020","Moldova",2.40427,0,"0%","France"
"2021","Moldova",3.778466,0,"0%","France"
"2022","Moldova",5.401044,86.662856,"1%","France"
"2018","West Bank and Gaza Strip",73.206763,10.788023,"1%","France"
"2019","West Bank and Gaza Strip",60.083489,3.694987,"1%","France"
"2020","West Bank and Gaza Strip",61.181191,8.38839,"1%","France"
"2021","West Bank and Gaza Strip",63.399262,7.512189,"1%","France"
"2022","West Bank and Gaza Strip",83.430888,0,"1%","France"
"2018","Mauritius",13.730287,71.028633,"1%","France"
"2019","Mauritius",13.0938,10.708429,"0%","France"
"2020","Mauritius",11.817107,365.634758,"3%","France"
"2021","Mauritius",10.714907,23.090651,"0%","France"
"2022","Mauritius",14.415068,67.704202,"1%","France"
"2018","Guinea",68.319191,0.332728,"1%","France"
"2019","Guinea",64.829714,5.520032,"1%","France"
"2020","Guinea",49.952245,12.6001,"0%","France"
"2021","Guinea",44.680608,32.940248,"1%","France"
"2022","Guinea",51.579181,22.78847,"1%","France"
"2018","Serbia",5.747278,28.722303,"0%","France"
"2019","Serbia",7.333725,0,"0%","France"
"2020","Serbia",7.67734,3.595024,"0%","France"
"2021","Serbia",9.414663,62.298959,"1%","France"
"2022","Serbia",6.671517,64.684017,"0%","France"
"2018","Syrian Arab Republic",78.122748,0,"1%","France"
"2019","Syrian Arab Republic",66.324503,0,"1%","France"
"2020","Syrian Arab Republic",72.827216,0,"1%","France"
"2021","Syrian Arab Republic",63.324131,0,"0%","France"
"2022","Syrian Arab Republic",67.18337,0,"0%","France"
"2018","Cambodia",19.006415,64.964977,"1%","France"
"2019","Cambodia",17.237406,194.43899,"2%","France"
"2020","Cambodia",20.024805,85.501875,"1%","France"
"2021","Cambodia",18.351037,112.015034,"1%","France"
"2022","Cambodia",21.976575,42.654279,"0%","France"
"2018","Togo",34.279714,0,"0%","France"
"2019","Togo",26.222475,0.610756,"0%","France"
"2020","Togo",33.4203,0.602289,"0%","France"
"2021","Togo",34.872315,9.377484,"0%","France"
"2022","Togo",49.809766,13.491876,"0%","France"
"2018","Comoros",20.935173,0,"0%","France"
"2019","Comoros",23.421341,0,"0%","France"
"2020","Comoros",28.399041,0,"0%","France"
"2021","Comoros",45.758888,0.591296,"0%","France"
"2022","Comoros",60.330761,0.577752,"0%","France"
"2018","Peru",18.805361,87.325216,"1%","France"
"2019","Peru",12.093468,43.108186,"1%","France"
"2020","Peru",12.940189,84.222132,"1%","France"
"2021","Peru",10.529068,0.156202,"0%","France"
"2022","Peru",10.88215,46.766605,"0%","France"
"2018","Uganda",3.31372,72.63196,"1%","France"
"2019","Uganda",4.287319,19.85815,"0%","France"
"2020","Uganda",3.703292,87.392143,"1%","France"
"2021","Uganda",13.252915,66.173698,"1%","France"
"2022","Uganda",10.906785,41.982851,"0%","France"
"2018","Azerbaijan",4.276084,23.034185,"0%","France"
"2019","Azerbaijan",4.182657,60.072789,"1%","France"
"2020","Azerbaijan",5.38389,119.355363,"1%","France"
"2021","Azerbaijan",6.021971,41.861085,"0%","France"
"2022","Azerbaijan",7.584359,43.649387,"0%","France"
"2018","Suriname",0.87158,0.30022,"0%","France"
"2019","Suriname",0.952161,0.474253,"0%","France"
"2020","Suriname",0.876253,0.064854,"0%","France"
"2021","Suriname",0.655543,0,"0%","France"
"2022","Suriname",0.60763,49.558936,"0%","France"
"2018","Haiti",44.196472,0,"0%","France"
"2019","Haiti",45.169127,0,"0%","France"
"2020","Haiti",35.393349,0,"0%","France"
"2021","Haiti",60.654615,10.877266,"1%","France"
"2022","Haiti",47.181055,0,"0%","France"
"2018","Rwanda",3.808575,0,"0%","France"
"2019","Rwanda",3.939843,0,"0%","France"
"2020","Rwanda",6.461506,47.933659,"0%","France"
"2021","Rwanda",12.335093,59.129612,"1%","France"
"2022","Rwanda",10.495003,35.615295,"0%","France"
"2018","Pakistan",5.643015,72.248365,"1%","France"
"2019","Pakistan",5.41238,105.606434,"1%","France"
"2020","Pakistan",5.034715,49.36173,"0%","France"
"2021","Pakistan",20.075314,26.096502,"0%","France"
"2022","Pakistan",11.426103,31.064682,"0%","France"
"2018","Thailand",14.670274,7.110768,"0%","France"
"2019","Thailand",9.436735,0,"0%","France"
"2020","Thailand",9.542847,0,"0%","France"
"2021","Thailand",7.842326,8.56399,"0%","France"
"2022","Thailand",32.815338,5.765455,"0%","France"
"2018","Central African Republic",44.510382,0,"0%","France"
"2019","Central African Republic",49.066005,0,"0%","France"
"2020","Central African Republic",38.939004,0,"0%","France"
"2021","Central African Republic",30.525851,0,"0%","France"
"2022","Central African Republic",38.490251,0,"0%","France"
"2018","Iraq",20.945405,0,"0%","France"
"2019","Iraq",29.457543,0,"0%","France"
"2020","Iraq",25.57751,0,"0%","France"
"2021","Iraq",39.767295,0,"0%","France"
"2022","Iraq",37.003413,0,"0%","France"
"2018","Sudan",5.096717,0,"0%","France"
"2019","Sudan",7.497549,0,"0%","France"
"2020","Sudan",13.316437,0,"0%","France"
"2021","Sudan",44.254164,0,"0%","France"
"2022","Sudan",34.54369,0,"0%","France"
"2018","Sri Lanka",3.348325,17.995631,"0%","France"
"2019","Sri Lanka",4.127388,50.88977,"1%","France"
"2020","Sri Lanka",4.305759,15.450938,"0%","France"
"2021","Sri Lanka",3.545337,29.711254,"0%","France"
"2022","Sri Lanka",4.757157,29.58495,"0%","France"
"2018","Mauritania",24.809793,4.969668,"0%","France"
"2019","Mauritania",30.495134,11.654803,"0%","France"
"2020","Mauritania",32.081733,11.283122,"0%","France"
"2021","Mauritania",26.538792,0,"0%","France"
"2022","Mauritania",33.600647,0,"0%","France"
"2018","Angola",6.691935,0,"0%","France"
"2019","Angola",6.042346,12.667694,"0%","France"
"2020","Angola",6.686818,4.707275,"0%","France"
"2021","Angola",18.732434,10.972556,"0%","France"
"2022","Angola",8.32718,23.806442,"0%","France"
"2018","Cuba",17.73718,124.141527,"1%","France"
"2019","Cuba",9.036679,6.105138,"0%","France"
"2020","Cuba",3.517209,18.860021,"0%","France"
"2021","Cuba",4.36708,12.467621,"0%","France"
"2022","Cuba",4.570868,23.474356,"0%","France"
"2018","Argentina",12.379738,11.100742,"0%","France"
"2019","Argentina",11.622199,0,"0%","France"
"2020","Argentina",10.554115,1.959836,"0%","France"
"2021","Argentina",9.292859,4.237172,"0%","France"
"2022","Argentina",16.576356,9.594513,"0%","France"
"2018","Ghana",6.993208,50.832618,"1%","France"
"2019","Ghana",5.630026,23.167546,"0%","France"
"2020","Ghana",6.194378,64.751419,"1%","France"
"2021","Ghana",11.756445,65.559917,"1%","France"
"2022","Ghana",8.109405,16.78043,"0%","France"
"2018","Zambia",0.43585,0,"0%","France"
"2019","Zambia",0.768023,2.473438,"0%","France"
"2020","Zambia",1.140272,0,"0%","France"
"2021","Zambia",2.204568,9.565771,"0%","France"
"2022","Zambia",3.959798,20.865378,"0%","France"
"2018","Bolivia",11.911496,30.563826,"0%","France"
"2019","Bolivia",10.013673,171.084113,"2%","France"
"2020","Bolivia",7.712624,18.50068,"0%","France"
"2021","Bolivia",9.106107,142.096021,"1%","France"
"2022","Bolivia",13.637623,9.244038,"0%","France"
"2018","El Salvador",3.362501,10.980522,"0%","France"
"2019","El Salvador",3.177929,18.664513,"0%","France"
"2020","El Salvador",3.355351,18.400573,"0%","France"
"2021","El Salvador",2.741916,25.486045,"0%","France"
"2022","El Salvador",4.11456,17.64918,"0%","France"
"2018","Afghanistan",10.399297,0,"0%","France"
"2019","Afghanistan",11.684347,0,"0%","France"
"2020","Afghanistan",7.787453,0,"0%","France"
"2021","Afghanistan",44.475583,0,"0%","France"
"2022","Afghanistan",21.624422,0,"0%","France"
"2018","Mozambique",9.409749,22.054276,"0%","France"
"2019","Mozambique",11.868195,8.497118,"0%","France"
"2020","Mozambique",11.86203,8.326717,"0%","France"
"2021","Mozambique",18.026773,27.69137,"0%","France"
"2022","Mozambique",18.47508,2.883604,"0%","France"
"2018","Mongolia",2.229269,0.153443,"0%","France"
"2019","Mongolia",1.475398,0.36334,"0%","France"
"2020","Mongolia",1.69625,46.423748,"0%","France"
"2021","Mongolia",1.994824,1.698202,"0%","France"
"2022","Mongolia",2.046915,16.615002,"0%","France"
"2018","Djibouti",50.565168,0.049665,"1%","France"
"2019","Djibouti",47.043459,0.497404,"0%","France"
"2020","Djibouti",43.552485,0,"0%","France"
"2021","Djibouti",12.04234,0,"0%","France"
"2022","Djibouti",18.255433,0,"0%","France"
"2018","Iran",11.880313,0,"0%","France"
"2019","Iran",13.417626,0,"0%","France"
"2020","Iran",14.262418,0,"0%","France"
"2021","Iran",13.306845,0,"0%","France"
"2022","Iran",16.352094,0,"0%","France"
"2018","Lao People's Democratic Republic",11.998341,0,"0%","France"
"2019","Lao People's Democratic Republic",10.011633,0,"0%","France"
"2020","Lao People's Democratic Republic",12.881032,0,"0%","France"
"2021","Lao People's Democratic Republic",12.854912,0,"0%","France"
"2022","Lao People's Democratic Republic",16.193396,0,"0%","France"
"2018","Yemen",9.404303,0,"0%","France"
"2019","Yemen",9.965383,0,"0%","France"
"2020","Yemen",9.185162,0,"0%","France"
"2021","Yemen",12.587613,0,"0%","France"
"2022","Yemen",14.543984,0,"0%","France"
"2018","Burundi",7.302052,0,"0%","France"
"2019","Burundi",8.323977,0,"0%","France"
"2020","Burundi",8.482855,0,"0%","France"
"2021","Burundi",8.938627,0,"0%","France"
"2022","Burundi",11.973692,0,"0%","France"
"2018","Venezuela",9.245365,0,"0%","France"
"2019","Venezuela",8.814252,0,"0%","France"
"2020","Venezuela",10.042499,0,"0%","France"
"2021","Venezuela",9.682874,0,"0%","France"
"2022","Venezuela",10.925744,0,"0%","France"
"2018","Dominican Republic",2.663021,1.065869,"0%","France"
"2019","Dominican Republic",3.074807,27.944061,"0%","France"
"2020","Dominican Republic",4.780457,322.724587,"2%","France"
"2021","Dominican Republic",3.412053,311.373939,"2%","France"
"2022","Dominican Republic",3.361263,7.091068,"0%","France"
"2018","Honduras",1.960948,38.136613,"0%","France"
"2019","Honduras",2.090212,0,"0%","France"
"2020","Honduras",2.401187,0,"0%","France"
"2021","Honduras",2.202755,0,"0%","France"
"2022","Honduras",9.508597,0,"0%","France"
"2018","Somalia",0.798696,0,"0%","France"
"2019","Somalia",1.93075,0,"0%","France"
"2020","Somalia",320.843089,150.585254,"3%","France"
"2021","Somalia",20.81164,0,"0%","France"
"2022","Somalia",9.068688,0,"0%","France"
"2018","Philippines",5.890093,124.750309,"1%","France"
"2019","Philippines",5.781298,0.380285,"0%","France"
"2020","Philippines",5.532736,301.45365,"2%","France"
"2021","Philippines",44.602309,297.972524,"3%","France"
"2022","Philippines",5.285101,2.77677,"0%","France"
"2018","Guinea-Bissau",1.109526,0,"0%","France"
"2019","Guinea-Bissau",2.078241,0,"0%","France"
"2020","Guinea-Bissau",0.994244,0,"0%","France"
"2021","Guinea-Bissau",2.295736,0,"0%","France"
"2022","Guinea-Bissau",7.952709,0,"0%","France"
"2018","Zimbabwe",1.82899,0,"0%","France"
"2019","Zimbabwe",2.580989,0,"0%","France"
"2020","Zimbabwe",4.237048,0,"0%","France"
"2021","Zimbabwe",5.679577,0,"0%","France"
"2022","Zimbabwe",7.846128,0,"0%","France"
"2018","Sierra Leone",0.597274,0,"0%","France"
"2019","Sierra Leone",0.207729,0,"0%","France"
"2020","Sierra Leone",0.16003,0,"0%","France"
"2021","Sierra Leone",1.654351,0,"0%","France"
"2022","Sierra Leone",7.712262,0,"0%","France"
"2018","Liberia",6.366261,0,"0%","France"
"2019","Liberia",0.127401,0,"0%","France"
"2020","Liberia",4.771229,0,"0%","France"
"2021","Liberia",6.340339,0,"0%","France"
"2022","Liberia",7.515095,0,"0%","France"
"2018","Myanmar",4.252067,0.120146,"0%","France"
"2019","Myanmar",6.817222,0.246332,"0%","France"
"2020","Myanmar",7.451195,3.504749,"0%","France"
"2021","Myanmar",6.018403,2.134106,"0%","France"
"2022","Myanmar",7.445903,0,"0%","France"
"2018","Nepal",1.354254,0,"0%","France"
"2019","Nepal",1.363773,0,"0%","France"
"2020","Nepal",1.814988,0,"0%","France"
"2021","Nepal",1.169817,0,"0%","France"
"2022","Nepal",6.988875,0.261953,"0%","France"
"2018","South Sudan",0.770958,0,"0%","France"
"2019","South Sudan",1.817663,0,"0%","France"
"2020","South Sudan",5.656514,0,"0%","France"
"2021","South Sudan",5.122826,0,"0%","France"
"2022","South Sudan",6.941507,0,"0%","France"
"2018","Montenegro",0.487636,0,"0%","France"
"2019","Montenegro",0.827895,0,"0%","France"
"2020","Montenegro",0.74246,0,"0%","France"
"2021","Montenegro",1.622145,0,"0%","France"
"2022","Montenegro",0.767406,5.777524,"0%","France"
"2018","Libya",6.814662,0,"0%","France"
"2019","Libya",5.702054,0,"0%","France"
"2020","Libya",11.449493,0,"0%","France"
"2021","Libya",6.736491,0,"0%","France"
"2022","Libya",6.439978,0,"0%","France"
"2018","Jamaica",0.930642,15.71032,"0%","France"
"2019","Jamaica",0.757492,36.129124,"0%","France"
"2020","Jamaica",0.643079,0,"0%","France"
"2021","Jamaica",0.295626,0,"0%","France"
"2022","Jamaica",5.081171,0,"0%","France"
"2018","Gambia",6.309993,0,"0%","France"
"2019","Gambia",3.243197,0,"0%","France"
"2020","Gambia",1.163241,0,"0%","France"
"2021","Gambia",1.039556,0,"0%","France"
"2022","Gambia",5.067631,0,"0%","France"
"2018","Kazakhstan",4.416304,0,"0%","France"
"2019","Kazakhstan",3.685532,0,"0%","France"
"2020","Kazakhstan",3.950515,0,"0%","France"
"2021","Kazakhstan",3.53475,0,"0%","France"
"2022","Kazakhstan",4.358249,0,"0%","France"
"2018","Malaysia",6.299483,4.295407,"0%","France"
"2019","Malaysia",4.808083,0,"0%","France"
"2020","Malaysia",5.263813,0,"0%","France"
"2021","Malaysia",5.115274,0,"0%","France"
"2022","Malaysia",4.161139,0,"0%","France"
"2018","Vanuatu",5.566795,0,"0%","France"
"2019","Vanuatu",4.116877,0,"0%","France"
"2020","Vanuatu",4.278412,0,"0%","France"
"2021","Vanuatu",5.063069,0,"0%","France"
"2022","Vanuatu",4.093424,0,"0%","France"
"2018","Bosnia and Herzegovina",2.40274,0,"0%","France"
"2019","Bosnia and Herzegovina",6.916254,5.219749,"0%","France"
"2020","Bosnia and Herzegovina",2.365077,0,"0%","France"
"2021","Bosnia and Herzegovina",2.774138,0,"0%","France"
"2022","Bosnia and Herzegovina",3.734982,0,"0%","France"
"2018","Kosovo",2.806801,0,"0%","France"
"2019","Kosovo",2.819901,0,"0%","France"
"2020","Kosovo",2.732523,0,"0%","France"
"2021","Kosovo",3.684083,0,"0%","France"
"2022","Kosovo",3.199495,0,"0%","France"
"2018","Cabo Verde",1.339173,4.250163,"0%","France"
"2019","Cabo Verde",0.927511,3.98332,"0%","France"
"2020","Cabo Verde",1.123688,3.674917,"0%","France"
"2021","Cabo Verde",1.292437,0,"0%","France"
"2022","Cabo Verde",2.974341,0,"0%","France"
"2018","Guatemala",3.951997,0,"0%","France"
"2019","Guatemala",3.546585,20.622777,"0%","France"
"2020","Guatemala",3.254657,0,"0%","France"
"2021","Guatemala",2.668598,0,"0%","France"
"2022","Guatemala",2.551391,0,"0%","France"
"2018","Botswana",0.15277,0,"0%","France"
"2019","Botswana",0.18989,0,"0%","France"
"2020","Botswana",0.23192,0,"0%","France"
"2021","Botswana",1.549594,0,"0%","France"
"2022","Botswana",2.500536,0,"0%","France"
"2018","Equatorial Guinea",2.13718,0,"0%","France"
"2019","Equatorial Guinea",2.20285,0,"0%","France"
"2020","Equatorial Guinea",2.226828,0,"0%","France"
"2021","Equatorial Guinea",2.673838,0,"0%","France"
"2022","Equatorial Guinea",2.485642,0,"0%","France"
"2018","Namibia",0.599911,0,"0%","France"
"2019","Namibia",1.578138,0,"0%","France"
"2020","Namibia",2.296126,16.268833,"0%","France"
"2021","Namibia",1.436084,0,"0%","France"
"2022","Namibia",1.811731,0,"0%","France"
"2018","North Macedonia",0.719707,0,"0%","France"
"2019","North Macedonia",1.690189,0,"0%","France"
"2020","North Macedonia",1.741506,0,"0%","France"
"2021","North Macedonia",1.52189,0,"0%","France"
"2022","North Macedonia",1.644575,0,"0%","France"
"2018","Panama",0.818787,0,"0%","France"
"2019","Panama",0.984416,43.878248,"0%","France"
"2020","Panama",1.124428,0,"0%","France"
"2021","Panama",2.102443,0,"0%","France"
"2022","Panama",1.471954,0,"0%","France"
"2018","Belarus",2.074631,0,"0%","France"
"2019","Belarus",1.970813,0,"0%","France"
"2020","Belarus",1.761032,0,"0%","France"
"2021","Belarus",1.344508,0,"0%","France"
"2022","Belarus",1.448536,0,"0%","France"
"2018","Paraguay",1.559649,0,"0%","France"
"2019","Paraguay",2.056013,0,"0%","France"
"2020","Paraguay",1.486191,43.744253,"0%","France"
"2021","Paraguay",1.261153,29.373876,"0%","France"
"2022","Paraguay",1.435396,0,"0%","France"
"2018","Nicaragua",1.412603,0,"0%","France"
"2019","Nicaragua",1.03812,0,"0%","France"
"2020","Nicaragua",1.108152,0,"0%","France"
"2021","Nicaragua",6.542772,0,"0%","France"
"2022","Nicaragua",1.375758,0,"0%","France"
"2018","Saint Lucia",0.661887,0,"0%","France"
"2019","Saint Lucia",1.08206,0,"0%","France"
"2020","Saint Lucia",1.471251,0,"0%","France"
"2021","Saint Lucia",0.954903,0,"0%","France"
