"Donor","ODA towards health","Ranking"
"United States",15764.8,"1st"
"Germany",4298.3,"2nd"
"Japan",3166.4,"3rd"
"United Kingdom",2058.2,"4th"
"France",1983.2,"5th"
"Canada",1610.5,"6th"
"Italy",731.4,"7th"
"Netherlands",666.4,"8th"
"Australia",564.4,"9th"
"Sweden",559.2,"10th"
"Korea",520,"11th"
"Norway",504.1,"12th"
"Spain",465.7,"13th"
"Switzerland",301.9,"14th"
"Belgium",251.5,"15th"
"Denmark",197.6,"16th"
"Ireland",149.9,"17th"
"Austria",94.6,"18th"
"Finland",93.3,"19th"
"Luxembourg",79,"20th"
"New Zealand",66,"21st"
"Poland",62.7,"22nd"
"Hungary",53.7,"23rd"
"Portugal",45.6,"24th"
"Greece",34.6,"25th"
"Slovak Republic",24.4,"26th"
"Czechia",12.2,"27th"
"Iceland",10.2,"28th"
"Slovenia",9.5,"29th"
"Lithuania",5.3,"30th"
"Estonia",2.4,"31th"
