"Year","Region","Bilateral ODA","Share","Donor"
"2018","Europe",4709.97969,"23%","EU Institutions"
"2019","Europe",4199.149239,"22%","EU Institutions"
"2020","Europe",5997.687693,"24%","EU Institutions"
"2021","Europe",6230.042056,"26%","EU Institutions"
"2022","Europe",15314.415719,"47%","EU Institutions"
"2018","Developing countries, unspecified",2221.915252,"11%","EU Institutions"
"2019","Developing countries, unspecified",2125.219979,"11%","EU Institutions"
"2020","Developing countries, unspecified",2390.481278,"9%","EU Institutions"
"2021","Developing countries, unspecified",2936.524887,"12%","EU Institutions"
"2022","Developing countries, unspecified",5090.323162,"16%","EU Institutions"
"2018","sub-Saharan Africa",5714.95093,"27%","EU Institutions"
"2019","sub-Saharan Africa",5652.784418,"29%","EU Institutions"
"2020","sub-Saharan Africa",5897.321177,"23%","EU Institutions"
"2021","sub-Saharan Africa",4848.269018,"20%","EU Institutions"
"2022","sub-Saharan Africa",4530.758902,"14%","EU Institutions"
"2018","MENA region",3266.818289,"16%","EU Institutions"
"2019","MENA region",3606.719858,"19%","EU Institutions"
"2020","MENA region",4752.766239,"19%","EU Institutions"
"2021","MENA region",5606.47534,"23%","EU Institutions"
"2022","MENA region",3509.33843,"11%","EU Institutions"
"2018","Asia",2593.817739,"12%","EU Institutions"
"2019","Asia",2086.475338,"11%","EU Institutions"
"2020","Asia",3020.590548,"12%","EU Institutions"
"2021","Asia",2459.085366,"10%","EU Institutions"
"2022","Asia",2489.18614,"8%","EU Institutions"
"2018","Latin America and the Caribbeans",1500.539356,"7%","EU Institutions"
"2019","Latin America and the Caribbeans",1025.640537,"5%","EU Institutions"
"2020","Latin America and the Caribbeans",1524.519988,"6%","EU Institutions"
"2021","Latin America and the Caribbeans",1228.03298,"5%","EU Institutions"
"2022","Latin America and the Caribbeans",1196.59657,"4%","EU Institutions"
"2018","Africa, regional",607.555507,"3%","EU Institutions"
"2019","Africa, regional",570.488327,"3%","EU Institutions"
"2020","Africa, regional",1571.912545,"6%","EU Institutions"
"2021","Africa, regional",556.902916,"2%","EU Institutions"
"2022","Africa, regional",519.80577,"2%","EU Institutions"
"2018","Oceania",147.72008,"1%","EU Institutions"
"2019","Oceania",156.696691,"1%","EU Institutions"
"2020","Oceania",146.484155,"1%","EU Institutions"
"2021","Oceania",160.987091,"1%","EU Institutions"
"2022","Oceania",119.593179,"0%","EU Institutions"
"2018","Asia, regional",71.272352,"0%","EU Institutions"
"2019","Asia, regional",37.009495,"0%","EU Institutions"
"2020","Asia, regional",99.535244,"0%","EU Institutions"
"2021","Asia, regional",66.449859,"0%","EU Institutions"
"2022","Asia, regional",69.241124,"0%","EU Institutions"
