"Year","Multi_short","ODA","Share","full name","country"
"2018","UN agency, fund or commission",156.868192,"24%","United Nations (UN) agency, fund or commission","Australia"
"2019","UN agency, fund or commission",135.484226,"18%","United Nations (UN) agency, fund or commission","Australia"
"2020","UN agency, fund or commission",264.002184,"42%","United Nations (UN) agency, fund or commission","Australia"
"2021","UN agency, fund or commission",155.208163,"32%","United Nations (UN) agency, fund or commission","Australia"
"2022","UN agency, fund or commission",147.86592,"32%","United Nations (UN) agency, fund or commission","Australia"
"2018","CERF",9.07207,"1%","Central Emergency Response Fund","Australia"
"2020","CERF",8.707641,"1%","Central Emergency Response Fund","Australia"
"2018","FAO",5.822898,"1%","Food and Agricultural Organisation","Australia"
"2019","FAO",10.948229,"2%","Food and Agricultural Organisation","Australia"
"2020","FAO",10.561102,"2%","Food and Agricultural Organisation","Australia"
"2021","FAO",11.808566,"2%","Food and Agricultural Organisation","Australia"
"2022","FAO",9.501421,"1%","Food and Agricultural Organisation","Australia"
"2018","UNDP",10.494735,"2%","United Nations Development Programme","Australia"
"2019","UNDP",10.725159,"2%","United Nations Development Programme","Australia"
"2020","UNDP",10.073157,"2%","United Nations Development Programme","Australia"
"2021","UNDP",9.556891,"1%","United Nations Development Programme","Australia"
"2022","UNDP",9.140394,"1%","United Nations Development Programme","Australia"
"2018","UN Women",7.055358,"1%","United Nations Entity for Gender Equality and the Empowerment of Women","Australia"
"2019","UN Women",6.223064,"1%","United Nations Entity for Gender Equality and the Empowerment of Women","Australia"
"2020","UN Women",6.166593,"1%","United Nations Entity for Gender Equality and the Empowerment of Women","Australia"
"2021","UN Women",5.850544,"1%","United Nations Entity for Gender Equality and the Empowerment of Women","Australia"
"2022","UN Women",6.184121,"1%","United Nations Entity for Gender Equality and the Empowerment of Women","Australia"
"2018","UNEP",0.412367,"0%","United Nations Environment Programme","Australia"
"2019","UNEP",0.399426,"0%","United Nations Environment Programme","Australia"
"2020","UNEP",0.395802,"0%","United Nations Environment Programme","Australia"
"2021","UNEP",0.375516,"0%","United Nations Environment Programme","Australia"
"2022","UNEP",0.562486,"0%","United Nations Environment Programme","Australia"
"2018","UNFCCC",28.865676,"5%","United Nations Framework Convention on Climate Change","Australia"
"2018","UNOCHA",8.247336,"2%","United Nations Office of Co-ordination of Humanitarian Affairs","Australia"
"2019","UNOCHA",8.787382,"2%","United Nations Office of Co-ordination of Humanitarian Affairs","Australia"
"2022","UNOCHA",7.734179,"1%","United Nations Office of Co-ordination of Humanitarian Affairs","Australia"
"2018","UNFPA",7.620538,"1%","United Nations Population Fund","Australia"
"2020","UNFPA",13.251446,"2%","United Nations Population Fund","Australia"
"2021","UNFPA",8.246339,"2%","United Nations Population Fund","Australia"
"2022","WFP",24.257199,"5%","World Food Programme","Australia"
"2018","WHO - assessed contributions",9.074843,"1%","World Health Organisation - assessed contributions","Australia"
"2019","WHO - assessed contributions",9.435667,"1%","World Health Organisation - assessed contributions","Australia"
"2020","WHO - assessed contributions",9.831322,"2%","World Health Organisation - assessed contributions","Australia"
"2021","WHO - assessed contributions",20.535641,"4%","World Health Organisation - assessed contributions","Australia"
"2022","WHO - assessed contributions",27.030661,"6%","World Health Organisation - assessed contributions","Australia"
