year,Region,Bilateral ODA,Share,Donor
2023,Europe,33.49,49.2%,Slovenia
2023,"Developing countries, unspecified",24.89,36.6%,Slovenia
2023,MENA region,5.4,7.9%,Slovenia
2023,sub-Saharan Africa,2.1,3.1%,Slovenia
2023,"Africa, regional",1.08,1.6%,Slovenia
2023,Asia,1.01,1.5%,Slovenia
2023,Latin America and the Caribbeans,0.1,0.1%,Slovenia
2022,"Developing countries, unspecified",34.57,35.3%,Slovenia
2022,Europe,29.53,30.1%,Slovenia
2022,sub-Saharan Africa,25.81,26.3%,Slovenia
2022,Asia,2.67,2.7%,Slovenia
2022,Latin America and the Caribbeans,2.51,2.6%,Slovenia
2022,MENA region,1.64,1.7%,Slovenia
2022,"Africa, regional",1.18,1.2%,Slovenia
2022,Oceania,0.07,0.1%,Slovenia
2021,Europe,26.8,54.8%,Slovenia
2021,sub-Saharan Africa,9.24,18.9%,Slovenia
2021,"Developing countries, unspecified",7.83,16.0%,Slovenia
2021,MENA region,2.93,6.0%,Slovenia
2021,Asia,1.63,3.3%,Slovenia
2021,Latin America and the Caribbeans,0.5,1.0%,Slovenia
2020,Europe,25.01,70.9%,Slovenia
2020,"Developing countries, unspecified",8.32,23.6%,Slovenia
2020,MENA region,1.13,3.2%,Slovenia
2020,sub-Saharan Africa,0.44,1.3%,Slovenia
2020,Asia,0.22,0.6%,Slovenia
2020,Latin America and the Caribbeans,0.12,0.3%,Slovenia
2019,Europe,25.05,69.2%,Slovenia
2019,"Developing countries, unspecified",8.58,23.7%,Slovenia
2019,MENA region,1.37,3.8%,Slovenia
2019,sub-Saharan Africa,0.59,1.6%,Slovenia
2019,Asia,0.55,1.5%,Slovenia
2019,Latin America and the Caribbeans,0.07,0.2%,Slovenia
