Year,Sector,Bilateral ODA for,Share,Donor
2023,Refugees in donor countries,33.78,56.79%,Estonia
2023,Donor administration costs,6.82,11.46%,Estonia
2023,Education,5.1,8.58%,Estonia
2023,Emergency Response,4.89,8.22%,Estonia
2023,Government & civil society,1.88,3.16%,Estonia
2023,Infrastructure,1.33,2.24%,Estonia
2023,Environmental protection,1.11,1.87%,Estonia
2023,Unspecified,0.96,1.61%,Estonia
2023,"Industry, construction & mining",0.65,1.09%,Estonia
2023,Health & populations,0.61,1.03%,Estonia
2023,"Conflict, peace & security",0.49,0.83%,Estonia
2023,Other multisector,0.47,0.79%,Estonia
2023,"Agriculture (incl. forestry, fishing, rural development)",0.41,0.68%,Estonia
2023,Other social services,0.28,0.47%,Estonia
2023,Financial services & business support,0.28,0.47%,Estonia
2023,Tourism,0.13,0.21%,Estonia
2023,Water and sanitation,0.12,0.19%,Estonia
2023,Debt relief,0.07,0.11%,Estonia
2023,Energy,0.06,0.11%,Estonia
2023,Food aid and commodity assistance,0.05,0.09%,Estonia
2022,Refugees in donor countries,153.12,87.49%,Estonia
2022,Donor administration costs,8.33,4.76%,Estonia
2022,Emergency Response,4.04,2.31%,Estonia
2022,Education,2.34,1.34%,Estonia
2022,Other multisector,2.24,1.28%,Estonia
2022,Government & civil society,1.34,0.76%,Estonia
2022,Disaster Prevention & Preparedness,0.59,0.34%,Estonia
2022,"Industry, construction & mining",0.52,0.29%,Estonia
2022,Infrastructure,0.51,0.29%,Estonia
2022,"Conflict, peace & security",0.48,0.27%,Estonia
2022,"Agriculture (incl. forestry, fishing, rural development)",0.33,0.19%,Estonia
2022,Financial services & business support,0.31,0.17%,Estonia
2022,Unspecified,0.17,0.09%,Estonia
2022,Health & populations,0.12,0.07%,Estonia
2022,General budget support,0.12,0.07%,Estonia
2022,Trade policy,0.11,0.06%,Estonia
2022,Tourism,0.08,0.05%,Estonia
2022,Energy,0.06,0.04%,Estonia
2022,Food aid and commodity assistance,0.06,0.03%,Estonia
2022,Water and sanitation,0.05,0.03%,Estonia
2022,Other social services,0.05,0.03%,Estonia
2022,Environmental protection,0.05,0.03%,Estonia
2022,Reconstruction Relief & Rehabilitation,0.02,0.01%,Estonia
2021,Donor administration costs,5.44,19.01%,Estonia
2021,Government & civil society,5.09,17.79%,Estonia
2021,Emergency Response,4.01,14.0%,Estonia
2021,Health & populations,3.97,13.88%,Estonia
2021,Education,3.65,12.74%,Estonia
2021,Financial services & business support,2.7,9.45%,Estonia
2021,"Agriculture (incl. forestry, fishing, rural development)",0.74,2.58%,Estonia
2021,Environmental protection,0.71,2.49%,Estonia
2021,"Conflict, peace & security",0.62,2.18%,Estonia
2021,Other multisector,0.44,1.53%,Estonia
2021,Trade policy,0.31,1.1%,Estonia
2021,Unspecified,0.3,1.03%,Estonia
2021,Reconstruction Relief & Rehabilitation,0.22,0.76%,Estonia
2021,Tourism,0.13,0.46%,Estonia
2021,Water and sanitation,0.11,0.39%,Estonia
2021,Other social services,0.09,0.32%,Estonia
2021,Energy,0.08,0.27%,Estonia
2021,Infrastructure,0.0,0.01%,Estonia
2020,Emergency Response,5.18,24.49%,Estonia
2020,Donor administration costs,3.76,17.79%,Estonia
2020,Government & civil society,3.73,17.64%,Estonia
2020,Education,2.47,11.7%,Estonia
2020,"Conflict, peace & security",1.28,6.03%,Estonia
2020,Health & populations,1.05,4.98%,Estonia
2020,Unspecified,0.79,3.72%,Estonia
2020,Refugees in donor countries,0.77,3.63%,Estonia
2020,Financial services & business support,0.74,3.51%,Estonia
2020,Infrastructure,0.43,2.05%,Estonia
2020,Environmental protection,0.42,1.99%,Estonia
2020,Other social services,0.17,0.82%,Estonia
2020,Other multisector,0.13,0.6%,Estonia
2020,Trade policy,0.1,0.48%,Estonia
2020,Water and sanitation,0.08,0.38%,Estonia
2020,"Agriculture (incl. forestry, fishing, rural development)",0.03,0.14%,Estonia
2020,Tourism,0.01,0.03%,Estonia
2020,"Industry, construction & mining",0.0,0.01%,Estonia
2019,Emergency Response,3.84,17.82%,Estonia
2019,Donor administration costs,3.47,16.13%,Estonia
2019,Government & civil society,3.43,15.91%,Estonia
2019,Education,3.18,14.76%,Estonia
2019,"Conflict, peace & security",2.05,9.51%,Estonia
2019,Unspecified,1.43,6.65%,Estonia
2019,Financial services & business support,0.96,4.44%,Estonia
2019,Refugees in donor countries,0.82,3.82%,Estonia
2019,Infrastructure,0.8,3.69%,Estonia
2019,Health & populations,0.57,2.67%,Estonia
2019,Disaster Prevention & Preparedness,0.24,1.1%,Estonia
2019,Environmental protection,0.2,0.95%,Estonia
2019,Other multisector,0.19,0.89%,Estonia
2019,Trade policy,0.11,0.49%,Estonia
2019,"Industry, construction & mining",0.09,0.43%,Estonia
2019,Tourism,0.05,0.25%,Estonia
2019,Energy,0.04,0.21%,Estonia
2019,"Agriculture (incl. forestry, fishing, rural development)",0.04,0.21%,Estonia
2019,Other social services,0.01,0.07%,Estonia
2019,Reconstruction Relief & Rehabilitation,0.0,0.01%,Estonia
