year,Recipient Country,ODA Grants,ODA Loans,Share,Donor
2023,"Bilateral, unspecified",111.2,0.0,26.1%,Luxembourg
2023,Burkina Faso,29.74,0.0,7.0%,Luxembourg
2023,Lao People's Democratic Republic,27.03,0.0,6.3%,Luxembourg
2023,Mali,24.88,0.0,5.8%,Luxembourg
2023,Niger,24.0,0.0,5.6%,Luxembourg
2023,Cabo Verde,20.75,0.0,4.9%,Luxembourg
2023,Senegal,19.07,0.0,4.5%,Luxembourg
2023,Ukraine,17.53,0.0,4.1%,Luxembourg
2023,West Bank and Gaza Strip,16.17,0.0,3.8%,Luxembourg
2023,"Africa, regional",13.82,0.0,3.2%,Luxembourg
2023,Rwanda,13.09,0.0,3.1%,Luxembourg
2023,"Caribbean & Central America, regional",10.45,0.0,2.5%,Luxembourg
2023,Benin,10.3,0.0,2.4%,Luxembourg
2023,Kosovo,7.33,0.0,1.7%,Luxembourg
2023,Bangladesh,6.26,0.0,1.5%,Luxembourg
2023,Afghanistan,6.0,0.0,1.4%,Luxembourg
2023,"Asia, regional",5.51,0.0,1.3%,Luxembourg
2023,Syrian Arab Republic,5.25,0.0,1.2%,Luxembourg
2023,Ethiopia,3.83,0.0,0.9%,Luxembourg
2023,Democratic Republic of the Congo,3.58,0.0,0.8%,Luxembourg
2022,"Bilateral, unspecified",98.45,0.0,23.6%,Luxembourg
2022,Niger,44.87,0.0,10.8%,Luxembourg
2022,Burkina Faso,27.05,0.0,6.5%,Luxembourg
2022,Mali,26.66,0.0,6.4%,Luxembourg
2022,Senegal,26.08,0.0,6.2%,Luxembourg
2022,Lao People's Democratic Republic,23.78,0.0,5.7%,Luxembourg
2022,Cabo Verde,17.03,0.0,4.1%,Luxembourg
2022,Rwanda,12.78,0.0,3.1%,Luxembourg
2022,Benin,11.65,0.0,2.8%,Luxembourg
2022,"Africa, regional",10.81,0.0,2.6%,Luxembourg
2022,Kosovo,10.7,0.0,2.6%,Luxembourg
2022,"Caribbean & Central America, regional",8.68,0.0,2.1%,Luxembourg
2022,Ukraine,8.42,0.0,2.0%,Luxembourg
2022,Myanmar,7.78,0.0,1.9%,Luxembourg
2022,"Asia, regional",5.57,0.0,1.3%,Luxembourg
2022,Bangladesh,5.29,0.0,1.3%,Luxembourg
2022,Syrian Arab Republic,4.94,0.0,1.2%,Luxembourg
2022,Afghanistan,4.85,0.0,1.2%,Luxembourg
