year,Region,Bilateral ODA,Share,Donor
2023,Europe,14.15,37.1%,Slovak Republic
2023,"Developing countries, unspecified",7.4,19.4%,Slovak Republic
2023,Asia,6.66,17.5%,Slovak Republic
2023,Latin America and the Caribbeans,4.29,11.2%,Slovak Republic
2023,MENA region,4.07,10.7%,Slovak Republic
2023,sub-Saharan Africa,1.58,4.1%,Slovak Republic
2022,Europe,22.18,48.8%,Slovak Republic
2022,"Developing countries, unspecified",14.77,32.5%,Slovak Republic
2022,Latin America and the Caribbeans,2.93,6.4%,Slovak Republic
2022,sub-Saharan Africa,2.4,5.3%,Slovak Republic
2022,MENA region,1.57,3.5%,Slovak Republic
2022,Asia,1.55,3.4%,Slovak Republic
2022,"Asia, regional",0.01,0.0%,Slovak Republic
2021,"Developing countries, unspecified",10.98,28.1%,Slovak Republic
2021,Europe,9.28,23.7%,Slovak Republic
2021,sub-Saharan Africa,8.3,21.2%,Slovak Republic
2021,MENA region,5.08,13.0%,Slovak Republic
2021,Asia,5.04,12.9%,Slovak Republic
2021,"Asia, regional",0.38,1.0%,Slovak Republic
2021,Latin America and the Caribbeans,0.04,0.1%,Slovak Republic
2020,Europe,28.08,66.4%,Slovak Republic
2020,"Developing countries, unspecified",7.91,18.7%,Slovak Republic
2020,sub-Saharan Africa,3.31,7.8%,Slovak Republic
2020,Asia,1.85,4.4%,Slovak Republic
2020,MENA region,1.16,2.7%,Slovak Republic
2020,Latin America and the Caribbeans,0.01,0.0%,Slovak Republic
2019,"Developing countries, unspecified",9.13,35.9%,Slovak Republic
2019,Europe,8.85,34.8%,Slovak Republic
2019,sub-Saharan Africa,3.87,15.2%,Slovak Republic
2019,MENA region,1.81,7.1%,Slovak Republic
2019,Asia,1.45,5.7%,Slovak Republic
2019,Latin America and the Caribbeans,0.3,1.2%,Slovak Republic
