year,Region,Bilateral ODA,Share,Donor
2023,"Developing countries, unspecified",8933.8,73.7%,United Kingdom
2023,sub-Saharan Africa,1210.58,10.0%,United Kingdom
2023,Asia,541.86,4.5%,United Kingdom
2023,MENA region,481.78,4.0%,United Kingdom
2023,Europe,438.8,3.6%,United Kingdom
2023,"Africa, regional",220.0,1.8%,United Kingdom
2023,Latin America and the Caribbeans,214.6,1.8%,United Kingdom
2023,"Asia, regional",75.06,0.6%,United Kingdom
2023,Oceania,10.44,0.1%,United Kingdom
2022,"Developing countries, unspecified",8992.36,69.1%,United Kingdom
2022,sub-Saharan Africa,1327.12,10.2%,United Kingdom
2022,Asia,1041.39,8.0%,United Kingdom
2022,Europe,604.54,4.6%,United Kingdom
2022,MENA region,436.35,3.4%,United Kingdom
2022,"Africa, regional",289.1,2.2%,United Kingdom
2022,Latin America and the Caribbeans,254.91,2.0%,United Kingdom
2022,"Asia, regional",52.56,0.4%,United Kingdom
2022,Oceania,13.21,0.1%,United Kingdom
2021,"Developing countries, unspecified",5310.99,52.2%,United Kingdom
2021,sub-Saharan Africa,1984.2,19.5%,United Kingdom
2021,Asia,1157.58,11.4%,United Kingdom
2021,MENA region,701.79,6.9%,United Kingdom
2021,"Africa, regional",392.08,3.9%,United Kingdom
2021,Latin America and the Caribbeans,281.07,2.8%,United Kingdom
2021,Europe,216.67,2.1%,United Kingdom
2021,"Asia, regional",116.9,1.1%,United Kingdom
2021,Oceania,13.68,0.1%,United Kingdom
2020,"Developing countries, unspecified",6407.33,47.4%,United Kingdom
2020,sub-Saharan Africa,3084.87,22.8%,United Kingdom
2020,Asia,1624.78,12.0%,United Kingdom
2020,MENA region,1122.32,8.3%,United Kingdom
2020,"Africa, regional",486.69,3.6%,United Kingdom
2020,Latin America and the Caribbeans,389.7,2.9%,United Kingdom
2020,Europe,232.33,1.7%,United Kingdom
2020,"Asia, regional",144.66,1.1%,United Kingdom
2020,Oceania,26.8,0.2%,United Kingdom
2019,"Developing countries, unspecified",6740.17,43.3%,United Kingdom
2019,sub-Saharan Africa,3723.83,23.9%,United Kingdom
2019,Asia,2096.87,13.5%,United Kingdom
2019,MENA region,1555.97,10.0%,United Kingdom
2019,"Africa, regional",589.16,3.8%,United Kingdom
2019,Latin America and the Caribbeans,365.15,2.3%,United Kingdom
2019,Europe,279.91,1.8%,United Kingdom
2019,"Asia, regional",191.17,1.2%,United Kingdom
2019,Oceania,24.35,0.2%,United Kingdom
