year,Region,Bilateral ODA,Share,Donor
2023,MENA region,,2.7%,Latvia
2023,"Developing countries, unspecified",,65.0%,Latvia
2023,sub-Saharan Africa,,0.3%,Latvia
2023,Latin America and the Caribbeans,,4.2%,Latvia
2023,Europe,,23.6%,Latvia
2023,Asia,,4.2%,Latvia
2022,"Africa, regional",,0.0%,Latvia
2022,MENA region,,1.3%,Latvia
2022,"Developing countries, unspecified",,76.6%,Latvia
2022,Latin America and the Caribbeans,,6.4%,Latvia
2022,Europe,,12.9%,Latvia
2022,sub-Saharan Africa,,1.2%,Latvia
2022,Asia,,1.5%,Latvia
2022,Oceania,,0.1%,Latvia
2021,Europe,,28.0%,Latvia
2021,sub-Saharan Africa,,5.3%,Latvia
2021,MENA region,,5.4%,Latvia
2021,Asia,,27.6%,Latvia
2021,Latin America and the Caribbeans,,0.5%,Latvia
2021,"Developing countries, unspecified",,33.2%,Latvia
2020,MENA region,,2.9%,Latvia
2020,sub-Saharan Africa,,0.3%,Latvia
2020,"Developing countries, unspecified",,42.3%,Latvia
2020,Latin America and the Caribbeans,,0.2%,Latvia
2020,Europe,,34.5%,Latvia
2020,Asia,,19.9%,Latvia
2019,Asia,,18.5%,Latvia
2019,MENA region,,0.3%,Latvia
2019,"Developing countries, unspecified",,48.0%,Latvia
2019,Latin America and the Caribbeans,,0.5%,Latvia
2019,Europe,,32.8%,Latvia
