year,Region,Bilateral ODA,Share,Donor
2023,"Developing countries, unspecified",43.46,73.1%,Estonia
2023,Europe,11.2,18.8%,Estonia
2023,sub-Saharan Africa,2.23,3.8%,Estonia
2023,Asia,1.48,2.5%,Estonia
2023,MENA region,0.87,1.5%,Estonia
2023,"Asia, regional",0.22,0.4%,Estonia
2023,"Africa, regional",0.02,0.0%,Estonia
2022,"Developing countries, unspecified",163.24,93.3%,Estonia
2022,Europe,8.25,4.7%,Estonia
2022,sub-Saharan Africa,1.68,1.0%,Estonia
2022,Asia,1.18,0.7%,Estonia
2022,MENA region,0.66,0.4%,Estonia
2022,"Africa, regional",0.0,0.0%,Estonia
2021,"Developing countries, unspecified",9.42,32.9%,Estonia
2021,Europe,8.05,28.1%,Estonia
2021,sub-Saharan Africa,6.08,21.3%,Estonia
2021,Asia,3.73,13.0%,Estonia
2021,MENA region,1.27,4.4%,Estonia
2021,Latin America and the Caribbeans,0.07,0.2%,Estonia
2020,"Developing countries, unspecified",8.52,40.3%,Estonia
2020,Europe,6.28,29.7%,Estonia
2020,Asia,2.85,13.5%,Estonia
2020,MENA region,1.98,9.4%,Estonia
2020,sub-Saharan Africa,1.38,6.5%,Estonia
2020,Latin America and the Caribbeans,0.07,0.3%,Estonia
2020,"Africa, regional",0.04,0.2%,Estonia
2020,Oceania,0.02,0.1%,Estonia
2019,Europe,7.86,36.5%,Estonia
2019,"Developing countries, unspecified",7.27,33.8%,Estonia
2019,Asia,3.65,16.9%,Estonia
2019,MENA region,1.95,9.1%,Estonia
2019,sub-Saharan Africa,0.27,1.2%,Estonia
2019,"Africa, regional",0.25,1.2%,Estonia
2019,Latin America and the Caribbeans,0.21,1.0%,Estonia
2019,Oceania,0.07,0.3%,Estonia
