year,incomegroup_name,total_oda,Share,Donor
2023,Countries unallocated by income,1337.26,77.91,Poland
2023,Lower-middle income countries,262.32,15.28,Poland
2023,Upper-middle income countries,103.88,6.05,Poland
2023,Least developed countries,8.06,0.47,Poland
2023,Other low income countries,4.93,0.29,Poland
2022,Countries unallocated by income,2585.86,82.19,Poland
2022,Lower-middle income countries,413.7,13.15,Poland
2022,Upper-middle income countries,127.65,4.06,Poland
2022,Least developed countries,17.7,0.56,Poland
2022,Other low income countries,1.47,0.05,Poland
2021,Lower-middle income countries,169.65,49.09,Poland
2021,Upper-middle income countries,110.46,31.96,Poland
2021,Least developed countries,38.98,11.28,Poland
2021,Countries unallocated by income,24.56,7.11,Poland
2021,Other low income countries,1.91,0.55,Poland
2021,More advanced developed countries and territories,0.01,0.0,Poland
2020,Upper-middle income countries,127.55,45.79,Poland
2020,Lower-middle income countries,115.87,41.6,Poland
2020,Least developed countries,19.03,6.83,Poland
2020,Countries unallocated by income,13.64,4.9,Poland
2020,Other low income countries,2.44,0.88,Poland
2020,More advanced developed countries and territories,0.0,0.0,Poland
2019,Lower-middle income countries,144.4,50.27,Poland
2019,Upper-middle income countries,95.28,33.17,Poland
2019,Countries unallocated by income,23.39,8.14,Poland
2019,Least developed countries,21.87,7.61,Poland
2019,Other low income countries,2.32,0.81,Poland
