year,Region,Bilateral ODA,Share,Donor
2023,Europe,61.45,49.3%,Lithuania
2023,"Developing countries, unspecified",47.14,37.8%,Lithuania
2023,Asia,10.81,8.7%,Lithuania
2023,Latin America and the Caribbeans,2.93,2.4%,Lithuania
2023,sub-Saharan Africa,1.61,1.3%,Lithuania
2023,MENA region,0.68,0.5%,Lithuania
2023,"Asia, regional",0.02,0.0%,Lithuania
2023,"Africa, regional",0.0,0.0%,Lithuania
2022,"Developing countries, unspecified",89.08,56.8%,Lithuania
2022,Europe,61.77,39.4%,Lithuania
2022,Asia,3.13,2.0%,Lithuania
2022,sub-Saharan Africa,2.07,1.3%,Lithuania
2022,MENA region,0.55,0.3%,Lithuania
2022,Latin America and the Caribbeans,0.08,0.0%,Lithuania
2022,"Asia, regional",0.02,0.0%,Lithuania
2022,"Africa, regional",0.0,0.0%,Lithuania
2021,Europe,11.03,49.5%,Lithuania
2021,Asia,5.9,26.5%,Lithuania
2021,"Developing countries, unspecified",3.95,17.7%,Lithuania
2021,sub-Saharan Africa,0.7,3.1%,Lithuania
2021,MENA region,0.49,2.2%,Lithuania
2021,Latin America and the Caribbeans,0.17,0.7%,Lithuania
2021,"Asia, regional",0.03,0.1%,Lithuania
2021,"Africa, regional",0.01,0.0%,Lithuania
2020,Europe,7.32,48.2%,Lithuania
2020,"Developing countries, unspecified",4.38,28.8%,Lithuania
2020,Asia,2.37,15.6%,Lithuania
2020,sub-Saharan Africa,0.54,3.6%,Lithuania
2020,MENA region,0.52,3.4%,Lithuania
2020,Latin America and the Caribbeans,0.03,0.2%,Lithuania
2020,"Asia, regional",0.03,0.2%,Lithuania
2020,"Africa, regional",0.0,0.0%,Lithuania
2019,Europe,8.14,51.2%,Lithuania
2019,"Developing countries, unspecified",5.14,32.4%,Lithuania
2019,Asia,2.02,12.7%,Lithuania
2019,sub-Saharan Africa,0.24,1.5%,Lithuania
2019,Latin America and the Caribbeans,0.21,1.3%,Lithuania
2019,MENA region,0.14,0.9%,Lithuania
2019,"Africa, regional",0.0,0.0%,Lithuania
