year,Region,Bilateral ODA,Share,Donor
2023,"Developing countries, unspecified",1694.24,79.0%,Ireland
2023,sub-Saharan Africa,287.48,13.4%,Ireland
2023,MENA region,66.08,3.1%,Ireland
2023,Europe,39.75,1.9%,Ireland
2023,Asia,33.46,1.6%,Ireland
2023,Latin America and the Caribbeans,17.71,0.8%,Ireland
2023,Oceania,4.52,0.2%,Ireland
2023,"Africa, regional",1.41,0.1%,Ireland
2023,"Asia, regional",0.97,0.0%,Ireland
2022,"Developing countries, unspecified",1469.24,75.6%,Ireland
2022,sub-Saharan Africa,310.41,16.0%,Ireland
2022,Europe,68.68,3.5%,Ireland
2022,MENA region,43.86,2.3%,Ireland
2022,Asia,23.59,1.2%,Ireland
2022,Latin America and the Caribbeans,17.43,0.9%,Ireland
2022,"Africa, regional",8.01,0.4%,Ireland
2022,"Asia, regional",1.39,0.1%,Ireland
2022,Oceania,0.47,0.0%,Ireland
2021,sub-Saharan Africa,284.53,45.3%,Ireland
2021,"Developing countries, unspecified",243.48,38.8%,Ireland
2021,MENA region,47.15,7.5%,Ireland
2021,Asia,24.95,4.0%,Ireland
2021,Latin America and the Caribbeans,16.25,2.6%,Ireland
2021,Oceania,5.18,0.8%,Ireland
2021,Europe,4.56,0.7%,Ireland
2021,"Africa, regional",1.65,0.3%,Ireland
2021,"Asia, regional",0.48,0.1%,Ireland
2020,sub-Saharan Africa,279.25,50.7%,Ireland
2020,"Developing countries, unspecified",183.37,33.3%,Ireland
2020,MENA region,37.9,6.9%,Ireland
2020,Asia,23.53,4.3%,Ireland
2020,Latin America and the Caribbeans,13.77,2.5%,Ireland
2020,Europe,6.82,1.2%,Ireland
2020,"Africa, regional",3.18,0.6%,Ireland
2020,Oceania,2.46,0.4%,Ireland
2019,sub-Saharan Africa,279.77,46.0%,Ireland
2019,"Developing countries, unspecified",238.63,39.3%,Ireland
2019,MENA region,38.4,6.3%,Ireland
2019,Asia,23.24,3.8%,Ireland
2019,Latin America and the Caribbeans,13.56,2.2%,Ireland
2019,Europe,7.04,1.2%,Ireland
2019,Oceania,5.52,0.9%,Ireland
2019,"Africa, regional",1.58,0.3%,Ireland
2019,"Asia, regional",0.02,0.0%,Ireland
