year,Region,Bilateral ODA,Share,Donor
2023,Oceania,418.81,65.5%,New Zealand
2023,Asia,104.46,16.3%,New Zealand
2023,"Developing countries, unspecified",55.98,8.8%,New Zealand
2023,"Africa, regional",15.7,2.5%,New Zealand
2023,sub-Saharan Africa,14.61,2.3%,New Zealand
2023,MENA region,11.19,1.7%,New Zealand
2023,Europe,7.36,1.2%,New Zealand
2023,"Asia, regional",6.57,1.0%,New Zealand
2023,Latin America and the Caribbeans,5.09,0.8%,New Zealand
2022,Oceania,247.81,58.2%,New Zealand
2022,"Developing countries, unspecified",106.56,25.0%,New Zealand
2022,Asia,51.07,12.0%,New Zealand
2022,sub-Saharan Africa,8.41,2.0%,New Zealand
2022,Europe,5.03,1.2%,New Zealand
2022,MENA region,3.51,0.8%,New Zealand
2022,Latin America and the Caribbeans,1.83,0.4%,New Zealand
2022,"Africa, regional",0.99,0.2%,New Zealand
2022,"Asia, regional",0.7,0.2%,New Zealand
2021,Oceania,422.9,75.4%,New Zealand
2021,Asia,69.19,12.3%,New Zealand
2021,"Developing countries, unspecified",40.57,7.2%,New Zealand
2021,sub-Saharan Africa,14.7,2.6%,New Zealand
2021,MENA region,7.39,1.3%,New Zealand
2021,Latin America and the Caribbeans,5.85,1.0%,New Zealand
2021,"Asia, regional",0.4,0.1%,New Zealand
2021,"Africa, regional",0.19,0.0%,New Zealand
2020,Oceania,319.76,67.8%,New Zealand
2020,Asia,83.9,17.8%,New Zealand
2020,"Developing countries, unspecified",40.52,8.6%,New Zealand
2020,sub-Saharan Africa,11.12,2.4%,New Zealand
2020,MENA region,10.54,2.2%,New Zealand
2020,Latin America and the Caribbeans,4.41,0.9%,New Zealand
2020,"Africa, regional",0.92,0.2%,New Zealand
2020,"Asia, regional",0.32,0.1%,New Zealand
2020,Europe,0.02,0.0%,New Zealand
2019,Oceania,343.44,68.9%,New Zealand
2019,Asia,80.1,16.1%,New Zealand
2019,"Developing countries, unspecified",42.77,8.6%,New Zealand
2019,sub-Saharan Africa,13.47,2.7%,New Zealand
2019,MENA region,8.66,1.7%,New Zealand
2019,Latin America and the Caribbeans,6.57,1.3%,New Zealand
2019,"Asia, regional",2.38,0.5%,New Zealand
2019,"Africa, regional",0.89,0.2%,New Zealand
2019,Europe,0.01,0.0%,New Zealand
