year,Region,Bilateral ODA,Share,Donor
2023,"Developing countries, unspecified",424.6,85.9%,Czechia
2023,Europe,35.92,7.3%,Czechia
2023,sub-Saharan Africa,13.58,2.7%,Czechia
2023,Asia,10.49,2.1%,Czechia
2023,MENA region,8.97,1.8%,Czechia
2023,Latin America and the Caribbeans,0.56,0.1%,Czechia
2023,"Africa, regional",0.45,0.1%,Czechia
2023,Oceania,0.0,0.0%,Czechia
2022,"Developing countries, unspecified",746.07,88.8%,Czechia
2022,Europe,54.34,6.5%,Czechia
2022,sub-Saharan Africa,18.02,2.1%,Czechia
2022,Asia,10.56,1.3%,Czechia
2022,MENA region,9.84,1.2%,Czechia
2022,"Africa, regional",0.7,0.1%,Czechia
2022,Latin America and the Caribbeans,0.68,0.1%,Czechia
2021,Europe,25.82,25.3%,Czechia
2021,MENA region,20.79,20.4%,Czechia
2021,sub-Saharan Africa,19.21,18.8%,Czechia
2021,"Developing countries, unspecified",17.69,17.3%,Czechia
2021,Asia,16.68,16.4%,Czechia
2021,Latin America and the Caribbeans,1.41,1.4%,Czechia
2021,"Africa, regional",0.36,0.4%,Czechia
2021,Oceania,0.02,0.0%,Czechia
2020,Europe,28.16,30.4%,Czechia
2020,MENA region,16.98,18.3%,Czechia
2020,"Developing countries, unspecified",16.3,17.6%,Czechia
2020,sub-Saharan Africa,15.69,16.9%,Czechia
2020,Asia,13.06,14.1%,Czechia
2020,Latin America and the Caribbeans,1.38,1.5%,Czechia
2020,"Africa, regional",1.1,1.2%,Czechia
2019,Europe,59.64,47.4%,Czechia
2019,sub-Saharan Africa,17.42,13.8%,Czechia
2019,"Developing countries, unspecified",16.76,13.3%,Czechia
2019,MENA region,15.57,12.4%,Czechia
2019,Asia,14.32,11.4%,Czechia
2019,Latin America and the Caribbeans,2.17,1.7%,Czechia
2019,"Asia, regional",0.03,0.0%,Czechia
