"Year","Multi_short","ODA","Share","full name","country"
"2018","UN agency, fund or commission",1013.367141,"24%","United Nations (UN) agency, fund or commission","United States"
"2019","UN agency, fund or commission",1244.911089,"28%","United Nations (UN) agency, fund or commission","United States"
"2020","UN agency, fund or commission",1520.88193,"25%","United Nations (UN) agency, fund or commission","United States"
"2021","UN agency, fund or commission",1631.853797,"18%","United Nations (UN) agency, fund or commission","United States"
"2022","UN agency, fund or commission",1987.628152,"25%","United Nations (UN) agency, fund or commission","United States"
"2018","FAO",103.110423,"2%","Food and Agricultural Organisation","United States"
"2019","FAO",96.798887,"2%","Food and Agricultural Organisation","United States"
"2020","FAO",95.703711,"2%","Food and Agricultural Organisation","United States"
"2021","FAO",94.82933,"1%","Food and Agricultural Organisation","United States"
"2022","FAO",129.813234,"2%","Food and Agricultural Organisation","United States"
"2018","IFAD",19.39578,"0%","International Fund for Agricultural Development","United States"
"2019","IFAD",69.86454,"2%","International Fund for Agricultural Development","United States"
"2020","IFAD",37.532363,"1%","International Fund for Agricultural Development","United States"
"2021","IFAD",26.581,"0%","International Fund for Agricultural Development","United States"
"2022","IFAD",40.221403,"1%","International Fund for Agricultural Development","United States"
"2018","UNDP",86.203467,"2%","United Nations Development Programme","United States"
"2019","UNDP",71.981648,"2%","United Nations Development Programme","United States"
"2020","UNDP",97.751957,"2%","United Nations Development Programme","United States"
"2021","UNDP",81.32726,"1%","United Nations Development Programme","United States"
"2022","UNDP",168.466718,"2%","United Nations Development Programme","United States"
"2018","UN Women",10.236662,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","United States"
"2019","UN Women",8.547821,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","United States"
"2020","UN Women",13.505548,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","United States"
"2021","UN Women",11.5,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","United States"
"2022","UN Women",15.377671,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","United States"
"2018","UNEP",11.29301,"0%","United Nations Environment Programme","United States"
"2019","UNEP",9.429892,"0%","United Nations Environment Programme","United States"
"2020","UNEP",15.931897,"0%","United Nations Environment Programme","United States"
"2021","UNEP",10.77299,"0%","United Nations Environment Programme","United States"
"2022","UNEP",16.259358,"0%","United Nations Environment Programme","United States"
"2018","UNFCCC",2.704634,"0%","United Nations Framework Convention on Climate Change","United States"
"2019","UNFCCC",2.258424,"0%","United Nations Framework Convention on Climate Change","United States"
"2020","UNFCCC",6.244945,"0%","United Nations Framework Convention on Climate Change","United States"
"2021","UNFCCC",6,"0%","United Nations Framework Convention on Climate Change","United States"
"2022","UNFCCC",8.675663,"0%","United Nations Framework Convention on Climate Change","United States"
"2018","UNOCHA",2.693858,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","United States"
"2019","UNOCHA",1.93186,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","United States"
"2020","UNOCHA",4.049052,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","United States"
"2021","UNOCHA",3.40542,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","United States"
"2022","UNOCHA",3.054584,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","United States"
"2021","UNFPA",30.8,"1%","United Nations Population Fund","United States"
"2022","UNFPA",47.311594,"1%","United Nations Population Fund","United States"
"2018","WHO - assessed contributions",90.821451,"2%","World Health Organisation - assessed contributions","United States"
"2019","WHO - assessed contributions",95.669622,"1%","World Health Organisation - assessed contributions","United States"
"2020","WHO - assessed contributions",95.913447,"1%","World Health Organisation - assessed contributions","United States"
"2021","WHO - assessed contributions",155.73041,"4%","World Health Organisation - assessed contributions","United States"
"2022","WHO - assessed contributions",349.622817,"8%","World Health Organisation - assessed contributions","United States"
"2022","IMF",65.476702,"1%","International Monetary Fund (IMF)","United States"
"2018","WB",1182.075817,"13%","World Bank Group (WB)","United States"
"2019","WB",1161.243929,"15%","World Bank Group (WB)","United States"
"2020","WB",1630.779929,"39%","World Bank Group (WB)","United States"
"2021","WB",950.70525,"22%","World Bank Group (WB)","United States"
"2022","WB",1415.512755,"24%","World Bank Group (WB)","United States"
"2020","IBRD",258.334096,"3%","International Bank for Reconstruction and Development","United States"
