year,Region,Bilateral ODA,Share,Donor
2023,sub-Saharan Africa,167.66,39.4%,Luxembourg
2023,"Developing countries, unspecified",111.2,26.1%,Luxembourg
2023,Asia,50.51,11.9%,Luxembourg
2023,Europe,29.83,7.0%,Luxembourg
2023,MENA region,28.22,6.6%,Luxembourg
2023,Latin America and the Caribbeans,19.01,4.5%,Luxembourg
2023,"Africa, regional",13.82,3.2%,Luxembourg
2023,"Asia, regional",5.51,1.3%,Luxembourg
2022,sub-Saharan Africa,189.54,45.4%,Luxembourg
2022,"Developing countries, unspecified",98.45,23.6%,Luxembourg
2022,Asia,56.24,13.5%,Luxembourg
2022,Europe,22.29,5.3%,Luxembourg
2022,Latin America and the Caribbeans,18.58,4.5%,Luxembourg
2022,MENA region,15.73,3.8%,Luxembourg
2022,"Africa, regional",10.81,2.6%,Luxembourg
2022,"Asia, regional",5.57,1.3%,Luxembourg
2021,sub-Saharan Africa,181.02,47.1%,Luxembourg
2021,"Developing countries, unspecified",92.62,24.1%,Luxembourg
2021,Asia,51.12,13.3%,Luxembourg
2021,MENA region,21.63,5.6%,Luxembourg
2021,Latin America and the Caribbeans,12.53,3.3%,Luxembourg
2021,Europe,11.94,3.1%,Luxembourg
2021,"Africa, regional",11.42,3.0%,Luxembourg
2021,"Asia, regional",2.08,0.5%,Luxembourg
2020,sub-Saharan Africa,156.79,43.6%,Luxembourg
2020,"Developing countries, unspecified",91.73,25.5%,Luxembourg
2020,Asia,56.1,15.6%,Luxembourg
2020,MENA region,18.23,5.1%,Luxembourg
2020,Latin America and the Caribbeans,15.32,4.3%,Luxembourg
2020,"Africa, regional",12.68,3.5%,Luxembourg
2020,Europe,5.96,1.7%,Luxembourg
2020,"Asia, regional",2.63,0.7%,Luxembourg
2019,sub-Saharan Africa,189.07,42.4%,Luxembourg
2019,"Developing countries, unspecified",125.62,28.1%,Luxembourg
2019,Asia,62.3,14.0%,Luxembourg
2019,MENA region,23.56,5.3%,Luxembourg
2019,Latin America and the Caribbeans,20.67,4.6%,Luxembourg
2019,Europe,13.79,3.1%,Luxembourg
2019,"Africa, regional",11.01,2.5%,Luxembourg
2019,"Asia, regional",0.25,0.1%,Luxembourg
