year,incomegroup_name,total_oda,Share,Donor
2023,Part I unallocated by income,755.64,53.83,Belgium
2023,LDCs,419.24,29.86,Belgium
2023,LMICs,153.78,10.95,Belgium
2023,UMICs,43.74,3.12,Belgium
2023,Other LICs,31.43,2.24,Belgium
2022,Part I unallocated by income,745.13,53.08,Belgium
2022,LDCs,439.3,31.29,Belgium
2022,LMICs,152.41,10.86,Belgium
2022,UMICs,48.16,3.43,Belgium
2022,Other LICs,18.83,1.34,Belgium
2021,Part I unallocated by income,700.39,50.78,Belgium
2021,LDCs,480.08,34.81,Belgium
2021,LMICs,104.64,7.59,Belgium
2021,UMICs,71.12,5.16,Belgium
2021,Other LICs,23.07,1.67,Belgium
2020,Part I unallocated by income,621.61,49.04,Belgium
2020,LDCs,448.13,35.36,Belgium
2020,LMICs,97.34,7.68,Belgium
2020,UMICs,86.67,6.84,Belgium
2020,Other LICs,13.74,1.08,Belgium
2019,Part I unallocated by income,622.07,48.57,Belgium
2019,LDCs,426.37,33.29,Belgium
2019,LMICs,136.24,10.64,Belgium
2019,UMICs,77.76,6.07,Belgium
2019,Other LICs,18.4,1.44,Belgium
