year,Region,Bilateral ODA,Share,Donor
2023,Asia,66.95,30.3%,Hungary
2023,Europe,54.41,24.6%,Hungary
2023,MENA region,35.85,16.2%,Hungary
2023,Latin America and the Caribbeans,35.02,15.8%,Hungary
2023,sub-Saharan Africa,24.09,10.9%,Hungary
2023,"Developing countries, unspecified",4.66,2.1%,Hungary
2023,"Africa, regional",0.0,0.0%,Hungary
2023,Oceania,0.0,0.0%,Hungary
2022,Europe,152.61,43.4%,Hungary
2022,Asia,81.38,23.2%,Hungary
2022,MENA region,65.43,18.6%,Hungary
2022,sub-Saharan Africa,29.32,8.3%,Hungary
2022,Latin America and the Caribbeans,16.18,4.6%,Hungary
2022,"Developing countries, unspecified",6.32,1.8%,Hungary
2022,Oceania,0.01,0.0%,Hungary
2021,Asia,71.93,25.5%,Hungary
2021,MENA region,68.26,24.2%,Hungary
2021,Europe,62.1,22.1%,Hungary
2021,sub-Saharan Africa,53.75,19.1%,Hungary
2021,"Developing countries, unspecified",16.74,5.9%,Hungary
2021,Latin America and the Caribbeans,8.75,3.1%,Hungary
2021,Oceania,0.02,0.0%,Hungary
2020,Europe,96.89,35.7%,Hungary
2020,Asia,65.55,24.1%,Hungary
2020,MENA region,56.94,21.0%,Hungary
2020,"Developing countries, unspecified",28.33,10.4%,Hungary
2020,sub-Saharan Africa,14.83,5.5%,Hungary
2020,Latin America and the Caribbeans,9.04,3.3%,Hungary
2020,Oceania,0.04,0.0%,Hungary
2019,Asia,64.51,33.7%,Hungary
2019,MENA region,46.64,24.4%,Hungary
2019,Europe,29.16,15.2%,Hungary
2019,sub-Saharan Africa,25.25,13.2%,Hungary
2019,"Developing countries, unspecified",19.32,10.1%,Hungary
2019,Latin America and the Caribbeans,6.5,3.4%,Hungary
2019,Oceania,0.02,0.0%,Hungary
