year,Region,Bilateral ODA,Share,Donor
2023,"Developing countries, unspecified",1891.85,67.5%,Italy
2023,sub-Saharan Africa,336.98,12.0%,Italy
2023,MENA region,253.92,9.1%,Italy
2023,Latin America and the Caribbeans,114.51,4.1%,Italy
2023,Europe,97.62,3.5%,Italy
2023,Asia,81.64,2.9%,Italy
2023,"Africa, regional",25.53,0.9%,Italy
2023,Oceania,1.41,0.1%,Italy
2023,"Asia, regional",0.31,0.0%,Italy
2022,"Developing countries, unspecified",2104.69,54.6%,Italy
2022,Europe,499.75,13.0%,Italy
2022,sub-Saharan Africa,395.25,10.2%,Italy
2022,MENA region,361.69,9.4%,Italy
2022,Asia,192.64,5.0%,Italy
2022,Latin America and the Caribbeans,160.88,4.2%,Italy
2022,"Africa, regional",140.23,3.6%,Italy
2022,Oceania,1.22,0.0%,Italy
2022,"Asia, regional",0.09,0.0%,Italy
2021,sub-Saharan Africa,965.23,36.6%,Italy
2021,"Developing countries, unspecified",932.25,35.3%,Italy
2021,MENA region,263.96,10.0%,Italy
2021,Latin America and the Caribbeans,175.24,6.6%,Italy
2021,Asia,144.1,5.5%,Italy
2021,"Africa, regional",104.38,4.0%,Italy
2021,Europe,49.54,1.9%,Italy
2021,"Asia, regional",2.27,0.1%,Italy
2021,Oceania,0.75,0.0%,Italy
2020,"Developing countries, unspecified",417.25,28.9%,Italy
2020,MENA region,301.81,20.9%,Italy
2020,sub-Saharan Africa,268.67,18.6%,Italy
2020,Latin America and the Caribbeans,177.05,12.3%,Italy
2020,Asia,129.0,8.9%,Italy
2020,"Africa, regional",83.47,5.8%,Italy
2020,Europe,65.51,4.5%,Italy
2020,"Asia, regional",1.21,0.1%,Italy
2020,Oceania,0.04,0.0%,Italy
2019,"Developing countries, unspecified",694.79,44.4%,Italy
2019,sub-Saharan Africa,297.73,19.0%,Italy
2019,MENA region,253.21,16.2%,Italy
2019,Asia,106.4,6.8%,Italy
2019,Europe,80.1,5.1%,Italy
2019,Latin America and the Caribbeans,73.74,4.7%,Italy
2019,"Africa, regional",50.37,3.2%,Italy
2019,"Asia, regional",4.81,0.3%,Italy
2019,Oceania,2.83,0.2%,Italy
