Year,Sector,Bilateral ODA for,Share,Donor
2023,Health & populations,12.5,32.78%,Slovak Republic
2023,Government & civil society,5.39,14.13%,Slovak Republic
2023,Emergency Response,3.4,8.9%,Slovak Republic
2023,Education,3.24,8.5%,Slovak Republic
2023,Donor administration costs,2.96,7.76%,Slovak Republic
2023,Unspecified,2.63,6.89%,Slovak Republic
2023,"Conflict, peace & security",2.16,5.66%,Slovak Republic
2023,Refugees in donor countries,1.55,4.07%,Slovak Republic
2023,Water and sanitation,1.42,3.71%,Slovak Republic
2023,Energy,0.69,1.82%,Slovak Republic
2023,"Agriculture (incl. forestry, fishing, rural development)",0.57,1.49%,Slovak Republic
2023,Financial services & business support,0.46,1.21%,Slovak Republic
2023,Other social services,0.37,0.96%,Slovak Republic
2023,Other multisector,0.27,0.72%,Slovak Republic
2023,Food aid and commodity assistance,0.16,0.42%,Slovak Republic
2023,Infrastructure,0.15,0.39%,Slovak Republic
2023,Environmental protection,0.11,0.3%,Slovak Republic
2023,"Industry, construction & mining",0.08,0.21%,Slovak Republic
2023,Disaster Prevention & Preparedness,0.02,0.06%,Slovak Republic
2023,Tourism,0.0,0.01%,Slovak Republic
2023,Trade policy,0.0,0.0%,Slovak Republic
2023,Reconstruction Relief & Rehabilitation,0.0,0.01%,Slovak Republic
2022,Health & populations,18.79,41.38%,Slovak Republic
2022,Emergency Response,7.6,16.74%,Slovak Republic
2022,Education,4.07,8.96%,Slovak Republic
2022,Government & civil society,3.02,6.66%,Slovak Republic
2022,Donor administration costs,2.52,5.54%,Slovak Republic
2022,Unspecified,2.33,5.13%,Slovak Republic
2022,Refugees in donor countries,1.47,3.24%,Slovak Republic
2022,Water and sanitation,1.18,2.59%,Slovak Republic
2022,"Conflict, peace & security",0.9,1.97%,Slovak Republic
2022,Other social services,0.74,1.64%,Slovak Republic
2022,Energy,0.65,1.44%,Slovak Republic
2022,Financial services & business support,0.62,1.37%,Slovak Republic
