year,Region,Bilateral ODA,Share,Donor
2023,Asia,10772.46,52.9%,Japan
2023,"Developing countries, unspecified",3134.26,15.4%,Japan
2023,MENA region,2288.9,11.2%,Japan
2023,sub-Saharan Africa,1530.59,7.5%,Japan
2023,Europe,1129.78,5.5%,Japan
2023,Latin America and the Caribbeans,892.75,4.4%,Japan
2023,"Africa, regional",327.95,1.6%,Japan
2023,Oceania,240.89,1.2%,Japan
2023,"Asia, regional",65.17,0.3%,Japan
2023,,0.0,0.0%,Japan
2022,Asia,10685.09,56.2%,Japan
2022,"Developing countries, unspecified",2548.44,13.4%,Japan
2022,MENA region,1706.67,9.0%,Japan
2022,sub-Saharan Africa,1452.26,7.6%,Japan
2022,Europe,1214.49,6.4%,Japan
2022,Latin America and the Caribbeans,882.26,4.6%,Japan
2022,Oceania,240.83,1.3%,Japan
2022,"Africa, regional",171.76,0.9%,Japan
2022,"Asia, regional",114.21,0.6%,Japan
2022,,0.0,0.0%,Japan
2021,Asia,8453.79,58.5%,Japan
2021,"Developing countries, unspecified",1802.32,12.5%,Japan
2021,sub-Saharan Africa,1339.71,9.3%,Japan
2021,MENA region,1325.56,9.2%,Japan
2021,Latin America and the Caribbeans,573.99,4.0%,Japan
2021,Oceania,501.5,3.5%,Japan
2021,"Asia, regional",248.49,1.7%,Japan
2021,Europe,162.86,1.1%,Japan
2021,"Africa, regional",32.06,0.2%,Japan
2021,,0.0,0.0%,Japan
2020,Asia,8002.26,60.2%,Japan
2020,"Developing countries, unspecified",1861.66,14.0%,Japan
2020,MENA region,1384.12,10.4%,Japan
2020,sub-Saharan Africa,1039.14,7.8%,Japan
2020,Latin America and the Caribbeans,498.73,3.8%,Japan
2020,Oceania,258.58,1.9%,Japan
2020,"Asia, regional",128.71,1.0%,Japan
2020,Europe,108.21,0.8%,Japan
2020,"Africa, regional",7.39,0.1%,Japan
2020,,0.0,0.0%,Japan
2019,Asia,7256.69,60.9%,Japan
2019,"Developing countries, unspecified",1569.8,13.2%,Japan
2019,sub-Saharan Africa,1169.5,9.8%,Japan
2019,MENA region,1050.4,8.8%,Japan
2019,Latin America and the Caribbeans,331.7,2.8%,Japan
2019,Oceania,179.34,1.5%,Japan
2019,Europe,133.11,1.1%,Japan
2019,"Asia, regional",128.96,1.1%,Japan
2019,"Africa, regional",90.8,0.8%,Japan
2019,,0.0,0.0%,Japan
