Year,Donor,ODA as % GNI,Ranking
2023,Norway,1.09%,1st
2023,Luxembourg,0.99%,2nd
2023,Sweden,0.93%,3rd
2023,Germany,0.82%,4th
2023,Denmark,0.73%,5th
2023,Ireland,0.67%,6th
2023,Netherlands,0.66%,7th
2023,Switzerland,0.6%,8th
2023,United Kingdom,0.58%,9th
2023,Finland,0.54%,10th
2023,France,0.48%,11th
2023,Japan,0.44%,12th
2023,Belgium,0.44%,13th
2023,Austria,0.38%,14th
2023,Canada,0.38%,15th
2023,Iceland,0.35%,16th
2023,Latvia,0.34%,17th
2023,Poland,0.33%,18th
2023,New Zealand,0.31%,19th
2023,Lithuania,0.3%,20th
2023,Estonia,0.28%,21st
2023,Italy,0.27%,22nd
2023,Slovenia,0.24%,23rd
2023,Spain,0.24%,24th
2023,Czechia,0.24%,25th
2023,United States,0.24%,26th
2023,Australia,0.19%,27th
2023,Portugal,0.19%,28th
2023,Korea,0.17%,29th
2023,Greece,0.14%,30th
2023,Slovak Republic,0.14%,31st
2023,Hungary,0.13%,32nd
2024,Norway,1.02%,1st
2024,Luxembourg,1.0%,2nd
2024,Sweden,0.79%,3rd
2024,Denmark,0.71%,4th
2024,Germany,0.67%,5th
2024,Netherlands,0.62%,6th
2024,Ireland,0.57%,7th
2024,Switzerland,0.51%,8th
2024,United Kingdom,0.5%,9th
2024,Belgium,0.48%,10th
2024,France,0.48%,11th
2024,Finland,0.47%,12th
2024,Japan,0.39%,13th
2024,Austria,0.34%,14th
2024,Canada,0.34%,15th
2024,Iceland,0.33%,16th
2024,New Zealand,0.32%,17th
2024,Italy,0.28%,18th
2024,Latvia,0.26%,19th
2024,Spain,0.25%,20th
2024,Lithuania,0.24%,21st
2024,Portugal,0.24%,22nd
2024,Poland,0.24%,23rd
2024,Slovenia,0.23%,24th
2024,United States,0.22%,25th
2024,Korea,0.21%,26th
2024,Estonia,0.2%,27th
2024,Australia,0.19%,28th
2024,Czechia,0.17%,29th
2024,Greece,0.14%,30th
2024,Slovak Republic,0.14%,31st
2024,Hungary,0.09%,32nd
