year,Region,Bilateral ODA,Share,Donor
2023,"Developing countries, unspecified",52.54,91.7%,Greece
2023,Europe,3.22,5.6%,Greece
2023,MENA region,1.16,2.0%,Greece
2023,sub-Saharan Africa,0.21,0.4%,Greece
2023,Asia,0.15,0.3%,Greece
2022,"Developing countries, unspecified",80.98,74.6%,Greece
2022,sub-Saharan Africa,17.81,16.4%,Greece
2022,Europe,4.33,4.0%,Greece
2022,Asia,3.16,2.9%,Greece
2022,MENA region,2.26,2.1%,Greece
2022,Latin America and the Caribbeans,0.0,0.0%,Greece
2021,"Developing countries, unspecified",41.11,53.1%,Greece
2021,sub-Saharan Africa,9.78,12.6%,Greece
2021,Asia,9.73,12.6%,Greece
2021,MENA region,9.39,12.1%,Greece
2021,Europe,7.23,9.3%,Greece
2021,Latin America and the Caribbeans,0.16,0.2%,Greece
2020,"Developing countries, unspecified",88.49,94.8%,Greece
2020,Europe,4.41,4.7%,Greece
2020,MENA region,0.28,0.3%,Greece
2020,Asia,0.04,0.0%,Greece
2020,sub-Saharan Africa,0.04,0.0%,Greece
2020,Latin America and the Caribbeans,0.04,0.0%,Greece
2019,"Developing countries, unspecified",149.37,94.2%,Greece
2019,Europe,7.64,4.8%,Greece
2019,MENA region,0.92,0.6%,Greece
2019,sub-Saharan Africa,0.45,0.3%,Greece
2019,Asia,0.15,0.1%,Greece
2019,Latin America and the Caribbeans,0.01,0.0%,Greece
