year,Region,Bilateral ODA,Share,Donor
2023,"Developing countries, unspecified",1095.46,33.6%,Sweden
2023,sub-Saharan Africa,1000.41,30.7%,Sweden
2023,Europe,433.03,13.3%,Sweden
2023,Asia,272.35,8.4%,Sweden
2023,MENA region,229.62,7.0%,Sweden
2023,Latin America and the Caribbeans,121.29,3.7%,Sweden
2023,"Africa, regional",76.61,2.3%,Sweden
2023,"Asia, regional",27.38,0.8%,Sweden
2023,Oceania,4.17,0.1%,Sweden
2022,"Developing countries, unspecified",1388.89,38.9%,Sweden
2022,sub-Saharan Africa,1039.11,29.1%,Sweden
2022,Europe,362.36,10.1%,Sweden
2022,Asia,266.47,7.5%,Sweden
2022,MENA region,255.71,7.2%,Sweden
2022,Latin America and the Caribbeans,129.41,3.6%,Sweden
2022,"Africa, regional",89.38,2.5%,Sweden
2022,"Asia, regional",34.29,1.0%,Sweden
2022,Oceania,6.56,0.2%,Sweden
2021,sub-Saharan Africa,1247.36,34.8%,Sweden
2021,"Developing countries, unspecified",1200.74,33.5%,Sweden
2021,MENA region,330.75,9.2%,Sweden
2021,Asia,300.12,8.4%,Sweden
2021,Europe,184.12,5.1%,Sweden
2021,Latin America and the Caribbeans,178.21,5.0%,Sweden
2021,"Africa, regional",87.61,2.4%,Sweden
2021,"Asia, regional",45.0,1.3%,Sweden
2021,Oceania,6.69,0.2%,Sweden
2020,"Developing countries, unspecified",1455.08,40.4%,Sweden
2020,sub-Saharan Africa,1103.47,30.7%,Sweden
2020,Asia,302.49,8.4%,Sweden
2020,MENA region,299.68,8.3%,Sweden
2020,Europe,190.65,5.3%,Sweden
2020,Latin America and the Caribbeans,127.48,3.5%,Sweden
2020,"Africa, regional",70.07,1.9%,Sweden
2020,"Asia, regional",48.27,1.3%,Sweden
2020,Oceania,1.69,0.0%,Sweden
2019,"Developing countries, unspecified",1484.92,40.2%,Sweden
2019,sub-Saharan Africa,1122.09,30.3%,Sweden
2019,Asia,318.36,8.6%,Sweden
2019,MENA region,300.59,8.1%,Sweden
2019,Europe,219.2,5.9%,Sweden
2019,Latin America and the Caribbeans,126.86,3.4%,Sweden
2019,"Africa, regional",73.51,2.0%,Sweden
2019,"Asia, regional",47.81,1.3%,Sweden
2019,Oceania,4.02,0.1%,Sweden
