year,incomegroup_name,total_oda,Share,Donor
2023,LDCs,176.53,63.31,Portugal
2023,LMICs,41.9,15.03,Portugal
2023,Part I unallocated by income,37.54,13.46,Portugal
2023,UMICs,22.42,8.04,Portugal
2023,Other LICs,0.47,0.17,Portugal
2022,LDCs,159.47,56.54,Portugal
2022,LMICs,65.77,23.32,Portugal
2022,Part I unallocated by income,33.69,11.94,Portugal
2022,UMICs,22.77,8.07,Portugal
2022,Other LICs,0.36,0.13,Portugal
2021,LDCs,145.33,68.51,Portugal
2021,Part I unallocated by income,26.29,12.39,Portugal
2021,LMICs,23.05,10.87,Portugal
2021,UMICs,16.77,7.91,Portugal
2021,Other LICs,0.69,0.32,Portugal
2020,LDCs,136.11,54.44,Portugal
2020,UMICs,66.37,26.54,Portugal
2020,Part I unallocated by income,28.99,11.59,Portugal
2020,LMICs,18.07,7.23,Portugal
2020,Other LICs,0.5,0.2,Portugal
2019,LDCs,126.58,63.38,Portugal
2019,LMICs,28.67,14.35,Portugal
2019,Part I unallocated by income,28.38,14.21,Portugal
2019,UMICs,15.8,7.91,Portugal
2019,Other LICs,0.31,0.15,Portugal
