year,Region,Bilateral ODA,Share,Donor
2023,"Developing countries, unspecified",1335.7,77.8%,Poland
2023,Europe,313.12,18.2%,Poland
2023,Asia,34.89,2.0%,Poland
2023,MENA region,20.15,1.2%,Poland
2023,sub-Saharan Africa,11.08,0.6%,Poland
2023,Latin America and the Caribbeans,1.37,0.1%,Poland
2023,Oceania,0.09,0.0%,Poland
2023,"Africa, regional",0.06,0.0%,Poland
2022,"Developing countries, unspecified",2582.09,82.1%,Poland
2022,Europe,476.97,15.2%,Poland
2022,Asia,38.33,1.2%,Poland
2022,MENA region,25.42,0.8%,Poland
2022,sub-Saharan Africa,19.22,0.6%,Poland
2022,Latin America and the Caribbeans,2.89,0.1%,Poland
2022,"Africa, regional",1.42,0.0%,Poland
2022,Oceania,0.04,0.0%,Poland
2021,Europe,189.48,54.8%,Poland
2021,Asia,76.74,22.2%,Poland
2021,MENA region,27.38,7.9%,Poland
2021,sub-Saharan Africa,25.78,7.5%,Poland
2021,"Developing countries, unspecified",23.49,6.8%,Poland
2021,Latin America and the Caribbeans,2.52,0.7%,Poland
2021,"Africa, regional",0.15,0.0%,Poland
2021,Oceania,0.03,0.0%,Poland
2020,Europe,177.8,63.8%,Poland
2020,Asia,46.5,16.7%,Poland
2020,sub-Saharan Africa,24.77,8.9%,Poland
2020,MENA region,14.56,5.2%,Poland
2020,"Developing countries, unspecified",12.41,4.5%,Poland
2020,Latin America and the Caribbeans,2.41,0.9%,Poland
2020,"Africa, regional",0.07,0.0%,Poland
2020,Oceania,0.02,0.0%,Poland
2019,Europe,175.03,60.9%,Poland
2019,Asia,45.24,15.7%,Poland
2019,sub-Saharan Africa,30.89,10.8%,Poland
2019,"Developing countries, unspecified",16.92,5.9%,Poland
2019,MENA region,15.78,5.5%,Poland
2019,Latin America and the Caribbeans,2.97,1.0%,Poland
2019,"Africa, regional",0.39,0.1%,Poland
2019,Oceania,0.04,0.0%,Poland
