year,Region,Bilateral ODA,Share,Donor
2023,"Developing countries, unspecified",657.21,42.2%,Spain
2023,Latin America and the Caribbeans,463.29,29.7%,Spain
2023,MENA region,180.71,11.6%,Spain
2023,sub-Saharan Africa,166.12,10.7%,Spain
2023,Europe,42.34,2.7%,Spain
2023,Asia,31.28,2.0%,Spain
2023,"Africa, regional",12.64,0.8%,Spain
2023,"Asia, regional",4.7,0.3%,Spain
2023,Oceania,0.07,0.0%,Spain
2023,,0.0,0.0%,Spain
2022,"Developing countries, unspecified",1437.92,59.0%,Spain
2022,Latin America and the Caribbeans,429.7,17.6%,Spain
2022,sub-Saharan Africa,207.13,8.5%,Spain
2022,MENA region,147.13,6.0%,Spain
2022,Europe,141.82,5.8%,Spain
2022,Asia,47.47,1.9%,Spain
2022,"Africa, regional",17.92,0.7%,Spain
2022,"Asia, regional",8.8,0.4%,Spain
2022,Oceania,0.11,0.0%,Spain
2022,,0.0,0.0%,Spain
2021,"Developing countries, unspecified",643.24,41.8%,Spain
2021,Latin America and the Caribbeans,448.32,29.2%,Spain
2021,sub-Saharan Africa,233.43,15.2%,Spain
2021,MENA region,154.05,10.0%,Spain
2021,Asia,32.69,2.1%,Spain
2021,Europe,18.24,1.2%,Spain
2021,"Africa, regional",5.4,0.4%,Spain
2021,"Asia, regional",2.36,0.2%,Spain
2021,Oceania,0.06,0.0%,Spain
2021,,0.0,0.0%,Spain
2020,Latin America and the Caribbeans,434.03,39.1%,Spain
2020,"Developing countries, unspecified",331.08,29.9%,Spain
2020,sub-Saharan Africa,137.93,12.4%,Spain
2020,MENA region,129.72,11.7%,Spain
2020,Europe,44.86,4.0%,Spain
2020,Asia,27.62,2.5%,Spain
2020,"Africa, regional",2.77,0.2%,Spain
2020,Oceania,0.51,0.0%,Spain
2020,"Asia, regional",0.32,0.0%,Spain
2020,,0.0,0.0%,Spain
2019,Latin America and the Caribbeans,400.53,33.6%,Spain
2019,"Developing countries, unspecified",344.92,29.0%,Spain
2019,MENA region,174.18,14.6%,Spain
2019,sub-Saharan Africa,156.66,13.2%,Spain
2019,Europe,69.71,5.9%,Spain
2019,Asia,41.46,3.5%,Spain
2019,"Africa, regional",2.99,0.3%,Spain
2019,Oceania,0.02,0.0%,Spain
2019,,0.0,0.0%,Spain
