year,Region,Bilateral ODA,Share,Donor
2023,"Developing countries, unspecified",1649.94,38.4%,Norway
2023,sub-Saharan Africa,887.44,20.7%,Norway
2023,Europe,866.62,20.2%,Norway
2023,MENA region,370.58,8.6%,Norway
2023,Asia,293.65,6.8%,Norway
2023,Latin America and the Caribbeans,136.95,3.2%,Norway
2023,"Africa, regional",73.01,1.7%,Norway
2023,"Asia, regional",14.41,0.3%,Norway
2023,Oceania,2.31,0.1%,Norway
2022,"Developing countries, unspecified",1591.06,47.0%,Norway
2022,sub-Saharan Africa,615.1,18.2%,Norway
2022,Europe,503.73,14.9%,Norway
2022,Asia,251.92,7.4%,Norway
2022,MENA region,244.38,7.2%,Norway
2022,Latin America and the Caribbeans,126.26,3.7%,Norway
2022,"Africa, regional",41.12,1.2%,Norway
2022,"Asia, regional",12.45,0.4%,Norway
2022,Oceania,1.97,0.1%,Norway
2021,"Developing countries, unspecified",1730.06,52.4%,Norway
2021,sub-Saharan Africa,724.74,22.0%,Norway
2021,MENA region,321.86,9.8%,Norway
2021,Asia,253.29,7.7%,Norway
2021,Latin America and the Caribbeans,144.69,4.4%,Norway
2021,Europe,57.14,1.7%,Norway
2021,"Africa, regional",46.9,1.4%,Norway
2021,"Asia, regional",18.96,0.6%,Norway
2021,Oceania,1.31,0.0%,Norway
2020,"Developing countries, unspecified",1865.7,49.3%,Norway
2020,sub-Saharan Africa,860.02,22.7%,Norway
2020,MENA region,405.71,10.7%,Norway
2020,Asia,346.09,9.1%,Norway
2020,Latin America and the Caribbeans,146.63,3.9%,Norway
2020,Europe,85.37,2.3%,Norway
2020,"Africa, regional",51.66,1.4%,Norway
2020,"Asia, regional",23.57,0.6%,Norway
2020,Oceania,2.95,0.1%,Norway
2019,"Developing countries, unspecified",1700.57,46.3%,Norway
2019,sub-Saharan Africa,803.23,21.9%,Norway
2019,MENA region,463.67,12.6%,Norway
2019,Asia,305.86,8.3%,Norway
2019,Latin America and the Caribbeans,216.1,5.9%,Norway
2019,Europe,87.11,2.4%,Norway
2019,"Africa, regional",70.69,1.9%,Norway
2019,"Asia, regional",23.13,0.6%,Norway
2019,Oceania,1.89,0.1%,Norway
