Year,Sector,Bilateral ODA for,Share,Donor
2023,General budget support,82.74,12.93%,New Zealand
2023,Government & civil society,75.25,11.76%,New Zealand
2023,Donor administration costs,68.1,10.64%,New Zealand
2023,"Agriculture (incl. forestry, fishing, rural development)",62.2,9.72%,New Zealand
2023,Education,56.01,8.75%,New Zealand
2023,Emergency Response,50.4,7.88%,New Zealand
2023,Other multisector,38.33,5.99%,New Zealand
2023,Energy,37.59,5.88%,New Zealand
2023,Health & populations,32.99,5.16%,New Zealand
2023,Environmental protection,31.65,4.95%,New Zealand
2023,Water and sanitation,24.36,3.81%,New Zealand
2023,Infrastructure,17.03,2.66%,New Zealand
2023,Refugees in donor countries,13.2,2.06%,New Zealand
2023,Tourism,11.23,1.76%,New Zealand
2023,"Conflict, peace & security",10.69,1.67%,New Zealand
2023,Other social services,10.67,1.67%,New Zealand
2023,Trade policy,5.46,0.85%,New Zealand
2023,Financial services & business support,4.29,0.67%,New Zealand
2023,"Industry, construction & mining",4.15,0.65%,New Zealand
2023,Disaster Prevention & Preparedness,1.94,0.3%,New Zealand
2023,Unspecified,0.93,0.15%,New Zealand
2023,Reconstruction Relief & Rehabilitation,0.55,0.09%,New Zealand
2022,Donor administration costs,63.59,14.93%,New Zealand
2022,Health & populations,57.46,13.49%,New Zealand
2022,General budget support,36.89,8.66%,New Zealand
2022,Education,36.11,8.48%,New Zealand
2022,Government & civil society,33.13,7.78%,New Zealand
2022,Other multisector,32.4,7.61%,New Zealand
2022,"Agriculture (incl. forestry, fishing, rural development)",32.2,7.56%,New Zealand
2022,Emergency Response,28.58,6.71%,New Zealand
2022,Environmental protection,17.82,4.18%,New Zealand
2022,Water and sanitation,15.19,3.57%,New Zealand
2022,Refugees in donor countries,14.36,3.37%,New Zealand
2022,Infrastructure,12.1,2.84%,New Zealand
2022,Energy,11.22,2.63%,New Zealand
2022,Financial services & business support,9.25,2.17%,New Zealand
2022,"Conflict, peace & security",8.24,1.93%,New Zealand
2022,Other social services,7.0,1.64%,New Zealand
2022,Tourism,4.58,1.08%,New Zealand
2022,Trade policy,3.36,0.79%,New Zealand
2022,Disaster Prevention & Preparedness,1.34,0.31%,New Zealand
2022,"Industry, construction & mining",0.83,0.2%,New Zealand
2022,Unspecified,0.24,0.06%,New Zealand
2022,Reconstruction Relief & Rehabilitation,0.03,0.01%,New Zealand
2021,General budget support,115.37,20.56%,New Zealand
2021,Health & populations,71.9,12.81%,New Zealand
2021,Education,59.26,10.56%,New Zealand
2021,Donor administration costs,52.86,9.42%,New Zealand
2021,Other multisector,38.4,6.84%,New Zealand
2021,"Agriculture (incl. forestry, fishing, rural development)",36.91,6.58%,New Zealand
2021,Government & civil society,35.39,6.31%,New Zealand
2021,Emergency Response,26.75,4.77%,New Zealand
2021,Infrastructure,18.94,3.38%,New Zealand
2021,Environmental protection,16.88,3.01%,New Zealand
2021,Other social services,14.42,2.57%,New Zealand
2021,Energy,12.37,2.21%,New Zealand
2021,Refugees in donor countries,11.31,2.01%,New Zealand
2021,Financial services & business support,10.12,1.8%,New Zealand
2021,Water and sanitation,8.93,1.59%,New Zealand
2021,"Conflict, peace & security",5.92,1.05%,New Zealand
2021,Tourism,5.41,0.96%,New Zealand
2021,Trade policy,4.97,0.89%,New Zealand
2021,Disaster Prevention & Preparedness,4.59,0.82%,New Zealand
2021,Reconstruction Relief & Rehabilitation,4.08,0.73%,New Zealand
2021,Food aid and commodity assistance,3.42,0.61%,New Zealand
2021,"Industry, construction & mining",1.74,0.31%,New Zealand
2021,Unspecified,1.24,0.22%,New Zealand
2020,Education,71.83,15.23%,New Zealand
2020,General budget support,55.92,11.86%,New Zealand
2020,Donor administration costs,53.18,11.28%,New Zealand
2020,Health & populations,49.33,10.46%,New Zealand
2020,Government & civil society,45.71,9.7%,New Zealand
2020,"Agriculture (incl. forestry, fishing, rural development)",40.61,8.61%,New Zealand
2020,Other multisector,26.34,5.59%,New Zealand
2020,Emergency Response,23.23,4.93%,New Zealand
2020,Infrastructure,15.07,3.2%,New Zealand
2020,Energy,14.99,3.18%,New Zealand
2020,"Conflict, peace & security",12.1,2.57%,New Zealand
2020,Financial services & business support,11.03,2.34%,New Zealand
2020,Water and sanitation,10.33,2.19%,New Zealand
2020,Other social services,9.15,1.94%,New Zealand
2020,Refugees in donor countries,8.89,1.89%,New Zealand
2020,Environmental protection,8.04,1.71%,New Zealand
2020,Disaster Prevention & Preparedness,4.25,0.9%,New Zealand
2020,Tourism,4.21,0.89%,New Zealand
2020,Trade policy,3.15,0.67%,New Zealand
2020,Reconstruction Relief & Rehabilitation,2.27,0.48%,New Zealand
