year,incomegroup_name,total_oda,Share,Donor
2023,Upper-middle income countries,27.74,40.76,Slovenia
2023,Countries unallocated by income,27.23,40.0,Slovenia
2023,Lower-middle income countries,10.05,14.76,Slovenia
2023,Least developed countries,2.02,2.97,Slovenia
2023,Other low income countries,1.02,1.5,Slovenia
2022,Countries unallocated by income,39.04,39.85,Slovenia
2022,Least developed countries,25.61,26.14,Slovenia
2022,Upper-middle income countries,24.77,25.28,Slovenia
2022,Lower-middle income countries,8.26,8.43,Slovenia
2022,Other low income countries,0.3,0.31,Slovenia
2021,Upper-middle income countries,25.92,52.99,Slovenia
2021,Lower-middle income countries,10.15,20.76,Slovenia
2021,Countries unallocated by income,8.51,17.4,Slovenia
2021,Least developed countries,4.1,8.39,Slovenia
2021,Other low income countries,0.23,0.46,Slovenia
2020,Upper-middle income countries,24.47,69.43,Slovenia
2020,Countries unallocated by income,9.07,25.72,Slovenia
2020,Lower-middle income countries,1.14,3.23,Slovenia
2020,Least developed countries,0.44,1.25,Slovenia
2020,Other low income countries,0.13,0.37,Slovenia
2019,Upper-middle income countries,23.01,63.57,Slovenia
2019,Countries unallocated by income,9.59,26.49,Slovenia
2019,Lower-middle income countries,2.44,6.73,Slovenia
2019,Least developed countries,0.64,1.77,Slovenia
2019,Other low income countries,0.52,1.44,Slovenia
