year,Region,Bilateral ODA,Share,Donor
2023,"Developing countries, unspecified",39.79,45.8%,Iceland
2023,sub-Saharan Africa,27.25,31.4%,Iceland
2023,Europe,12.38,14.2%,Iceland
2023,MENA region,3.74,4.3%,Iceland
2023,Asia,3.41,3.9%,Iceland
2023,Latin America and the Caribbeans,0.33,0.4%,Iceland
2023,Oceania,0.0,0.0%,Iceland
2022,sub-Saharan Africa,27.64,36.5%,Iceland
2022,"Developing countries, unspecified",27.47,36.3%,Iceland
2022,Europe,13.4,17.7%,Iceland
2022,MENA region,3.42,4.5%,Iceland
2022,Asia,2.69,3.6%,Iceland
2022,Latin America and the Caribbeans,0.65,0.9%,Iceland
2022,"Africa, regional",0.39,0.5%,Iceland
2021,"Developing countries, unspecified",32.26,52.5%,Iceland
2021,sub-Saharan Africa,22.17,36.1%,Iceland
2021,MENA region,3.94,6.4%,Iceland
2021,Asia,2.24,3.6%,Iceland
2021,Europe,0.67,1.1%,Iceland
2021,Latin America and the Caribbeans,0.2,0.3%,Iceland
2020,"Developing countries, unspecified",28.34,50.6%,Iceland
2020,sub-Saharan Africa,21.62,38.6%,Iceland
2020,MENA region,3.97,7.1%,Iceland
2020,Asia,1.19,2.1%,Iceland
2020,Europe,0.47,0.8%,Iceland
2020,Latin America and the Caribbeans,0.37,0.7%,Iceland
2019,"Developing countries, unspecified",30.63,52.2%,Iceland
2019,sub-Saharan Africa,22.03,37.5%,Iceland
2019,MENA region,4.35,7.4%,Iceland
2019,Asia,1.16,2.0%,Iceland
2019,Latin America and the Caribbeans,0.38,0.6%,Iceland
2019,Europe,0.12,0.2%,Iceland
2019,Oceania,0.02,0.0%,Iceland
