Donor,Gender equality ODA as a % of bilateral ODA,Rank
Netherlands,80%,1st
Iceland,68%,2nd
Sweden,67%,3rd
Switzerland,63%,4th
Canada,62%,5th
Ireland,61%,6th
United Kingdom,57%,7th
Belgium,56%,8th
Finland,54%,9th
Germany,48%,10th
New Zealand,48%,11th
Australia,47%,12th
EU Institutions,47%,13th
Japan,43%,14th
Spain,43%,15th
Austria,41%,16th
Norway,39%,17th
Luxembourg,35%,18th
Denmark,34%,19th
Portugal,28%,20th
France,26%,21st
Italy,21%,22nd
Korea,18%,23rd
United States,15%,24th
Slovak Republic,13%,25th
Slovenia,13%,26th
Czechia,9%,27th
Estonia,8%,28th
Lithuania,8%,29th
Hungary,7%,30th
Poland,2%,31st
Greece,0%,32nd
