Sector,Funding Tagged with the Gender Equality Policy Marker,Non-Gender Equality-Related Funding
Other social services,73%,27%
"Agriculture (incl. forestry, fishing, rural development)",65%,35%
Infrastructure,57%,43%
Education,52%,48%
Water and sanitation,51%,49%
"Industry, construction & mining",46%,54%
Trade policy,46%,54%
"Conflict, peace & security",45%,55%
Food aid and commodity assistance,42%,58%
Tourism,41%,59%
Health & populations,40%,60%
Environmental protection,38%,62%
Financial services & business support,37%,63%
Other multisector,36%,64%
Government & civil society,32%,68%
