"","Donor","total_perc","Rank"
"1","Canada",0.898832471429255,1
"2","Netherlands",0.786907793908386,2
"3","Iceland",0.76830047670606,3
"4","Sweden",0.730433439920275,4
"5","Ireland",0.690548692589293,5
"6","Switzerland",0.634886398101619,6
"7","Finland",0.632931088115699,7
"8","Belgium",0.598194270547791,8
"9","United Kingdom",0.579645343944719,9
"10","New Zealand",0.503059739982826,10
"11","Hungary",0.481588654618845,11
"12","Germany",0.479777192494362,12
"13","Japan",0.415261853728809,13
"14","Norway",0.414444865456159,14
"15","Australia",0.411260799016398,15
"16","EU Institutions",0.381529194247217,16
"17","France",0.371119921885291,17
"18","Denmark",0.369389607506879,18
"19","Spain",0.368006716071202,19
"20","Portugal",0.362747528187621,20
"21","Austria",0.356801296619625,21
"22","Luxembourg",0.35408491860408,22
"23","Italy",0.342313355532937,23
"24","Czechia",0.316220280364334,24
"25","Korea",0.228634025343704,25
"26","United States",0.177908251815977,26
"27","Slovak Republic",0.12853891139491,27
"28","Slovenia",0.0798673915216196,28
"29","Poland",0.0265804755902521,29
"30","Greece",0.0130204443246547,30
