"","Year","Value","Share","full name","country"
"1","2017",373.764461,"1%","Multilateral Organisations","Ireland"
"2","2018",412.008366,"1%","Multilateral Organisations","Ireland"
"3","2019",423.971894,"1%","Multilateral Organisations","Ireland"
"4","2020",485.535683,"1%","Multilateral Organisations","Ireland"
"5","2021",532.745124,"1%","Multilateral Organisations","Ireland"
"6","2017",85.975558,"0.230026037708277%","United Nations (UN) agency, fund or commission","Ireland"
"7","2018",107.205793,"0.260202951801226%","United Nations (UN) agency, fund or commission","Ireland"
"8","2019",105.887099,"0.249750279437155%","United Nations (UN) agency, fund or commission","Ireland"
"9","2020",121.337793,"0.249904996168943%","United Nations (UN) agency, fund or commission","Ireland"
"10","2021",116.120964,"0.217967201892213%","United Nations (UN) agency, fund or commission","Ireland"
"11","2017",15.970091,"0.0427276872639852%","Central Emergency Response Fund","Ireland"
"12","2018",14.624913,"0.0354966408618994%","Central Emergency Response Fund","Ireland"
"13","2019",7.090051,"0.0167229269211888%","Central Emergency Response Fund","Ireland"
"14","2020",11.877929,"0.0244635552357539%","Central Emergency Response Fund","Ireland"
"15","2021",13.008514,"0.024417894062227%","Central Emergency Response Fund","Ireland"
"16","2017",1.174853,"0.00314329777865103%","Food and Agricultural Organisation","Ireland"
"17","2018",1.121243,"0.00272140833179101%","Food and Agricultural Organisation","Ireland"
"18","2019",1.399963,"0.00330201841162613%","Food and Agricultural Organisation","Ireland"
"19","2020",1.620609,"0.00333777527943296%","Food and Agricultural Organisation","Ireland"
"20","2021",1.841706,"0.00345701146201387%","Food and Agricultural Organisation","Ireland"
"21","2018",2.437485,"0.00652144667119649%","International Fund for Agricultural Development","Ireland"
"22","2019",2.954188,"0.00717021362619612%","International Fund for Agricultural Development","Ireland"
"23","2020",2.969482,"0.00700395955964005%","International Fund for Agricultural Development","Ireland"
"24","2021",2.956481,"0.00608911168327046%","International Fund for Agricultural Development","Ireland"
"25","2017",9.520631,"0.0178708927986359%","United Nations Development Programme","Ireland"
"26","2018",9.749942,"0.0260857920357495%","United Nations Development Programme","Ireland"
"27","2019",9.157982,"0.0222276602994998%","United Nations Development Programme","Ireland"
"28","2020",9.205395,"0.0217122765218017%","United Nations Development Programme","Ireland"
"29","2021",9.16509,"0.0188762439525995%","United Nations Development Programme","Ireland"
"30","2017",1.842703,"0.0034588829010099%","United Nations Entity for Gender Equality and the Empowerment of Women","Ireland"
"31","2018",1.828114,"0.00489108567226781%","United Nations Entity for Gender Equality and the Empowerment of Women","Ireland"
"32","2019",1.772513,"0.00430212866114471%","United Nations Entity for Gender Equality and the Empowerment of Women","Ireland"
"33","2020",1.781689,"0.00420237526405465%","United Nations Entity for Gender Equality and the Empowerment of Women","Ireland"
"34","2021",2.365184,"0.00487128769895168%","United Nations Entity for Gender Equality and the Empowerment of Women","Ireland"
"35","2017",0.58754,"0.00110285382921684%","United Nations Environment Programme","Ireland"
"36","2018",1.630678,"0.0043628492544132%","United Nations Environment Programme","Ireland"
"37","2019",0.649928,"0.00157746311394075%","United Nations Environment Programme","Ireland"
"38","2020",0.565526,"0.00133387615547931%","United Nations Environment Programme","Ireland"
"39","2021",0.479089,"0.000986722535076789%","United Nations Environment Programme","Ireland"
"40","2017",0.115988,"0.000217717619129255%","United Nations Framework Convention on Climate Change","Ireland"
"41","2018",0.710527,"0.00190100203240029%","United Nations Framework Convention on Climate Change","Ireland"
"42","2019",0.074303,"0.000180343425356562%","United Nations Framework Convention on Climate Change","Ireland"
"43","2020",0.075039,"0.000176990505884808%","United Nations Framework Convention on Climate Change","Ireland"
"44","2021",0.087,"0.000179183534899947%","United Nations Framework Convention on Climate Change","Ireland"
"45","2017",4.176793,"0.00784013369965635%","United Nations Office of Co-ordination of Humanitarian Affairs","Ireland"
"46","2018",3.534354,"0.00945609967984623%","United Nations Office of Co-ordination of Humanitarian Affairs","Ireland"
"47","2019",3.30869,"0.00803063790214396%","United Nations Office of Co-ordination of Humanitarian Affairs","Ireland"
"48","2020",3.800937,"0.00896506833068515%","United Nations Office of Co-ordination of Humanitarian Affairs","Ireland"
"49","2021",3.784295,"0.0077940615540712%","United Nations Office of Co-ordination of Humanitarian Affairs","Ireland"
"50","2017",3.439712,"0.00645658091466643%","United Nations Population Fund","Ireland"
"51","2018",4.2656,"0.0114125350189461%","United Nations Population Fund","Ireland"
"52","2019",4.135863,"0.0100382985912475%","United Nations Population Fund","Ireland"
"53","2020",4.157275,"0.00980554385522546%","United Nations Population Fund","Ireland"
"54","2021",4.139073,"0.00852475553274629%","United Nations Population Fund","Ireland"
"55","2017",15.355857,"0.0288240216723222%","World Food Programme","Ireland"
"56","2018",23.156112,"0.0619537554160346%","World Food Programme","Ireland"
"57","2019",29.896381,"0.0725625581107739%","World Food Programme","Ireland"
"58","2020",30.526276,"0.0720007067260925%","World Food Programme","Ireland"
"59","2021",29.564806,"0.0608911085943811%","World Food Programme","Ireland"
"60","2017",1.346864,"0.00252815828681334%","World Health Organisation - assessed contributions","Ireland"
"61","2018",1.307711,"0.00349875693505274%","World Health Organisation - assessed contributions","Ireland"
"62","2019",1.287754,"0.00312555303792059%","World Health Organisation - assessed contributions","Ireland"
"63","2020",1.515565,"0.00357468271234036%","World Health Organisation - assessed contributions","Ireland"
"64","2021",1.441447,"0.00296877665322901%","World Health Organisation - assessed contributions","Ireland"
"65","2021",1.53737,"0.00288575142360195%","World Health Organisation - core voluntary contributions account","Ireland"
"66","2017",221.422673,"0.592412324081288%","European Union Institutions","Ireland"
"67","2018",238.29091,"0.578364250982224%","European Union Institutions","Ireland"
"68","2019",240.276939,"0.566728461014446%","European Union Institutions","Ireland"
"69","2020",264.290062,"0.544326753426277%","European Union Institutions","Ireland"
"70","2021",308.821597,"0.579679818899666%","European Union Institutions","Ireland"
"71","2017",175.939527,"0.470722996320402%","European Commission - Development Share of Budget","Ireland"
"72","2018",186.036204,"0.4515350156749%","European Commission - Development Share of Budget","Ireland"
"73","2019",188.173763,"0.443835465659429%","European Commission - Development Share of Budget","Ireland"
"74","2020",211.917141,"0.436460487704258%","European Commission - Development Share of Budget","Ireland"
"75","2021",266.013226,"0.499325501100222%","European Commission - Development Share of Budget","Ireland"
"76","2017",43.806287,"0.11720292208306%","European Commission - European Development Fund","Ireland"
"77","2018",49.482066,"0.120099663218975%","European Commission - European Development Fund","Ireland"
"78","2019",48.877204,"0.115284066448046%","European Commission - European Development Fund","Ireland"
"79","2020",49.130248,"0.101187718473%","European Commission - European Development Fund","Ireland"
"80","2021",39.498132,"0.0741407667956432%","European Commission - European Development Fund","Ireland"
"81","2017",1.676859,"0.00448640567782607%","European Investment Bank","Ireland"
"82","2018",2.77264,"0.00672957208834929%","European Investment Bank","Ireland"
"83","2019",3.225972,"0.00760892890697137%","European Investment Bank","Ireland"
"84","2020",3.242673,"0.00667854724901856%","European Investment Bank","Ireland"
"85","2021",3.310239,"0.00621355100380046%","European Investment Bank","Ireland"
"86","2017",33.538134,"0.0897306659661257%","World Bank Group (WB)","Ireland"
"87","2018",30.090758,"0.0730343373658582%","World Bank Group (WB)","Ireland"
"88","2019",36.56103,"0.086234560633399%","World Bank Group (WB)","Ireland"
"89","2020",41.301143,"0.0850630436568758%","World Bank Group (WB)","Ireland"
"90","2021",38.613417,"0.0724800946277642%","World Bank Group (WB)","Ireland"
"91","2017",3.354661,"0.00897533433495701%","International Bank for Reconstruction and Development","Ireland"
"92","2018",0.365623,"0.000887416446296141%","International Bank for Reconstruction and Development","Ireland"
"93","2019",5.293905,"0.0124864526986782%","International Bank for Reconstruction and Development","Ireland"
"94","2020",5.131224,"0.0105681707434879%","International Bank for Reconstruction and Development","Ireland"
"95","2021",5.158911,"0.00968363813687387%","International Bank for Reconstruction and Development","Ireland"
"96","2017",30.183473,"0.0807553316311686%","International Development Association","Ireland"
"97","2018",29.725135,"0.0721469209195621%","International Development Association","Ireland"
"98","2019",31.267125,"0.0737481079347208%","International Development Association","Ireland"
"99","2020",33.994631,"0.0700146913816013%","International Development Association","Ireland"
"100","2021",29.162725,"0.0547404822423114%","International Development Association","Ireland"
"101","2017",8.910224,"0.0238391418385816%","Regional Development Banks","Ireland"
"102","2018",8.900478,"0.0216026632818422%","Regional Development Banks","Ireland"
"103","2019",11.541782,"0.0272229885125357%","Regional Development Banks","Ireland"
"104","2020",26.845103,"0.0552896603481973%","Regional Development Banks","Ireland"
"105","2021",31.737014,"0.0595726034275257%","Regional Development Banks","Ireland"
"106","2020",5.946106,"0.0159086981787709%","African Development Bank","Ireland"
"107","2021",12.830719,"0.0311418894828946%","African Development Bank","Ireland"
"108","2020",9.654309,"0.0227711061431822%","African Development Fund","Ireland"
"109","2021",9.612038,"0.0197967694992255%","African Development Fund","Ireland"
"110","2019",1.19354,"0.00224035837444849%","Asian Development Bank","Ireland"
"111","2020",1.478967,"0.00395694924028638%","Asian Development Bank","Ireland"
"112","2017",4.176793,"0.0101376412342074%","Asian Development Fund","Ireland"
"113","2018",4.143725,"0.00977358418952177%","Asian Development Fund","Ireland"
"114","2019",5.595468,"0.0115243188006843%","Asian Development Fund","Ireland"
"115","2020",5.183528,"0.00972984597415105%","Asian Development Fund","Ireland"
"116","2021",4.704351,"0.012586405319044%","Asian Development Fund","Ireland"
"117","2017",4.733431,"0.0114886769071092%","Asian Infrastructure Investment Bank","Ireland"
"118","2018",4.756753,"0.0112195007907765%","Asian Infrastructure Investment Bank","Ireland"
"119","2019",4.74986,"0.00978272074804438%","Asian Infrastructure Investment Bank","Ireland"
"120","2020",4.578645,"0.00859443811634023%","Asian Infrastructure Investment Bank","Ireland"
"121","2021",4.586227,"0.0122703667109752%","Asian Infrastructure Investment Bank","Ireland"
"122","2017",23.917872,"0.05805190858673%","Other multilateral institutions","Ireland"
"123","2018",27.520427,"0.0649109702540801%","Other multilateral institutions","Ireland"
"124","2019",29.705044,"0.0611799400951547%","Other multilateral institutions","Ireland"
"125","2020",31.761582,"0.0596187192883627%","Other multilateral institutions","Ireland"
"126","2021",37.452132,"0.100202496245356%","Other multilateral institutions","Ireland"
"127","2018",3.656228,"0.00887415960869105%","CGIAR Fund","Ireland"
"128","2019",3.545025,"0.00836146228127094%","CGIAR Fund","Ireland"
"129","2020",3.563379,"0.00733906718860043%","CGIAR Fund","Ireland"
"130","2021",3.547777,"0.00665942650654837%","CGIAR Fund","Ireland"
"131","2017",3.685406,"0.00986023655148958%","Global Alliance for Vaccines and Immunization","Ireland"
"132","2018",3.656228,"0.00887415960869105%","Global Alliance for Vaccines and Immunization","Ireland"
"133","2019",3.545025,"0.00836146228127094%","Global Alliance for Vaccines and Immunization","Ireland"
"134","2020",3.563379,"0.00733906718860043%","Global Alliance for Vaccines and Immunization","Ireland"
"135","2021",3.547777,"0.00665942650654837%","Global Alliance for Vaccines and Immunization","Ireland"
"136","2018",1.218743,"0.00326072467333913%","Global Environment Facility - Least Developed Countries Fund","Ireland"
"137","2019",2.36335,"0.00573616993010283%","Global Environment Facility - Least Developed Countries Fund","Ireland"
"138","2017",1.745654,"0.00411738142245816%","Global Environment Facility Trust Fund","Ireland"
"139","2018",1.731833,"0.00356685010110781%","Global Environment Facility Trust Fund","Ireland"
"140","2019",1.701612,"0.00319404518848304%","Global Environment Facility Trust Fund","Ireland"
"141","2020",1.710422,"0.00457620287232178%","Global Environment Facility Trust Fund","Ireland"
"142","2021",1.691107,"0.00410454529459725%","Global Environment Facility Trust Fund","Ireland"
"143","2017",12.284686,"0.0289752367405751%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Ireland"
"144","2018",12.187427,"0.0251009913930466%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Ireland"
"145","2019",14.770939,"0.0277260895211872%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Ireland"
"146","2020",17.816893,"0.0476687723394868%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Ireland"
"147","2021",17.738884,"0.0430546694287271%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Ireland"
"148","2017",2.456937,"0.00579504687638563%","Green Climate Fund","Ireland"
"149","2018",2.437485,"0.00502019745477697%","Green Climate Fund","Ireland"
"150","2019",2.36335,"0.00443617387289311%","Green Climate Fund","Ireland"
"151","2020",4.751171,"0.012711671375305%","Green Climate Fund","Ireland"
"152","2021",4.730369,"0.0114812450191849%","Green Climate Fund","Ireland"
"153","2017",0.122847,"0.000289752697616319%","Intergovernmental Panel on Climate Change","Ireland"
