"","Year","Donor","ODA as % GNI","Ranking"
"1",2022,"Luxembourg","0.995662%",1
"2",2022,"Sweden","0.891218%",2
"3",2022,"Norway","0.863457%",3
"4",2022,"Germany","0.832847%",4
"5",2022,"Denmark","0.697683%",5
"6",2022,"Netherlands","0.668074%",6
"7",2022,"Ireland","0.641481%",7
"8",2022,"Finland","0.573563%",8
"9",2022,"Switzerland","0.560701%",9
"10",2022,"France","0.556475%",10
"11",2022,"Poland","0.514184%",11
"12",2022,"United Kingdom","0.509843%",12
"13",2022,"Belgium","0.452732%",13
"14",2022,"Austria","0.393945%",14
"15",2022,"Japan","0.388149%",15
"16",2022,"Canada","0.36977%",16
"17",2022,"Iceland","0.341118%",17
"18",2022,"Italy","0.317414%",18
"19",2022,"Spain","0.297891%",19
"20",2022,"Hungary","0.276073%",20
"21",2022,"Slovenia","0.267923%",21
"22",2022,"New Zealand","0.226731%",22
"23",2022,"Portugal","0.226511%",23
"24",2022,"United States","0.217075%",24
"25",2022,"Australia","0.187002%",25
"26",2022,"Greece","0.165272%",26
"27",2022,"Korea","0.165103%",27
"28",2022,"Slovak Republic","0.153877%",28
"29",2021,"Luxembourg","0.987852%",1
"30",2021,"Norway","0.926204%",2
"31",2021,"Sweden","0.906762%",3
"32",2021,"Germany","0.764995%",4
"33",2021,"Denmark","0.710775%",5
"34",2021,"Netherlands","0.523659%",6
"35",2021,"France","0.509646%",7
"36",2021,"United Kingdom","0.503917%",8
"37",2021,"Switzerland","0.499946%",9
"38",2021,"Finland","0.473801%",10
"39",2021,"Belgium","0.432501%",11
"40",2021,"Japan","0.336017%",12
"41",2021,"Canada","0.319163%",13
"42",2021,"Austria","0.308266%",14
"43",2021,"Ireland","0.301896%",15
"44",2021,"Italy","0.286382%",16
"45",2021,"Hungary","0.280651%",17
"46",2021,"New Zealand","0.280057%",18
"47",2021,"Iceland","0.277255%",19
"48",2021,"Spain","0.256979%",20
"49",2021,"Australia","0.221445%",21
"50",2021,"United States","0.20098%",22
"51",2021,"Slovenia","0.190883%",23
"52",2021,"Portugal","0.183165%",24
"53",2021,"Greece","0.157215%",25
"54",2021,"Korea","0.15694%",26
"55",2021,"Poland","0.151854%",27
"56",2021,"Slovak Republic","0.137006%",28
