"","Year","Sector","climate-related ODA to","Share","Donor"
"1","2017","Humanitarian aid",6.725797,"0.0684703087095263%","Ireland"
"2","2018","Humanitarian aid",3.283478,"0.0452694325494102%","Ireland"
"3","2019","Humanitarian aid",6.130854,"0.0576934461629835%","Ireland"
"4","2020","Humanitarian aid",6.351034,"0.0743031618054825%","Ireland"
"5","2021","Humanitarian aid",26.729064,"0.278584259217212%","Ireland"
"6","2017","Agriculture (incl. forestry, fishing, rural development)",36.052538,"0.367023923948631%","Ireland"
"7","2018","Agriculture (incl. forestry, fishing, rural development)",22.043125,"0.303909379129605%","Ireland"
"8","2019","Agriculture (incl. forestry, fishing, rural development)",29.79126,"0.280346009697416%","Ireland"
"9","2020","Agriculture (incl. forestry, fishing, rural development)",26.254567,"0.307162162875192%","Ireland"
"10","2021","Agriculture (incl. forestry, fishing, rural development)",23.133784,"0.241112374100754%","Ireland"
"11","2017","Other multisector",5.251889,"0.0534655537682992%","Ireland"
"12","2018","Other multisector",1.082286,"0.0149215170852891%","Ireland"
"13","2019","Other multisector",19.100294,"0.179740340185259%","Ireland"
"14","2020","Other multisector",8.447906,"0.0988352646884754%","Ireland"
"15","2021","Other multisector",13.222043,"0.137807034862617%","Ireland"
"16","2017","Environmental protection",5.765681,"0.0586960858305195%","Ireland"
"17","2018","Environmental protection",6.631954,"0.0914349949272665%","Ireland"
"18","2019","Environmental protection",8.278179,"0.0779005134462573%","Ireland"
"19","2020","Environmental protection",10.113935,"0.118326771482428%","Ireland"
"20","2021","Environmental protection",12.814777,"0.13356229599281%","Ireland"
"21","2017","Other social services",15.149256,"0.154223244477888%","Ireland"
"22","2018","Other social services",14.579062,"0.201002066663054%","Ireland"
"23","2019","Other social services",6.411412,"0.0603335935011185%","Ireland"
"24","2020","Other social services",16.567447,"0.193828862378119%","Ireland"
"25","2021","Other social services",5.978424,"0.0623102560316516%","Ireland"
"26","2017","Health",12.828068,"0.130592965578175%","Ireland"
"27","2018","Health",18.158598,"0.250353261801314%","Ireland"
"28","2019","Health",14.947285,"0.140659096176531%","Ireland"
"29","2020","Health",4.990928,"0.0583907645185828%","Ireland"
"30","2021","Health",4.693643,"0.0489195977152456%","Ireland"
"31","2017","Government & civil society",6.130338,"0.0624083860029882%","Ireland"
"32","2018","Government & civil society",3.894992,"0.0537003986700969%","Ireland"
"33","2019","Government & civil society",5.117623,"0.0481585937347302%","Ireland"
"34","2020","Government & civil society",3.442186,"0.0402714429370976%","Ireland"
"35","2021","Government & civil society",4.479789,"0.0466906996823538%","Ireland"
"36","2017","Education",3.673766,"0.0373998638594893%","Ireland"
"37","2018","Education",2.367933,"0.0326467797941764%","Ireland"
"38","2019","Education",3.174911,"0.02987700520201%","Ireland"
"39","2020","Education",3.387075,"0.0396266783916296%","Ireland"
"40","2021","Education",2.107959,"0.0219702491817617%","Ireland"
"41","2017","Unspecified",1.541465,"0.0156925022290934%","Ireland"
"42","2018","Unspecified",0,"0%","Ireland"
"43","2019","Unspecified",2.893296,"0.027226911130093%","Ireland"
"44","2020","Unspecified",1.831966,"0.0214328668560336%","Ireland"
"45","2021","Unspecified",1.280183,"0.0133427355599683%","Ireland"
"46","2017","Water and sanitation",3.463867,"0.0352630391340596%","Ireland"
"47","2018","Water and sanitation",0.467052,"0.00643926318710439%","Ireland"
"48","2019","Water and sanitation",2.128575,"0.0200306233301874%","Ireland"
"49","2020","Water and sanitation",1.620749,"0.0189617588558137%","Ireland"
