"","Year","Income Group","ODA","Share","Donor"
"1","2017","WorldBank Low income countries",239.596529,"44.6292654493546%","Ireland"
"2","2018","WorldBank Low income countries",231.139851,"42.207138933667%","Ireland"
"3","2019","WorldBank Low income countries",234.590849,"39.1098149849203%","Ireland"
"4","2020","WorldBank Low income countries",233.898697,"42.9942091753124%","Ireland"
"5","2021","WorldBank Low income countries",243.798361,"39.1866176473181%","Ireland"
"6","2017","WorldBank Lower-middle income countries",87.220809,"16.2464817575402%","Ireland"
"7","2018","WorldBank Lower-middle income countries",91.354405,"16.6817104335569%","Ireland"
"8","2019","WorldBank Lower-middle income countries",94.75853,"15.7976689727698%","Ireland"
"9","2020","WorldBank Lower-middle income countries",91.536234,"16.825779887591%","Ireland"
"10","2021","WorldBank Lower-middle income countries",95.185825,"15.2995718036002%","Ireland"
"11","2017","WorldBank Upper-middle income countries",31.661658,"5.89756681929513%","Ireland"
"12","2018","WorldBank Upper-middle income countries",24.694305,"4.50928715881775%","Ireland"
"13","2019","WorldBank Upper-middle income countries",24.435775,"4.07381039514948%","Ireland"
"14","2020","WorldBank Upper-middle income countries",27.441547,"5.04418206234029%","Ireland"
"15","2021","WorldBank Upper-middle income countries",21.943307,"3.52702937706263%","Ireland"
"16","2017","Part I Unallocated by income",5.45354,"1.01582224631757%","Ireland"
"17","2018","Part I Unallocated by income",7.218857,"1.31819458662398%","Ireland"
"18","2019","Part I Unallocated by income",9.096945,"1.51659724748256%","Ireland"
"19","2020","Part I Unallocated by income",7.698574,"1.41511733563707%","Ireland"
"20","2021","Part I Unallocated by income",19.500626,"3.13440817161749%","Ireland"
"21","2017","Countries not classified by the World Bank",0,"0%","Ireland"
"22","2018","Countries not classified by the World Bank",0.055836,"0.01019589568525%","Ireland"
"23","2019","Countries not classified by the World Bank",1.429477,"0.238315267767324%","Ireland"
"24","2020","Countries not classified by the World Bank",1.806651,"0.332090481892626%","Ireland"
"25","2021","Countries not classified by the World Bank",0.591296,"0.0950412060743453%","Ireland"
"26","2017","WorldBank High income countries",0.019208,"0.00357784369552033%","Ireland"
"27","2018","WorldBank High income countries",0,"0%","Ireland"
"28","2019","WorldBank High income countries",0,"0%","Ireland"
"29","2020","WorldBank High income countries",0.356338,"0.0655004525703385%","Ireland"
"30","2021","WorldBank High income countries",0,"0%","Ireland"
