"","Year","Sector","Gender-related ODA to","Share","Donor"
"1","2017","Humanitarian aid",96.249744,"25.5196081113181%","Ireland"
"2","2018","Humanitarian aid",95.109688,"27.2929188971166%","Ireland"
"3","2019","Humanitarian aid",101.388306,"28.6454384684091%","Ireland"
"4","2020","Humanitarian aid",101.161101,"29.2994997691994%","Ireland"
"5","2021","Humanitarian aid",129.702722,"36.4055646812065%","Ireland"
"6","2017","Health & populations",74.473259,"19.7458019675636%","Ireland"
"7","2018","Health & populations",67.704968,"19.4287904777468%","Ireland"
"8","2019","Health & populations",68.324462,"19.3038452788446%","Ireland"
"9","2020","Health & populations",63.585122,"18.4162909354211%","Ireland"
"10","2021","Health & populations",63.113194,"17.7149055237602%","Ireland"
"11","2017","Government & civil society",53.137653,"14.0888902573622%","Ireland"
"12","2018","Government & civil society",50.469205,"14.4827719218988%","Ireland"
"13","2019","Government & civil society",53.313941,"15.062893115345%","Ireland"
"14","2020","Government & civil society",46.711259,"13.5290789518939%","Ireland"
"15","2021","Government & civil society",49.938358,"14.0169311345852%","Ireland"
"16","2017","Education",40.005585,"10.6070604350285%","Ireland"
"17","2018","Education",42.93913,"12.3219223745403%","Ireland"
"18","2019","Education",36.655744,"10.3564197952548%","Ireland"
"19","2020","Education",35.256978,"10.2115517581572%","Ireland"
"20","2021","Education",29.472303,"8.27242340504323%","Ireland"
"21","2017","Agriculture (incl. forestry, fishing, rural development)",45.027437,"11.9385517170525%","Ireland"
"22","2018","Agriculture (incl. forestry, fishing, rural development)",32.541731,"9.33825821145354%","Ireland"
"23","2019","Agriculture (incl. forestry, fishing, rural development)",33.497412,"9.46409001346711%","Ireland"
"24","2020","Agriculture (incl. forestry, fishing, rural development)",26.726206,"7.74076654749514%","Ireland"
"25","2021","Agriculture (incl. forestry, fishing, rural development)",23.087721,"6.48036916455114%","Ireland"
"26","2017","Other social services",29.620219,"7.85348978228365%","Ireland"
"27","2018","Other social services",24.173574,"6.93691051363186%","Ireland"
"28","2019","Other social services",10.849623,"3.06536542835557%","Ireland"
