"donorname","perc","Rank"
"Japan","0.734696469809537%",1
"France","0.544381569747074%",2
"Netherlands","0.369416411986114%",3
"Iceland","0.353432902625374%",4
"Australia","0.339481321430724%",5
"Korea","0.334138429126449%",6
"Germany","0.295138686061738%",7
"Austria","0.287494266492895%",8
"Italy","0.27143370268939%",9
"Finland","0.271168963315711%",10
"Switzerland","0.270740660329928%",11
"EU Institutions","0.250725272411565%",12
"New Zealand","0.247020600327967%",13
"Denmark","0.221247130450974%",14
"Belgium","0.217414322128141%",15
"Sweden","0.212890239817632%",16
"Ireland","0.185968832892839%",17
"Norway","0.164086205551829%",18
"United Kingdom","0.12423208297353%",19
"Canada","0.120885636792128%",20
"Spain","0.0858284614635712%",21
"Luxembourg","0.069115456282467%",22
"Slovenia","0.0637739115786249%",23
"Hungary","0.0492893260963362%",24
"Slovak Republic","0.0345737064017137%",25
"United States","0.0260508025975464%",26
"Poland","0.0199462342332635%",27
"Czech Republic","NA%",28
"Czechia","NA%",29
"DAC Countries, Total","NA%",30
"Greece","NA%",31
"Portugal","NA%",32
