"Donor","total_perc","Rank"
"Canada",0.898832471429255,1
"Netherlands",0.786907793908386,2
"Iceland",0.76830047670606,3
"Sweden",0.730433439920275,4
"Ireland",0.690548692589293,5
"Switzerland",0.634886398101619,6
"Finland",0.632931088115699,7
"Belgium",0.598194270547791,8
"United Kingdom",0.579645343944719,9
"New Zealand",0.503059739982826,10
"Hungary",0.481588654618845,11
"Germany",0.479777192494362,12
"Japan",0.415261853728809,13
"Norway",0.414444865456159,14
"Australia",0.411260799016398,15
"EU Institutions",0.381529194247217,16
"France",0.371119921885291,17
"Denmark",0.369389607506879,18
"Spain",0.368006716071202,19
"Portugal",0.362747528187621,20
"Austria",0.356801296619625,21
"Luxembourg",0.35408491860408,22
"Italy",0.342313355532937,23
"Czechia",0.316220280364334,24
"Korea",0.228634025343704,25
"United States",0.177908251815977,26
"Slovak Republic",0.12853891139491,27
"Slovenia",0.0798673915216196,28
"Poland",0.0265804755902521,29
"Greece",0.0130204443246547,30
