"","Year","Sector","Bilateral ODA for","Share","Donor"
"1",2017,"Health policy and administrative management",33.385391,"42.4061464909493%","Ireland"
"2",2018,"Health policy and administrative management",24.690632,"34.6066861573897%","Ireland"
"3",2019,"Health policy and administrative management",21.933951,"28.7575800857915%","Ireland"
"4",2020,"Health policy and administrative management",20.975799,"24.506268038146%","Ireland"
"5",2021,"Health policy and administrative management",15.224466,"15.4395120006029%","Ireland"
"6",2017,"Medical education/training",0.888222,"1.12822019213386%","Ireland"
"7",2018,"Medical education/training",0.080711,"0.113125506323576%","Ireland"
"8",2019,"Medical education/training",0.60834,"0.797593934143028%","Ireland"
"9",2020,"Medical education/training",0.383735,"0.448322028906644%","Ireland"
"10",2021,"Medical education/training",0.609756,"0.618368820255476%","Ireland"
"11",2017,"Medical research",0.247133,"0.313908505691839%","Ireland"
"12",2018,"Medical research",0.024375,"0.0341642925578565%","Ireland"
"13",2017,"Medical services",0.917946,"1.16597563727143%","Ireland"
"14",2018,"Medical services",0.764194,"1.07110348254189%","Ireland"
"15",2019,"Medical services",0.607343,"0.79628676849168%","Ireland"
"16",2020,"Medical services",0.43214,"0.504874149013557%","Ireland"
"17",2021,"Medical services",0.212757,"0.215762198471347%","Ireland"
"18",2017,"Basic health care",6.446687,"8.188586238313%","Ireland"
"19",2018,"Basic health care",9.58041,"13.4280176436601%","Ireland"
"20",2019,"Basic health care",18.741652,"24.5721602245776%","Ireland"
"21",2020,"Basic health care",17.905834,"20.9195925004119%","Ireland"
"22",2021,"Basic health care",19.987966,"20.270296568999%","Ireland"
"23",2017,"Basic health infrastructure",0.660321,"0.838740186000821%","Ireland"
"24",2018,"Basic health infrastructure",0.198445,"0.278142893811029%","Ireland"
"25",2019,"Basic health infrastructure",0.353056,"0.46289135025282%","Ireland"
"26",2020,"Basic health infrastructure",1.354393,"1.58235297196492%","Ireland"
"27",2021,"Basic health infrastructure",0.188313,"0.19097292629965%","Ireland"
"28",2017,"Basic nutrition",19.881688,"25.2537337009277%","Ireland"
"29",2018,"Basic nutrition",20.948894,"29.3622212668523%","Ireland"
"30",2019,"Basic nutrition",17.068786,"22.3788673715117%","Ireland"
"31",2020,"Basic nutrition",16.667228,"19.4725148167606%","Ireland"
"32",2021,"Basic nutrition",14.855485,"15.0653191338387%","Ireland"
"33",2017,"Infectious disease control",0.614234,"0.780200447067454%","Ireland"
"34",2018,"Infectious disease control",0.032297,"0.0452678628406602%","Ireland"
"35",2019,"Infectious disease control",0.049891,"0.0654120376242394%","Ireland"
"36",2020,"Infectious disease control",0.077376,"0.0903992737401606%","Ireland"
"37",2021,"Infectious disease control",0.096233,"0.0975922937693852%","Ireland"
"38",2017,"Health education",2.713645,"3.44687373571369%","Ireland"
"39",2018,"Health education",1.551216,"2.17420296387397%","Ireland"
"40",2019,"Health education",0.898437,"1.17793980571664%","Ireland"
"41",2020,"Health education",0.322749,"0.377071381311558%","Ireland"
"42",2021,"Health education",0.41649,"0.422372932694723%","Ireland"
"43",2017,"Malaria control",1.228469,"1.56040216433559%","Ireland"
