year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Medical education/training,0.01,74.4%,Greece
2023,Health policy and administrative management,0.0,25.6%,Greece
2022,COVID-19 control,21.87,99.4%,Greece
2022,Health policy and administrative management,0.06,0.3%,Greece
2022,Basic health infrastructure,0.06,0.3%,Greece
2022,Medical education/training,0.0,0.0%,Greece
2021,COVID-19 control,30.38,99.1%,Greece
2021,Medical services,0.22,0.7%,Greece
2021,Basic health care,0.04,0.1%,Greece
2020,Health policy and administrative management,0.04,100.0%,Greece
2019,Basic health care,0.0,100.0%,Greece
