"Year","Sector","Bilateral ODA for","Share","Donor"
2018,"Education policy and administrative management",5.093544,"8%","Spain"
2019,"Education policy and administrative management",5.402536,"9%","Spain"
2020,"Education policy and administrative management",6.676304,"10%","Spain"
2021,"Education policy and administrative management",9.803305,"14%","Spain"
2022,"Education policy and administrative management",7.261496,"10%","Spain"
2018,"Education facilities and training",21.489915,"33%","Spain"
2019,"Education facilities and training",17.954832,"28%","Spain"
2020,"Education facilities and training",18.931548,"29%","Spain"
2021,"Education facilities and training",19.524436,"27%","Spain"
2022,"Education facilities and training",23.156985,"31%","Spain"
2018,"Teacher training",1.839772,"3%","Spain"
2019,"Teacher training",1.828471,"3%","Spain"
2020,"Teacher training",1.851351,"3%","Spain"
2021,"Teacher training",1.176564,"2%","Spain"
2022,"Teacher training",1.990132,"3%","Spain"
2018,"Educational research",0.423618,"1%","Spain"
2019,"Educational research",0.189137,"0%","Spain"
2020,"Educational research",3.086115,"5%","Spain"
2021,"Educational research",0.133287,"0%","Spain"
2022,"Educational research",0.408289,"1%","Spain"
2018,"Primary education",7.012436,"11%","Spain"
2019,"Primary education",5.607273,"9%","Spain"
2020,"Primary education",6.180358,"10%","Spain"
2021,"Primary education",9.887815,"14%","Spain"
2022,"Primary education",9.188955,"12%","Spain"
2018,"Basic life skills for adults",1.983755,"3%","Spain"
2019,"Basic life skills for adults",1.796807,"3%","Spain"
2020,"Basic life skills for adults",4.088966,"6%","Spain"
2021,"Basic life skills for adults",3.9707,"6%","Spain"
2022,"Basic life skills for adults",4.336355,"6%","Spain"
2020,"Basic life skills for youth",0.555872,"1%","Spain"
2021,"Basic life skills for youth",1.465829,"2%","Spain"
2022,"Basic life skills for youth",0.987258,"1%","Spain"
2020,"Primary education equivalent for adults",0.142323,"0%","Spain"
2021,"Primary education equivalent for adults",0.142055,"0%","Spain"
2022,"Primary education equivalent for adults",0.120179,"0%","Spain"
2018,"Early childhood education",1.036654,"2%","Spain"
2019,"Early childhood education",2.299785,"4%","Spain"
2020,"Early childhood education",0.514323,"1%","Spain"
2021,"Early childhood education",0.835825,"1%","Spain"
2022,"Early childhood education",1.205454,"2%","Spain"
2018,"Upper Secondary Education (modified and includes data from 11322)",2.446285,"4%","Spain"
2019,"Upper Secondary Education (modified and includes data from 11322)",2.863483,"5%","Spain"
2020,"Upper Secondary Education (modified and includes data from 11322)",2.147745,"3%","Spain"
2021,"Upper Secondary Education (modified and includes data from 11322)",2.451651,"3%","Spain"
2022,"Upper Secondary Education (modified and includes data from 11322)",1.494451,"2%","Spain"
2018,"Vocational training",8.632851,"13%","Spain"
2019,"Vocational training",10.46005,"17%","Spain"
2020,"Vocational training",7.530836,"12%","Spain"
2021,"Vocational training",10.859713,"15%","Spain"
2022,"Vocational training",8.976472,"12%","Spain"
2018,"School feeding",0.166603,"0%","Spain"
2019,"School feeding",0.282138,"0%","Spain"
2020,"School feeding",0.37493,"1%","Spain"
2021,"School feeding",0.896208,"1%","Spain"
2022,"School feeding",1.156212,"2%","Spain"
2020,"Lower secondary education",0.158738,"0%","Spain"
2021,"Lower secondary education",0.264817,"0%","Spain"
2022,"Lower secondary education",0.428509,"1%","Spain"
2018,"Higher education",13.246133,"21%","Spain"
2019,"Higher education",13.794895,"22%","Spain"
2020,"Higher education",10.337475,"16%","Spain"
2021,"Higher education",9.392831,"13%","Spain"
2022,"Higher education",13.546959,"18%","Spain"
2018,"Advanced technical and managerial training",0.926188,"1%","Spain"
2019,"Advanced technical and managerial training",0.662424,"1%","Spain"
2020,"Advanced technical and managerial training",1.937615,"3%","Spain"
2021,"Advanced technical and managerial training",0.861176,"1%","Spain"
2022,"Advanced technical and managerial training",0.554236,"1%","Spain"
