year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Promotion of mental health and well-being,0.41,32.5%,Slovenia
2023,COVID-19 control,0.35,27.6%,Slovenia
2023,Basic health infrastructure,0.22,17.0%,Slovenia
2023,Basic health care,0.21,16.6%,Slovenia
2023,Medical services,0.05,4.2%,Slovenia
2023,Health policy and administrative management,0.03,2.1%,Slovenia
2022,COVID-19 control,4.57,82.6%,Slovenia
2022,Basic health care,0.33,5.9%,Slovenia
2022,Promotion of mental health and well-being,0.3,5.5%,Slovenia
2022,Health policy and administrative management,0.24,4.4%,Slovenia
2022,Reproductive health care,0.06,1.1%,Slovenia
2022,Medical services,0.03,0.5%,Slovenia
2021,COVID-19 control,13.47,98.3%,Slovenia
2021,Reproductive health care,0.1,0.7%,Slovenia
2021,Promotion of mental health and well-being,0.09,0.6%,Slovenia
2021,Basic health care,0.04,0.3%,Slovenia
2021,Medical services,0.0,0.0%,Slovenia
2020,COVID-19 control,0.73,77.4%,Slovenia
2020,Medical education/training,0.09,9.6%,Slovenia
2020,Basic health infrastructure,0.08,8.2%,Slovenia
2020,Basic health care,0.05,4.8%,Slovenia
2020,Medical services,0.0,0.1%,Slovenia
2019,Medical education/training,0.12,51.9%,Slovenia
2019,Basic health care,0.05,20.4%,Slovenia
2019,Reproductive health care,0.03,14.6%,Slovenia
2019,Medical services,0.03,13.1%,Slovenia
