year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Population policy and administrative management,13.04,21.8%,Denmark
2023,Family planning,12.59,21.0%,Denmark
2023,Infectious disease control,10.31,17.2%,Denmark
2023,Health policy and administrative management,5.47,9.1%,Denmark
2023,Basic health infrastructure,4.79,8.0%,Denmark
2023,Basic health care,4.14,6.9%,Denmark
2023,Promotion of mental health and well-being,3.1,5.2%,Denmark
2023,Reproductive health care,3.1,5.2%,Denmark
2023,Other prevention and treatment of NCDs,1.45,2.4%,Denmark
2023,"NCDs control, general",1.12,1.9%,Denmark
2023,STD control including HIV/AIDS,0.73,1.2%,Denmark
2023,COVID-19 control,0.0,0.0%,Denmark
2022,COVID-19 control,28.48,24.4%,Denmark
2022,Basic health care,24.08,20.6%,Denmark
2022,Reproductive health care,18.73,16.0%,Denmark
2022,Family planning,14.31,12.2%,Denmark
2022,Population policy and administrative management,12.39,10.6%,Denmark
2022,Infectious disease control,8.39,7.2%,Denmark
2022,Medical services,7.15,6.1%,Denmark
2022,STD control including HIV/AIDS,1.43,1.2%,Denmark
2022,Other prevention and treatment of NCDs,1.43,1.2%,Denmark
2022,Health policy and administrative management,0.43,0.4%,Denmark
2022,Health education,0.1,0.1%,Denmark
2022,Basic health infrastructure,0.03,0.0%,Denmark
2021,COVID-19 control,106.51,56.6%,Denmark
2021,Family planning,22.86,12.2%,Denmark
2021,Reproductive health care,21.76,11.6%,Denmark
2021,Health policy and administrative management,15.7,8.4%,Denmark
2021,Population policy and administrative management,11.85,6.3%,Denmark
2021,Basic health care,3.92,2.1%,Denmark
2021,Basic health infrastructure,1.93,1.0%,Denmark
2021,Other prevention and treatment of NCDs,1.54,0.8%,Denmark
2021,Promotion of mental health and well-being,0.85,0.5%,Denmark
2021,STD control including HIV/AIDS,0.77,0.4%,Denmark
2021,Health education,0.31,0.2%,Denmark
2021,Health personnel development,0.0,0.0%,Denmark
2020,Health policy and administrative management,36.37,34.4%,Denmark
2020,Family planning,17.32,16.4%,Denmark
2020,Infectious disease control,17.16,16.3%,Denmark
2020,Population policy and administrative management,13.32,12.6%,Denmark
2020,Medical services,4.77,4.5%,Denmark
2020,COVID-19 control,3.34,3.2%,Denmark
2020,Health education,3.23,3.1%,Denmark
2020,Basic health care,3.02,2.9%,Denmark
2020,Reproductive health care,2.28,2.2%,Denmark
2020,Medical research,1.59,1.5%,Denmark
2020,Other prevention and treatment of NCDs,1.59,1.5%,Denmark
2020,STD control including HIV/AIDS,1.59,1.5%,Denmark
2019,Reproductive health care,47.78,42.9%,Denmark
2019,Health policy and administrative management,36.3,32.6%,Denmark
2019,Family planning,9.75,8.8%,Denmark
2019,Population policy and administrative management,7.87,7.1%,Denmark
2019,Medical services,4.91,4.4%,Denmark
2019,Other prevention and treatment of NCDs,1.7,1.5%,Denmark
2019,STD control including HIV/AIDS,1.64,1.5%,Denmark
2019,Basic health care,1.21,1.1%,Denmark
2019,Health education,0.25,0.2%,Denmark
2019,Medical education/training,0.06,0.1%,Denmark
