year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Health policy and administrative management,48.83,23.2%,Switzerland
2023,Basic health care,45.91,21.8%,Switzerland
2023,COVID-19 control,26.56,12.6%,Switzerland
2023,Health education,12.94,6.1%,Switzerland
2023,Basic nutrition,11.9,5.6%,Switzerland
2023,Reproductive health care,11.68,5.5%,Switzerland
2023,Medical services,10.65,5.1%,Switzerland
2023,Promotion of mental health and well-being,9.33,4.4%,Switzerland
2023,"NCDs control, general",8.2,3.9%,Switzerland
2023,Infectious disease control,7.5,3.6%,Switzerland
2023,Basic health infrastructure,5.57,2.6%,Switzerland
2023,STD control including HIV/AIDS,5.25,2.5%,Switzerland
2023,Malaria control,2.78,1.3%,Switzerland
2023,Medical research,1.21,0.6%,Switzerland
2023,Medical education/training,0.56,0.3%,Switzerland
2023,Health personnel development,0.39,0.2%,Switzerland
2023,Family planning,0.36,0.2%,Switzerland
2023,Population policy and administrative management,0.34,0.2%,Switzerland
2023,Personnel development for population and reproductive health,0.31,0.1%,Switzerland
2023,Tuberculosis control,0.2,0.1%,Switzerland
2023,Control of harmful use of alcohol and drugs,0.19,0.1%,Switzerland
2023,Other prevention and treatment of NCDs,0.07,0.0%,Switzerland
2023,Research for prevention and control of NCDs,0.04,0.0%,Switzerland
2022,Basic health care,53.85,22.9%,Switzerland
2022,COVID-19 control,46.92,20.0%,Switzerland
2022,Health policy and administrative management,42.95,18.3%,Switzerland
2022,Infectious disease control,19.35,8.2%,Switzerland
2022,Reproductive health care,15.54,6.6%,Switzerland
2022,Basic nutrition,10.42,4.4%,Switzerland
2022,Health education,9.91,4.2%,Switzerland
2022,Promotion of mental health and well-being,7.6,3.2%,Switzerland
2022,STD control including HIV/AIDS,6.48,2.8%,Switzerland
2022,Medical services,5.16,2.2%,Switzerland
2022,Basic health infrastructure,4.91,2.1%,Switzerland
2022,"NCDs control, general",4.39,1.9%,Switzerland
2022,Malaria control,3.36,1.4%,Switzerland
2022,Medical research,0.82,0.4%,Switzerland
2022,Personnel development for population and reproductive health,0.69,0.3%,Switzerland
2022,Medical education/training,0.54,0.2%,Switzerland
2022,Family planning,0.54,0.2%,Switzerland
2022,Other prevention and treatment of NCDs,0.42,0.2%,Switzerland
2022,Control of harmful use of alcohol and drugs,0.37,0.2%,Switzerland
2022,Tuberculosis control,0.29,0.1%,Switzerland
2022,Population policy and administrative management,0.1,0.0%,Switzerland
2022,Health personnel development,0.06,0.0%,Switzerland
2021,COVID-19 control,141.34,29.2%,Switzerland
2021,Basic health care,100.31,20.7%,Switzerland
2021,Infectious disease control,98.5,20.3%,Switzerland
2021,Health policy and administrative management,79.06,16.3%,Switzerland
2021,Reproductive health care,11.95,2.5%,Switzerland
2021,Health education,9.97,2.1%,Switzerland
2021,Basic nutrition,8.6,1.8%,Switzerland
2021,STD control including HIV/AIDS,8.51,1.8%,Switzerland
2021,Medical services,5.82,1.2%,Switzerland
2021,Promotion of mental health and well-being,5.67,1.2%,Switzerland
