year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Health policy and administrative management,214.2,32.1%,France
2023,Basic nutrition,98.93,14.8%,France
2023,Basic health care,75.81,11.4%,France
2023,COVID-19 control,72.17,10.8%,France
2023,Medical research,40.21,6.0%,France
2023,Basic health infrastructure,37.21,5.6%,France
2023,STD control including HIV/AIDS,24.73,3.7%,France
2023,Family planning,21.64,3.2%,France
2023,Infectious disease control,20.81,3.1%,France
2023,Reproductive health care,14.74,2.2%,France
2023,Medical services,13.81,2.1%,France
2023,Health personnel development,6.66,1.0%,France
2023,Tuberculosis control,6.06,0.9%,France
2023,Promotion of mental health and well-being,4.89,0.7%,France
2023,Malaria control,3.01,0.5%,France
2023,Population policy and administrative management,2.56,0.4%,France
2023,Health education,1.85,0.3%,France
2023,Research for prevention and control of NCDs,1.67,0.3%,France
2023,Other prevention and treatment of NCDs,1.62,0.2%,France
2023,Control of harmful use of alcohol and drugs,1.3,0.2%,France
2023,Medical education/training,1.29,0.2%,France
2023,Personnel development for population and reproductive health,0.7,0.1%,France
2023,"NCDs control, general",0.55,0.1%,France
2022,COVID-19 control,323.59,33.8%,France
2022,Health policy and administrative management,207.48,21.7%,France
2022,Basic nutrition,102.93,10.7%,France
2022,Basic health care,81.12,8.5%,France
2022,Infectious disease control,76.84,8.0%,France
2022,Basic health infrastructure,50.42,5.3%,France
2022,Medical research,29.82,3.1%,France
2022,STD control including HIV/AIDS,17.46,1.8%,France
2022,Medical services,16.77,1.8%,France
2022,Reproductive health care,14.39,1.5%,France
2022,Family planning,13.19,1.4%,France
2022,Health personnel development,8.55,0.9%,France
2022,Population policy and administrative management,4.7,0.5%,France
2022,Other prevention and treatment of NCDs,2.86,0.3%,France
2022,Health education,2.56,0.3%,France
2022,Promotion of mental health and well-being,1.97,0.2%,France
2022,Tuberculosis control,1.48,0.2%,France
2022,Research for prevention and control of NCDs,0.89,0.1%,France
2022,Malaria control,0.63,0.1%,France
2022,Medical education/training,0.46,0.0%,France
2022,Personnel development for population and reproductive health,0.05,0.0%,France
2022,"NCDs control, general",0.0,0.0%,France
2021,COVID-19 control,692.5,62.4%,France
2021,Health policy and administrative management,90.69,8.2%,France
2021,Basic health care,84.23,7.6%,France
2021,Basic health infrastructure,52.95,4.8%,France
2021,STD control including HIV/AIDS,49.93,4.5%,France
2021,Medical research,28.54,2.6%,France
2021,Basic nutrition,26.03,2.3%,France
2021,Family planning,21.79,2.0%,France
2021,Infectious disease control,20.32,1.8%,France
2021,Reproductive health care,19.71,1.8%,France
2021,Health personnel development,5.77,0.5%,France
2021,Medical services,5.61,0.5%,France
2021,Population policy and administrative management,3.53,0.3%,France
2021,Health education,2.66,0.2%,France
2021,Promotion of mental health and well-being,2.38,0.2%,France
2021,"NCDs control, general",1.16,0.1%,France
2021,Research for prevention and control of NCDs,0.79,0.1%,France
2021,Other prevention and treatment of NCDs,0.63,0.1%,France
2021,Personnel development for population and reproductive health,0.52,0.0%,France
2021,Medical education/training,0.23,0.0%,France
2021,Malaria control,0.0,0.0%,France
2021,Tuberculosis control,0.0,0.0%,France
2020,Basic health infrastructure,125.83,24.3%,France
2020,Basic health care,88.3,17.1%,France
2020,Infectious disease control,79.96,15.5%,France
2020,Health policy and administrative management,50.25,9.7%,France
2020,Medical services,40.66,7.9%,France
2020,Family planning,27.61,5.3%,France
2020,Basic nutrition,22.73,4.4%,France
2020,STD control including HIV/AIDS,19.06,3.7%,France
2020,Medical research,18.44,3.6%,France
2020,Reproductive health care,16.0,3.1%,France
2020,Health personnel development,9.32,1.8%,France
2020,COVID-19 control,5.23,1.0%,France
2020,Medical education/training,3.09,0.6%,France
2020,Personnel development for population and reproductive health,2.99,0.6%,France
2020,Health education,2.8,0.5%,France
2020,Tuberculosis control,1.43,0.3%,France
2020,Research for prevention and control of NCDs,1.05,0.2%,France
2020,Population policy and administrative management,0.93,0.2%,France
2020,Promotion of mental health and well-being,0.93,0.2%,France
2020,Malaria control,0.75,0.1%,France
2020,Other prevention and treatment of NCDs,0.17,0.0%,France
2020,"NCDs control, general",0.02,0.0%,France
2019,Health policy and administrative management,105.44,31.4%,France
2019,Basic nutrition,44.59,13.3%,France
2019,Basic health care,38.52,11.5%,France
2019,Basic health infrastructure,22.79,6.8%,France
2019,Infectious disease control,21.07,6.3%,France
2019,Medical research,20.17,6.0%,France
2019,Reproductive health care,17.68,5.3%,France
2019,STD control including HIV/AIDS,14.75,4.4%,France
2019,Medical services,12.03,3.6%,France
2019,Family planning,9.27,2.8%,France
2019,Personnel development for population and reproductive health,6.31,1.9%,France
2019,Research for prevention and control of NCDs,5.49,1.6%,France
2019,Health personnel development,5.01,1.5%,France
2019,Population policy and administrative management,4.94,1.5%,France
2019,Medical education/training,4.54,1.3%,France
2019,Health education,2.16,0.6%,France
2019,Malaria control,1.05,0.3%,France
2019,Other prevention and treatment of NCDs,0.27,0.1%,France
2019,Promotion of mental health and well-being,0.01,0.0%,France
2019,Control of harmful use of alcohol and drugs,0.01,0.0%,France
2019,"NCDs control, general",0.0,0.0%,France
2019,Tuberculosis control,,,France
