year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Basic health care,32.06,45.1%,Hungary
2023,COVID-19 control,28.32,39.8%,Hungary
2023,Population policy and administrative management,5.54,7.8%,Hungary
2023,Basic health infrastructure,4.64,6.5%,Hungary
2023,Health policy and administrative management,0.28,0.4%,Hungary
2023,Infectious disease control,0.25,0.3%,Hungary
2023,Medical services,0.03,0.0%,Hungary
2023,Health personnel development,0.02,0.0%,Hungary
2022,COVID-19 control,49.04,87.7%,Hungary
2022,Basic health infrastructure,4.52,8.1%,Hungary
2022,Basic health care,1.38,2.5%,Hungary
2022,Medical services,0.58,1.0%,Hungary
2022,Infectious disease control,0.34,0.6%,Hungary
2022,Tuberculosis control,0.04,0.1%,Hungary
2021,COVID-19 control,53.62,77.6%,Hungary
2021,Basic health infrastructure,11.96,17.3%,Hungary
2021,Medical services,1.19,1.7%,Hungary
2021,Health education,1.1,1.6%,Hungary
2021,Infectious disease control,0.6,0.9%,Hungary
2021,Basic health care,0.47,0.7%,Hungary
2021,Promotion of mental health and well-being,0.1,0.1%,Hungary
2021,Basic nutrition,0.06,0.1%,Hungary
2021,Health policy and administrative management,0.01,0.0%,Hungary
2021,"NCDs control, general",0.0,0.0%,Hungary
2020,COVID-19 control,17.26,60.0%,Hungary
2020,Basic health infrastructure,7.14,24.8%,Hungary
2020,Medical services,3.61,12.5%,Hungary
2020,Basic health care,0.62,2.2%,Hungary
2020,STD control including HIV/AIDS,0.12,0.4%,Hungary
2020,Other prevention and treatment of NCDs,0.02,0.1%,Hungary
2020,Medical education/training,0.0,0.0%,Hungary
2019,Medical services,4.18,50.2%,Hungary
2019,Population policy and administrative management,2.61,31.4%,Hungary
2019,Health policy and administrative management,1.32,15.9%,Hungary
2019,Basic nutrition,0.09,1.1%,Hungary
2019,Basic health infrastructure,0.06,0.7%,Hungary
2019,Reproductive health care,0.03,0.3%,Hungary
2019,Medical education/training,0.02,0.2%,Hungary
2019,Health education,0.01,0.1%,Hungary
