year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Basic health infrastructure,17.76,19.3%,Italy
2023,Basic health care,16.08,17.5%,Italy
2023,Medical services,15.59,16.9%,Italy
2023,Basic nutrition,6.92,7.5%,Italy
2023,Health personnel development,6.36,6.9%,Italy
2023,Infectious disease control,4.59,5.0%,Italy
2023,Medical education/training,4.09,4.4%,Italy
2023,Health policy and administrative management,3.89,4.2%,Italy
2023,Population policy and administrative management,3.06,3.3%,Italy
2023,Health education,2.68,2.9%,Italy
2023,"NCDs control, general",2.45,2.7%,Italy
2023,Reproductive health care,2.28,2.5%,Italy
2023,Control of harmful use of alcohol and drugs,1.49,1.6%,Italy
2023,Promotion of mental health and well-being,1.04,1.1%,Italy
2023,Malaria control,0.81,0.9%,Italy
2023,STD control including HIV/AIDS,0.77,0.8%,Italy
2023,Personnel development for population and reproductive health,0.67,0.7%,Italy
2023,Medical research,0.64,0.7%,Italy
2023,COVID-19 control,0.29,0.3%,Italy
2023,Tuberculosis control,0.26,0.3%,Italy
2023,Research for prevention and control of NCDs,0.21,0.2%,Italy
2023,Other prevention and treatment of NCDs,0.15,0.2%,Italy
2023,Family planning,0.01,0.0%,Italy
2022,COVID-19 control,207.96,45.0%,Italy
2022,Infectious disease control,121.72,26.4%,Italy
2022,Medical services,25.73,5.6%,Italy
2022,Basic health infrastructure,22.94,5.0%,Italy
2022,Basic nutrition,14.83,3.2%,Italy
2022,Reproductive health care,11.23,2.4%,Italy
2022,Basic health care,11.15,2.4%,Italy
2022,Health policy and administrative management,10.5,2.3%,Italy
2022,Medical education/training,5.65,1.2%,Italy
2022,Health personnel development,5.43,1.2%,Italy
2022,Health education,5.01,1.1%,Italy
2022,Promotion of mental health and well-being,4.66,1.0%,Italy
2022,"NCDs control, general",3.21,0.7%,Italy
2022,STD control including HIV/AIDS,3.18,0.7%,Italy
2022,Malaria control,1.99,0.4%,Italy
2022,Control of harmful use of alcohol and drugs,1.8,0.4%,Italy
2022,Other prevention and treatment of NCDs,1.51,0.3%,Italy
2022,Population policy and administrative management,0.84,0.2%,Italy
2022,Tuberculosis control,0.82,0.2%,Italy
2022,Medical research,0.68,0.1%,Italy
2022,Personnel development for population and reproductive health,0.49,0.1%,Italy
2022,Tobacco use control,0.31,0.1%,Italy
2022,Family planning,0.18,0.0%,Italy
2022,Research for prevention and control of NCDs,0.12,0.0%,Italy
2021,COVID-19 control,247.96,69.3%,Italy
2021,Medical services,23.47,6.6%,Italy
2021,Health policy and administrative management,21.21,5.9%,Italy
2021,Basic health infrastructure,16.45,4.6%,Italy
2021,Basic health care,10.63,3.0%,Italy
2021,Population policy and administrative management,7.92,2.2%,Italy
2021,Basic nutrition,7.08,2.0%,Italy
2021,Medical education/training,3.96,1.1%,Italy
2021,Health personnel development,3.5,1.0%,Italy
2021,Reproductive health care,3.47,1.0%,Italy
2021,Infectious disease control,2.62,0.7%,Italy
2021,Health education,2.13,0.6%,Italy
2021,STD control including HIV/AIDS,1.41,0.4%,Italy
2021,Control of harmful use of alcohol and drugs,1.32,0.4%,Italy
2021,Personnel development for population and reproductive health,1.15,0.3%,Italy
2021,Medical research,0.85,0.2%,Italy
2021,Malaria control,0.64,0.2%,Italy
2021,Tuberculosis control,0.61,0.2%,Italy
2021,Other prevention and treatment of NCDs,0.58,0.2%,Italy
2021,Promotion of mental health and well-being,0.38,0.1%,Italy
2021,Research for prevention and control of NCDs,0.23,0.1%,Italy
2021,Family planning,0.15,0.0%,Italy
2021,"NCDs control, general",0.0,0.0%,Italy
2020,COVID-19 control,29.7,23.1%,Italy
2020,Medical services,26.64,20.7%,Italy
2020,Infectious disease control,14.75,11.5%,Italy
2020,Basic health infrastructure,12.78,9.9%,Italy
2020,Health policy and administrative management,10.19,7.9%,Italy
2020,Basic health care,9.36,7.3%,Italy
2020,Basic nutrition,6.33,4.9%,Italy
2020,Reproductive health care,4.43,3.4%,Italy
2020,Medical education/training,3.96,3.1%,Italy
2020,Health personnel development,3.93,3.1%,Italy
2020,Health education,1.74,1.4%,Italy
2020,Personnel development for population and reproductive health,1.03,0.8%,Italy
2020,Tuberculosis control,0.65,0.5%,Italy
2020,Malaria control,0.59,0.5%,Italy
2020,Promotion of mental health and well-being,0.54,0.4%,Italy
2020,STD control including HIV/AIDS,0.53,0.4%,Italy
2020,Other prevention and treatment of NCDs,0.35,0.3%,Italy
2020,Population policy and administrative management,0.28,0.2%,Italy
2020,Family planning,0.27,0.2%,Italy
2020,Control of harmful use of alcohol and drugs,0.23,0.2%,Italy
2020,Medical research,0.22,0.2%,Italy
2020,Tobacco use control,0.2,0.2%,Italy
2020,"NCDs control, general",0.04,0.0%,Italy
2020,Research for prevention and control of NCDs,0.03,0.0%,Italy
2019,Medical services,34.09,28.2%,Italy
2019,Basic health infrastructure,22.32,18.4%,Italy
2019,Health policy and administrative management,14.72,12.2%,Italy
2019,Basic health care,12.75,10.5%,Italy
2019,Basic nutrition,8.33,6.9%,Italy
2019,Reproductive health care,7.88,6.5%,Italy
2019,Population policy and administrative management,4.21,3.5%,Italy
2019,STD control including HIV/AIDS,3.89,3.2%,Italy
2019,Medical education/training,3.87,3.2%,Italy
2019,Health education,2.09,1.7%,Italy
2019,Health personnel development,1.75,1.4%,Italy
2019,Tuberculosis control,1.5,1.2%,Italy
2019,Infectious disease control,1.01,0.8%,Italy
2019,Other prevention and treatment of NCDs,0.86,0.7%,Italy
2019,Personnel development for population and reproductive health,0.55,0.5%,Italy
2019,Malaria control,0.39,0.3%,Italy
2019,Tobacco use control,0.3,0.2%,Italy
2019,"NCDs control, general",0.2,0.2%,Italy
2019,Medical research,0.19,0.2%,Italy
2019,Family planning,0.08,0.1%,Italy
2019,Promotion of mental health and well-being,0.05,0.0%,Italy
2019,Control of harmful use of alcohol and drugs,0.04,0.0%,Italy
2019,Research for prevention and control of NCDs,0.01,0.0%,Italy
