year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Health policy and administrative management,1.41,24.3%,Poland
2023,Basic health care,1.0,17.3%,Poland
2023,Health personnel development,0.83,14.3%,Poland
2023,Medical services,0.74,12.8%,Poland
2023,Basic health infrastructure,0.7,12.0%,Poland
2023,Basic nutrition,0.35,6.1%,Poland
2023,Medical education/training,0.3,5.2%,Poland
2023,Health education,0.09,1.6%,Poland
2023,Medical research,0.09,1.5%,Poland
2023,"NCDs control, general",0.06,1.0%,Poland
2023,Reproductive health care,0.06,1.1%,Poland
2023,STD control including HIV/AIDS,0.05,0.8%,Poland
2023,COVID-19 control,0.04,0.7%,Poland
2023,Promotion of mental health and well-being,0.03,0.5%,Poland
2023,Other prevention and treatment of NCDs,0.02,0.4%,Poland
2023,Research for prevention and control of NCDs,0.01,0.2%,Poland
2023,Family planning,0.0,0.0%,Poland
2023,Population policy and administrative management,0.0,0.1%,Poland
2022,COVID-19 control,15.41,81.9%,Poland
2022,Health personnel development,0.7,3.7%,Poland
2022,Basic health infrastructure,0.61,3.3%,Poland
2022,Medical services,0.45,2.4%,Poland
2022,Medical education/training,0.43,2.3%,Poland
2022,Basic health care,0.4,2.1%,Poland
2022,Reproductive health care,0.19,1.0%,Poland
2022,Health policy and administrative management,0.18,0.9%,Poland
2022,Other prevention and treatment of NCDs,0.1,0.5%,Poland
2022,Health education,0.08,0.4%,Poland
2022,Medical research,0.07,0.4%,Poland
2022,Basic nutrition,0.06,0.3%,Poland
2022,STD control including HIV/AIDS,0.05,0.3%,Poland
2022,"NCDs control, general",0.03,0.2%,Poland
2022,Promotion of mental health and well-being,0.02,0.1%,Poland
2022,Tuberculosis control,0.02,0.1%,Poland
2022,Research for prevention and control of NCDs,0.01,0.1%,Poland
2022,Family planning,0.0,0.0%,Poland
2021,COVID-19 control,62.25,96.3%,Poland
2021,Basic health infrastructure,0.73,1.1%,Poland
2021,Health policy and administrative management,0.39,0.6%,Poland
2021,Medical services,0.26,0.4%,Poland
2021,Medical education/training,0.24,0.4%,Poland
2021,Health personnel development,0.21,0.3%,Poland
2021,Basic health care,0.17,0.3%,Poland
2021,Promotion of mental health and well-being,0.14,0.2%,Poland
2021,Reproductive health care,0.07,0.1%,Poland
2021,STD control including HIV/AIDS,0.06,0.1%,Poland
2021,Health education,0.05,0.1%,Poland
2021,Medical research,0.03,0.0%,Poland
2021,Infectious disease control,0.02,0.0%,Poland
2021,Tuberculosis control,0.02,0.0%,Poland
2021,Basic nutrition,0.02,0.0%,Poland
2021,Family planning,0.01,0.0%,Poland
2020,Medical services,11.6,77.8%,Poland
2020,COVID-19 control,1.61,10.8%,Poland
2020,Medical education/training,0.52,3.5%,Poland
2020,Basic health infrastructure,0.36,2.4%,Poland
2020,Promotion of mental health and well-being,0.22,1.5%,Poland
2020,Basic health care,0.15,1.0%,Poland
2020,Personnel development for population and reproductive health,0.1,0.6%,Poland
2020,Health policy and administrative management,0.09,0.6%,Poland
2020,Health personnel development,0.07,0.5%,Poland
2020,Reproductive health care,0.05,0.3%,Poland
2020,Tuberculosis control,0.04,0.3%,Poland
2020,Basic nutrition,0.04,0.3%,Poland
2020,Health education,0.03,0.2%,Poland
2020,STD control including HIV/AIDS,0.03,0.2%,Poland
2019,Medical services,13.73,87.8%,Poland
2019,Medical education/training,0.58,3.7%,Poland
2019,Basic health infrastructure,0.46,2.9%,Poland
2019,Tuberculosis control,0.17,1.1%,Poland
2019,Basic health care,0.16,1.0%,Poland
2019,Health policy and administrative management,0.14,0.9%,Poland
2019,Health personnel development,0.11,0.7%,Poland
2019,Personnel development for population and reproductive health,0.09,0.6%,Poland
2019,Reproductive health care,0.08,0.5%,Poland
2019,STD control including HIV/AIDS,0.05,0.3%,Poland
2019,Basic nutrition,0.04,0.2%,Poland
2019,Health education,0.04,0.3%,Poland
2019,Infectious disease control,0.01,0.1%,Poland
