year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Reproductive health care,87.33,34.7%,Sweden
2023,COVID-19 control,43.21,17.2%,Sweden
2023,Basic health care,32.19,12.8%,Sweden
2023,Health policy and administrative management,11.65,4.6%,Sweden
2023,Population policy and administrative management,9.84,3.9%,Sweden
2023,Basic nutrition,8.49,3.4%,Sweden
2023,Health education,8.26,3.3%,Sweden
2023,STD control including HIV/AIDS,8.15,3.2%,Sweden
2023,Promotion of mental health and well-being,7.8,3.1%,Sweden
2023,Medical services,7.53,3.0%,Sweden
2023,Medical research,7.15,2.8%,Sweden
2023,Family planning,6.6,2.6%,Sweden
2023,Infectious disease control,6.01,2.4%,Sweden
2023,Personnel development for population and reproductive health,3.44,1.4%,Sweden
2023,Malaria control,1.08,0.4%,Sweden
2023,Health personnel development,0.87,0.3%,Sweden
2023,Medical education/training,0.65,0.3%,Sweden
2023,Tuberculosis control,0.52,0.2%,Sweden
2023,Basic health infrastructure,0.51,0.2%,Sweden
2023,Research for prevention and control of NCDs,0.44,0.2%,Sweden
2023,"NCDs control, general",0.19,0.1%,Sweden
2022,Reproductive health care,81.14,29.3%,Sweden
2022,COVID-19 control,73.42,26.5%,Sweden
2022,Basic health care,46.99,16.9%,Sweden
2022,Family planning,15.04,5.4%,Sweden
2022,Medical research,12.45,4.5%,Sweden
2022,STD control including HIV/AIDS,9.33,3.4%,Sweden
2022,Population policy and administrative management,7.93,2.9%,Sweden
2022,Health policy and administrative management,7.85,2.8%,Sweden
2022,Basic nutrition,5.5,2.0%,Sweden
2022,Personnel development for population and reproductive health,4.91,1.8%,Sweden
2022,Promotion of mental health and well-being,3.01,1.1%,Sweden
2022,Infectious disease control,2.39,0.9%,Sweden
2022,Health education,1.67,0.6%,Sweden
2022,Control of harmful use of alcohol and drugs,1.29,0.5%,Sweden
2022,Malaria control,1.17,0.4%,Sweden
2022,Health personnel development,0.9,0.3%,Sweden
2022,Research for prevention and control of NCDs,0.53,0.2%,Sweden
2022,"NCDs control, general",0.52,0.2%,Sweden
2022,Basic health infrastructure,0.51,0.2%,Sweden
2022,Tuberculosis control,0.5,0.2%,Sweden
2022,Other prevention and treatment of NCDs,0.3,0.1%,Sweden
2022,Medical services,0.0,0.0%,Sweden
2021,Reproductive health care,114.69,30.1%,Sweden
2021,Basic health care,83.23,21.8%,Sweden
2021,COVID-19 control,72.48,19.0%,Sweden
2021,STD control including HIV/AIDS,28.62,7.5%,Sweden
2021,Medical research,22.36,5.9%,Sweden
2021,Family planning,12.37,3.2%,Sweden
2021,Health policy and administrative management,9.69,2.5%,Sweden
2021,Personnel development for population and reproductive health,6.51,1.7%,Sweden
2021,Medical services,5.76,1.5%,Sweden
2021,Basic nutrition,5.71,1.5%,Sweden
2021,Infectious disease control,5.2,1.4%,Sweden
2021,Population policy and administrative management,4.81,1.3%,Sweden
2021,Promotion of mental health and well-being,2.85,0.7%,Sweden
2021,Health education,2.29,0.6%,Sweden
2021,Health personnel development,1.43,0.4%,Sweden
2021,Malaria control,0.93,0.2%,Sweden
2021,Basic health infrastructure,0.9,0.2%,Sweden
2021,Tuberculosis control,0.72,0.2%,Sweden
2021,"NCDs control, general",0.59,0.2%,Sweden
2021,Research for prevention and control of NCDs,0.0,0.0%,Sweden
2020,Reproductive health care,117.57,34.9%,Sweden
2020,COVID-19 control,72.72,21.6%,Sweden
2020,Basic health care,48.14,14.3%,Sweden
2020,STD control including HIV/AIDS,23.69,7.0%,Sweden
2020,Medical services,22.43,6.7%,Sweden
2020,Medical research,17.43,5.2%,Sweden
2020,Health education,9.49,2.8%,Sweden
2020,Health policy and administrative management,7.31,2.2%,Sweden
2020,Basic nutrition,6.1,1.8%,Sweden
2020,Infectious disease control,2.91,0.9%,Sweden
2020,Basic health infrastructure,2.61,0.8%,Sweden
2020,Promotion of mental health and well-being,2.33,0.7%,Sweden
2020,Health personnel development,1.41,0.4%,Sweden
2020,Malaria control,0.89,0.3%,Sweden
2020,Tuberculosis control,0.68,0.2%,Sweden
2020,Family planning,0.56,0.2%,Sweden
2020,"NCDs control, general",0.46,0.1%,Sweden
2020,Population policy and administrative management,0.13,0.0%,Sweden
2020,Research for prevention and control of NCDs,0.05,0.0%,Sweden
2020,Personnel development for population and reproductive health,0.04,0.0%,Sweden
2019,Reproductive health care,116.9,45.8%,Sweden
2019,Basic health care,58.71,23.0%,Sweden
2019,Medical research,18.67,7.3%,Sweden
2019,Health policy and administrative management,15.31,6.0%,Sweden
2019,STD control including HIV/AIDS,11.0,4.3%,Sweden
2019,Health education,10.21,4.0%,Sweden
2019,Basic nutrition,7.48,2.9%,Sweden
2019,Infectious disease control,3.64,1.4%,Sweden
2019,Medical services,3.07,1.2%,Sweden
2019,Basic health infrastructure,2.76,1.1%,Sweden
2019,Population policy and administrative management,2.06,0.8%,Sweden
2019,Promotion of mental health and well-being,1.99,0.8%,Sweden
2019,Malaria control,0.75,0.3%,Sweden
2019,Health personnel development,0.72,0.3%,Sweden
2019,Personnel development for population and reproductive health,0.7,0.3%,Sweden
2019,"NCDs control, general",0.69,0.3%,Sweden
2019,Tuberculosis control,0.42,0.2%,Sweden
2019,Family planning,0.1,0.0%,Sweden
