year,Sub-Sector,Bilateral ODA for,Share
2023,STD control including HIV/AIDS,4157.08,27.3%
2023,COVID-19 control,1675.59,11.0%
2023,Health policy and administrative management,1487.71,9.8%
2023,Reproductive health care,1319.75,8.7%
2023,Infectious disease control,1161.49,7.6%
2023,Basic health care,841.5,5.5%
2023,Family planning,818.56,5.4%
2023,Malaria control,750.79,4.9%
2023,Basic nutrition,701.33,4.6%
2023,Medical research,412.09,2.7%
2023,Medical services,385.09,2.5%
2023,Basic health infrastructure,376.52,2.5%
2023,Tuberculosis control,373.11,2.5%
2023,Population policy and administrative management,202.96,1.3%
2023,Health education,138.81,0.9%
2023,Health personnel development,91.91,0.6%
2023,Promotion of mental health and well-being,77.65,0.5%
2023,Medical education/training,75.55,0.5%
2023,"NCDs control, general",47.05,0.3%
2023,Personnel development for population and reproductive health,43.28,0.3%
2023,Research for prevention and control of NCDs,38.21,0.3%
2023,Other prevention and treatment of NCDs,28.52,0.2%
2023,Control of harmful use of alcohol and drugs,9.11,0.1%
2023,Tobacco use control,4.22,0.0%
2022,COVID-19 control,8208.93,31.6%
2022,STD control including HIV/AIDS,7340.23,28.3%
2022,Health policy and administrative management,2398.65,9.2%
2022,Infectious disease control,1647.08,6.3%
2022,Reproductive health care,1251.68,4.8%
2022,Basic health care,970.67,3.7%
2022,Family planning,721.52,2.8%
2022,Malaria control,680.28,2.6%
2022,Basic nutrition,638.41,2.5%
2022,Basic health infrastructure,434.92,1.7%
2022,Medical research,425.99,1.6%
2022,Medical services,317.98,1.2%
2022,Tuberculosis control,298.66,1.2%
2022,Population policy and administrative management,187.1,0.7%
2022,Health education,120.25,0.5%
2022,Health personnel development,68.88,0.3%
2022,Medical education/training,67.31,0.3%
2022,Personnel development for population and reproductive health,57.38,0.2%
2022,Promotion of mental health and well-being,51.31,0.2%
2022,"NCDs control, general",30.29,0.1%
2022,Other prevention and treatment of NCDs,24.17,0.1%
2022,Research for prevention and control of NCDs,7.89,0.0%
2022,Control of harmful use of alcohol and drugs,6.95,0.0%
2022,Tobacco use control,3.39,0.0%
2021,COVID-19 control,7020.71,31.7%
2021,STD control including HIV/AIDS,5308.25,23.9%
2021,Health policy and administrative management,1712.14,7.7%
2021,Reproductive health care,1321.51,6.0%
2021,Infectious disease control,1127.84,5.1%
2021,Basic health care,946.57,4.3%
2021,Family planning,861.13,3.9%
2021,Malaria control,841.89,3.8%
2021,Medical research,589.55,2.7%
2021,Basic health infrastructure,572.18,2.6%
2021,Basic nutrition,571.56,2.6%
2021,Medical services,336.14,1.5%
2021,Tuberculosis control,317.16,1.4%
2021,Population policy and administrative management,240.62,1.1%
2021,Health education,82.03,0.4%
2021,Medical education/training,80.97,0.4%
2021,Health personnel development,61.86,0.3%
2021,Personnel development for population and reproductive health,56.91,0.3%
2021,Promotion of mental health and well-being,43.78,0.2%
2021,"NCDs control, general",33.46,0.2%
2021,Research for prevention and control of NCDs,24.24,0.1%
2021,Other prevention and treatment of NCDs,16.15,0.1%
2021,Control of harmful use of alcohol and drugs,3.61,0.0%
2021,Tobacco use control,1.67,0.0%
2020,STD control including HIV/AIDS,5842.06,30.8%
2020,COVID-19 control,3785.32,20.0%
2020,Reproductive health care,1379.7,7.3%
2020,Infectious disease control,1221.02,6.4%
2020,Basic health care,977.15,5.2%
2020,Health policy and administrative management,915.94,4.8%
2020,Family planning,888.88,4.7%
2020,Malaria control,874.69,4.6%
2020,Medical research,665.27,3.5%
2020,Basic nutrition,630.16,3.3%
2020,Basic health infrastructure,431.3,2.3%
2020,Medical services,424.2,2.2%
2020,Tuberculosis control,318.6,1.7%
2020,Population policy and administrative management,192.55,1.0%
2020,Health education,107.88,0.6%
2020,Personnel development for population and reproductive health,72.19,0.4%
2020,Health personnel development,65.57,0.3%
2020,Medical education/training,55.64,0.3%
2020,"NCDs control, general",33.25,0.2%
2020,Research for prevention and control of NCDs,27.26,0.1%
2020,Promotion of mental health and well-being,26.35,0.1%
2020,Other prevention and treatment of NCDs,9.0,0.0%
2020,Tobacco use control,7.76,0.0%
2020,Control of harmful use of alcohol and drugs,1.97,0.0%
2019,STD control including HIV/AIDS,4389.24,31.1%
2019,Reproductive health care,1563.37,11.1%
2019,Malaria control,1088.93,7.7%
2019,Basic health care,1065.46,7.5%
2019,Family planning,1022.3,7.2%
2019,Health policy and administrative management,1022.13,7.2%
2019,Infectious disease control,978.74,6.9%
2019,Medical research,681.73,4.8%
2019,Basic nutrition,673.67,4.8%
2019,Medical services,372.41,2.6%
2019,Basic health infrastructure,361.13,2.6%
2019,Tuberculosis control,300.26,2.1%
2019,Population policy and administrative management,195.39,1.4%
2019,Health education,113.2,0.8%
2019,Personnel development for population and reproductive health,92.46,0.7%
2019,Health personnel development,77.07,0.5%
2019,Medical education/training,72.92,0.5%
2019,Research for prevention and control of NCDs,30.26,0.2%
2019,Other prevention and treatment of NCDs,10.64,0.1%
2019,Promotion of mental health and well-being,9.85,0.1%
2019,"NCDs control, general",6.47,0.0%
2019,Tobacco use control,1.69,0.0%
2019,Control of harmful use of alcohol and drugs,0.62,0.0%
